#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	torR//uxuA//fhuE//dmsB//
AlaS-L-alanine	ybiT//
AllS-allantoin	ampE//avtA//cyoC//
AraC-L-arabinose	yaeP//csgG//rbsR//glpC//glcE//ybdN//zraP//modA//fbaA//fecE//araG//tnaC//rybA//ilvA//
ArcA-Phosphorylated	hybD//yaeP//adiC//cysB//fadJ//rplI//ilvL//gcvP//yiaL//cpdB//malS//dmsD//cusF//yrbL//cysC//ptsI//rhaS//dcuC//yqjH//hfq//hyfR//rrlG//alaT//ileV//sbcC//nuoM//rrlB//yhiD//torC//srlR//argD//araH//aspA//rutE//metR//nrfC//hofB//nanS//xylB//nirD//oppC//fucI//purB//srlE//hfq//gntP//garK//lysC//hycF//fimI//tdcC//tauC//rhaB//phoU//uhpC//fixB//cysP//oxyR//creC//idnD//rplS//codA//tauC//dmsC//cyoB//hydN//yhjA//puuE//sucC//puuA//hypA//argA//aceE//glgA//livM//yrbL//acrB//fes//ssb//argT//chiP//narK//oppA//cheR//atoA//dnaE//tfaQ//yhjA//yhjA//cheW//paaD//cspE//ychH//actP//feaB//iscR//csgC//yidQ//cyoD//rseA//rplD//efeU_1//rrfH//rof//rbsK//xdhA//hofB//pgaB//bglF//cysC//hemA//fnr//ybfN//cas2//sufA//yfdV//cusF//hyaC//cynR//baeR//rstB//fumA//bioB//norW//lsrA//cysJ//gspC//gntR//rhaT//mlc//casD//malQ//glpK//hybB//fixB//cusA//gspC//hybA//paaB//norV//prpC//cusR//malZ//araC//pstC//garR//fecR//tomB//rhaS//lsrR//fliZ//ydeO//tyrP//fumA//ulaF//yfeW//hisQ//fepA//nrfF//oxyR//sdhB//glpK//hypC//glpE//ssb//dcuR//paaC//csgG//fhuA//hyaA//dmsD//tnaC//fepD//hycF//nrdG//treR//ugpQ//
ArgP-L-arginine	galP//fdnG//pstS//yqjH//ldtC//yeaR//ubiC//sxy//cysM//moaA//tap//cueO//murQ//talA//moeB//pstS//
ArgR-L-arginine	gcvH//cpxR//norW//sufB//nuoL//rrlB//ygiC//ccmC//crl//cyoB//acnB//metR//epd//glcC//nanC//ydeN//cspE//aroM//lysU//phnN//mhpT//codA//moaA//ydeJ//glgX//malX//sgbE//yeaD//ada//pgpC//nanS//acrB//purL//miaA//lsrK//lysC//ygbA//osmC//argR//
AtoC-phosphorylated	yqaE//trg//trpR//puuD//
BaeR-Phosphorylated	nlpD//nlpD//caiB//astB//aspC//atoE//aroG//dppD//
BirA-bio-5'-AMP	aaeB//ubiX//araE//safA//fnrS//
CRP-cAMP	fhuD//yfeW//cysD//yibN//uxuB//mutY//ydhX//fdhF//argI//yidQ//zraS//entH//glcF//tdcD//hslJ//hybC//nanS//rrlH//sodA//map//fixB//hybF//alaU//napA//rutF//ileU//oppC//csiD//tyrB//exbB//cyoA//paaC//rpoH//nadC//narI//nuoB//fdnH//phnF//ccmE//nrfG//rcnB//prpE//dppD//thrS//fixX//glpX//ftnA//oppF//aroL//aldB//nuoM//hyfC//csgC//grxC//fimE//caiA//narL//rpsS//treR//sdhA//rrsB//rrfB//rpmI//ccmG//fes//rimP//nuoF//idnK//argD//fdhF//mutL//ompT//cadC//marB//glpC//aspA//trxA//hflK//rrfH//phoH//rybA//sgbH//yfdV//gutM//fadD//nuoB//lacA//hflD//pck//nrdH//paaA//nmpC//miaA//codA//sufA//gatZ//rybA//rbsA//mhpB//nanS//ydhX//rnhB//exbD//ydeM//metQ//ilvD//trpA//efeU_1//phnE_1//stpA//yfdE//citD//tsaE//rpsC//fecE//iraD//ompC//fiu//rhaB//mzrA//cysC//hybF//udp//xdhA//micF//rpsQ//ydhX//mhpC//rnhB//csgF//evgA//galT//acrF//yqaE//napH//asr//cydA//modB//metL//rpsO//ychO//srlB//ssuD//gabP//mglB//serC//caiT//cusS//cynS//csiE//appX//pdeF//fhuC//fnr//envZ//lrp//cynT//proP//tnaC//gatA//nrfG//ppiD//cadA//rrlC//focA//sbcD//bglF//marR//livJ//zwf//bcsB//phnK//aer//acrA//rrsH//lsrK//glnL//ycjX//nrdE//gabT//phnI//sufD//phnK//thrV//ptsG//ubiA//rrsA//baeS//katE//mltC//ampD//iscA//tdh//arcZ//rrfG//tdcE//hyaA//gspJ//creA//aaeA//moaA//rcnA//glgP//casB//gutM//rpsS//tap//pflB//torR//zraS//hyaC//rnpB//zraP//nrfA//pgaB//exbB//fes//glpG//yegR//flhC//yfiP//tehA//lyxK//entC//aer//purB//fucA//araC//preA//ybjG//feoB//dapB//dcuS//rutE//dcuC//pgk//nac//ssuE//rpsF//gabT//uhpC//ydeP//cas1//rpmI//cusB//lldR//fau//cueO//phnG//prs//yegZ//ynfG//aspA//csiE//baeR//aceB//nagC//hyfA//ydbD//pyrC//nlpD//phoP//fhuD//glpX//arfB//fimH//nanE//soxS//lsrF//hycE//rnhB//gutM//puuD//rhaR//gcvH//hdeB//puuR//mtlR//sufB//atoB//torR//iscS//ompC//rbsB//yecR//phnN//aaeX//guaB//serC//puuB//csgC//metY//ivbL//rrsB//treC//metJ//fucA//ascB//ccmB//chbF//cusB//ytfE//rrfD//hofB//phnC//fimC//guaB//lpxA//yfbR//fucI//cysG//malE//creA//fhuD//polA//cysW//pgaB//mglC//fecC//tehA//ydbD//fldA//dcuA//rpoH//sufB//lsrD//ilvD//paaC//fimI//ccmC//fucR//metI//rutC//ydeN//aroL//sxy//nagC//lacZ//galT//hdeD//glpX//nupC//ilvY//hycB//nuoH//phoA//garL//sufA//rdoA//trpC//focA//argO//dcuS//xylB//flhC//rnpB//glmY//tyrP//alaA//napG//tauB//glnD//hyaB//idnR//rhaD//skp//iraD//gltD//ilvL//torC//rpsC//fhlA//chbR//cydC//glnL//arfB//argA//alaU//cydC//cheZ//mdtA//gspO//gatB//dctA//hybA//yqjI//dppF//mhpT//lsrR//cydD//chbG//mntH//rof//rrsG//chbR//fixC//ryhB//cas1//kbl//yfdV//cpdB//xylA//stpA//araC//nanM//fucU//tpx//glpB//kbl//fumA//hupB//feoA//napG//yhcH//yrbL//sbcC//tam//ampE//zraP//codA//hycG//csgA//cpdB//cirA//glcC//torR//hupB//rutB//cysG//cvpA//feoB//glgB//fixA//mgrR//yjcH//gatD//phoH//iscS//ilvL//fepE//bcsZ//dmsC//caiC//aceF//mgtA//yiaJ//ampD//uxuA//acrB//gatZ//lyxK//uhpA//garR//ychO//prpC//gltB//dusB//fimC//argI//gntU//bacA//tnaA//lpxB//csgA//bglG//hdeA//hypB//hypC//safA//artM//dnaE//dppB//yaiA//lldR//araC//hyfH//hybE//ssuB//hyfF//zwf//glpR//yeiB//purF//ubiC//tyrA//ydhV//gcvT//gutQ//fepE//chbC//mdtA//ccmA//rutC//dpiB//caiD//gcvT//focB//ubiA//tomB//dcuS//appX//acrE//norR//fecI//glnG//aldB//nuoL//ydhV//dcuS//uidC//livM//hyaC//fixC//actP//hybE//acrB//fdnI//ackA//yfdV//dsdC//ygeH//uhpT//bglG//xylG//caiD//
ChbR-Monoacetylchitobiose-6P	patZ//leuE//sdhD//gdhA//dcuB//acnB//
CpxR-Phosphorylated	hyfG//hha//nrfF//metE//safA//yqjA//tyrR//hflC//upp//hofC//purH//fimF//baeS//serA//glnK//fadJ//casC//ilvM//mhpT//cusS//nikA//ydhV//uxaC//lysO//nikC//fadL//malI//lldP//arcA//fixB//ndh//hyfJ//nrfF//yegH//yqaE//fdhF//paaK//dcuR//paaI//rpsI//astA//cdd//nagA//melB//alkA//nuoE//tpx//argO//melA//gspK//glcE//lacA//moaA//crp//hyaA//glpA//sdhC//dnaN//ccmA//nuoI//tauD//ccmE//hupB//sodA//glnG//yhjC//hyaF//fadB//uhpC//
CreB-Phosphorylated	tdcE//ubiX//hydN//deoB//pck//hypA//argE//priB//rrlB//
CueR-Ag	uidB//rpsJ//lamB//ptsG//metF//allC//rpoS//
CueR-Cu+	entC//hyaB//speB//entC//creD//deoD//sucC//
CuerR-Au	mglC//idnD//rpoS//csiE//dmsA//manX//mcaS//
CusR-Pasp	ndh//lysP//appY//hypD//sbmA//mtlA//gabP//yeaR//nupG//cusB//argO//manX//
CynR-Cyanate	rpsS//astA//aaeA//ydfN//
CysB-N-acetyl-L-serine	ilvA//entD//rcnA//osmC//ydbD//ldtC//feoB//ptsI//ulaE//araE//chbG//speC//fadE//arfB//metC//yiaO//ynfG//malT//tsr//alkA//phoR//prpE//nrdA//phoP//caiE//lysA//yfeW//ydfH//paaH//glnD//
CysB-O-acetyl-L-serine	glcD//hybB//cadC//mdh//ulaF//gyrA//gltV//ccmF//srlR//tdcC//cspD//rpsJ//nrfF//zwf//katG//safA//trpR//fimD//agaW//chbC//argE//acnB//soxS//tadA//qseC//ygiB//pflB//yoaG//bioC//rrfF//sbcD//
DcuR-Phosphorylated	flhD//ssuA//hycA//metL//cytR//fucR//mdtD//ychH//gdhA//
DnaA-ATP	fadJ//preA//purK//lpxD//phnK//narK//citX//treR//lacA//ssrS//metK//ykgO//
DpiA-Pasp	nrfC//hofM//pepT//tsaE//tyrP//nanK//trpL//purC//lsrB//chbB//rutA//
DsdC-D-serine	envZ//emrK//glnG//
EvgA-Phosphorylated	rrfA//bhsA//pheM//agaW//mgtL//entB//nagE//hisM//pgaA//frc//tyrA//nuoJ//manZ//rnhB//nrdG//
