#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	cyoE//galT//srlA//sufE//
AlaS-L-alanine	murQ//
AllS-allantoin	cysK//deoB//purH//
AraC-L-arabinose	narJ//ilvI//bhsA//uxuR//sdhA//cynX//rbsC//fumB//rrlG//moaD//cynS//yeiB//cusR//ccmE//
ArcA-Phosphorylated	gadB//creB//tonB//casE//yhcH//nanA//alkA//prpD//hycC//gcvH//skp//sroD//paaK//phoB//yoaC//tdcF//narG//zntA//cysD//deoC//nuoJ//ysgA//ahpF//rutG//ybjG//proP//hyfF//cydA//folA//casA//fdhF//fadL//napB//pgaC//nuoG//mhpF//cydA//citD//aroG//sucB//ftnA//bioA//grpE//nrdA//rbsC//rrsH//glpK//dmsC//entS//nrdA//frdB//nac//agaW//rutD//tfaQ//baeS//ygeH//fnr//galK//bcsA//nirB//mglC//malY//fadL//ydhY//guaA//fecE//paaF//sucA//sbcD//cra//ahpF//fimE//agaA//slt//folE//tyrP//yiaM//yeaR//nikE//pitA//zntA//yeaE//hybG//frdC//fumC//alaS//fadD//dsdX//norR//rutG//dmsC//nohA//rrsB//mhpR//ygeA//fhuE//oppB//nrdA//casB//polA//ulaC//ahpF//hycC//eda//galK//csgE//srlA//rseA//acrD//fixC//ssuC//fdnI//motB//cusC//uxuB//baeR//uhpC//miaA//rplM//rmf//aer//hofM//sucC//rrfB//artM//rrsH//phnF//rhaA//yqjH//gadB//ybiT//fucK//cysP//rhaS//ivbL//soxR//marR//leuE//argA//livJ//aidB//efeU_1//fhlA//ilvL//carB//torR//mhpE//ychO//cysH//sodA//csgA//tdcG//nanC//metF//sufC//yhiD//paaZ//ileT//csgA//sdhD//rrsC//cueO//ydbD//entA//gcvT//yjiY//yiaN//cyaR//astE//ppiD//fixB//csgA//pncB//hyfH//upp//fhuC//
ArgP-L-arginine	paaD//ompA//gltV//nrdB//hflK//ugpC//yojI//yeaE//ybdN//fumC//yiaO//mlc//nirD//rplI//argR//hofC//
ArgR-L-arginine	polA//glpG//rutC//rdoA//artM//rstB//carB//iraM//ccmB//nuoH//amtB//nuoI//hofB//appA//araJ//alaU//iclR//gltA//metJ//glpD//rstB//dusB//uxuR//mhpC//phnP//marB//cysJ//rseC//paaE//argA//atoD//nanE//rpoE//nrfF//arfB//cadC//murQ//fadB//appC//
AtoC-phosphorylated	idnK//gabP//yfdX//rprA//
BaeR-Phosphorylated	glgX//xseA//agaW//ssuA//katG//dmsC//lsrF//focA//
BirA-bio-5'-AMP	nuoL//rpsO//cyoA//metE//hycC//
CRP-cAMP	tdcG//napF//araJ//fixB//cyaA//tnaB//spf//ccmC//metJ//ydfN//rrsB//betT//zinT//idnT//nadC//creA//rrsH//ilvY//mhpB//yeiW//yecR//tdcD//glcE//napG//hyaA//tsgA//argT//citX//moaE//trg//talA//nlpE//tyrB//cysG//purB//napD//dpiA//mglC//gutQ//mglB//paaG//aceE//flhC//yiaK//speB//tauD//fau//gyrA//gspG//nlpE//napC//serA//lacY//prmC//treR//phnO//nrdE//glnK//appB//yibN//pgaB//fdnI//ygiA//metA//ynfH//rplM//infB//allE//gcvT//nhaA//deoD//aaeR//fimD//rbsC//yggX//dapB//rbsA//oppB//nuoM//aceK//sodA//arcZ//trpB//argG//hcr//acnB//pgaA//argD//cyaA//rutE//cspD//hypD//glpB//flhD//yfdE//ynfF//sdaA//cysH//gspC//pgk//gntT//gutQ//tauC//hpt//araH//agaA//narH//metI//modA//fucK//ybdN//aldB//emrK//gdhA//thrV//xylH//ugpA//trpD//nupC//carA//cydB//thrV//ygiC//tyrR//skp//acrD//yaiA//rplT//hofM//argB//ahpF//lacY//sgbE//hflX//rplC//fadD//aspC//nlpE//rpsI//deoA//glcA//citC//glpR//hybG//yccA//hofB//rrlE//argP//purM//paaH//hyfE//gltT//dcuD//tdcE//pnp//nirC//mdh//puuP//nohA//pstC//gabT//bglG//mltC//astB//hybO//mzrA//ulaC//hofN//nirC//abgT//metC//hyfA//znuC//rrsA//yegH//acrB//fhuE//eda//rrsD//glcF//carA//fhuE//mglA//mdtA//mhpT//ccmG//iraM//araC//puuB//aroF//rutD//creB//cdd//hdeA//csgC//nirC//livJ//dpiB//araD//cynS//fimA//phnF//grcA//psiE//entE//dps//fdnH//speC//carA//ilvL//rutB//yaeQ//tyrB//cirA//fepA//mgrB//nanS//manY//rof//acrA//fepG//amtB//mhpC//gntR//gspF//entF//idnO//nanE//icd//uidB//erpA//astD//aaeB//tcyJ//ihfA//ihfA//nuoM//metE//phnG//metL//sodB//lsrR//trpD//prpD//cstA//hyfD//livJ//lacA//ryhB//uof//qseC//ugpC//puuE//livH//entS//aroG//iclR//infC//mglC//paaC//paaI//soxS//lacY//pepT//hycC//hyfD//fnrS//dgcZ//yegZ//araD//yjeV//srlA//ynfG//glgP//moeB//fixB//rpoE//ychO//gatB//phoB//icd//ubiG//cheZ//gatD//map//icd//sdhA//hypD//iscR//rpoE//treC//fadD//malM//rpsQ//glgA//gapA//uxuA//metL//ubiG//tyrP//cydC//ykgM//rrlC//mntS//modB//tsaE//cysI//ynfF//rrsB//zinT//malM//araA//sdaA//dpiA//rrfH//bglB//tfaQ//zraS//iraM//sgbE//nanK//yeiB//metH//yhiD//yeiB//nupG//hyfB//argF//phoP//ihfA//cyaR//argP//miaA//serA//ulaF//malG//oxyR//fadE//patZ//yhhY//cusF//mntH//hypF//allC//metF//creD//prpC//fhlA//livH//yidQ//psd//dsdA//hofM//metB//chbG//paaD//rpsP//gntK//lolB//nrfC//ftnA//bamE//metQ//ydiU//ubiC//ynfH//bamE//cyoE//mgrB//ydeP//pck//tktB//ccmC//tyrR//tap//argG//uidB//phoH//mtlD//metL//exuT//motB//umpH//ompX//yhhY//purF//nhaA//ubiG//fimG//slyB//rhaA//prpE//glcF//garR//hypB//hypE//lpd//napC//yjcH//idnD//allD//edd//dadA//tcyJ//rrlG//csiE//oppB//citX//acnA//micF//torA//yccA//argT//lpxB//zwf//araJ//sbmC//lldP//acnB//glcA//ackA//yggX//casC//phoQ//baeR//rrsD//evgS//ccmE//betA//bioB//cueO//trpC//citC//pta//ndh//aceK//micF//fimF//hisJ//yecR//ccmB//astD//hypB//hofN//sodA//yidQ//nuoN//pgaC//ilvN//ldtC//aidB//ychH//cysJ//rbsR//hflX//rbsA//citG//gltB//dppF//ygiA//argF//cusR//nrdE//bcsC//rprA//hisM//dcuB//ccmH//rybA//malZ//hybA//nuoM//mhpR//kbaZ//tolC//nrdH//gapA//idnT//ileV//nrdH//ykgR//yiaK//bglF//gspO//iscR//hyaC//artI//ssb//marR//bcsA//aroA//yiaN//astA//deoD//malP//ilvD//prpR//katE//alaV//ihfA//csgE//nagB//aroG//arcZ//deoD//gltA//ssuE//araB//ytfE//puuE//degP//metC//caiC//lysU//garL//prpC//fepA//yhcH//gltV//hydN//frdD//rplB//hycB//lamB//gatA//
