#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	xylF//thrV//tnaC//yibN//
AlaS-L-alanine	arfB//
AllS-allantoin	gspM//lsrR//moaC//
AraC-L-arabinose	ygiB//tsx//psd//fdnH//hybD//xapA//phnC//amiB//narL//rcnA//paaK//rrlG//nrfB//miaA//
ArcA-Phosphorylated	chbG//cpxR//amtB//puuB//trpE//tdcF//fumA//nirB//gntX//entH//iclR//hybG//gabD//glnA//allC//yfdX//yjeV//treR//araH//hyfD//fes//arcA//ssuA//fliA//gspC//katE//metL//hycI//yedX//acs//moeB//nuoN//acrF//hybB//rpmI//nirB//xylB//gspD//hypD//bioD//srlE//ygeH//argA//pck//cysB//hyfF//ydfH//pgpC//glpQ//dnaA//sohB//sbmA//treB//rrfD//cysH//edd//argC//nuoN//hdeB//yaiA//ybiT//pgaB//evgA//rrsA//yqjA//fumB//evgA//casA//cpxA//gltD//tyrR//hyfI//yeiB//malG//ygiA//astB//sbmA//nuoM//ccmD//envZ//emrY//mhpC//argA//aaeX//gspI//iscS//hybB//glnD//argC//hyfD//rpsR//lsrK//chbG//betB//baeS//polA//speA//dcuS//trpC//fucA//yeiB//rrfB//modA//rbfA//nirD//phnE_1//casB//ybjG//ulaD//ybiT//abgB//casD//focA//mglA//cadA//ccmB//melA//hflC//argO//ulaB//ygaC//yiaJ//rbsK//trpE//bglG//bamA//codA//narX//fecI//csgB//mgtA//araE//yccA//cusF//pgaA//gspF//glpQ//yegZ//moaB//nikB//yccA//yhjC//rstA//purN//lpxB//asr//uvrA//araE//ynfH//bdcA//nohA//ilvG_1//dmsB//puuE//ulaF//tdcE//iraD//focA//fumA//rplD//phnM//tdcE//fimI//ydeM//gyrA//glpA//yaeP//malP//preT//hupB//norV//citD//zraR//fadB//chbF//fucA//tdcF//
ArgP-L-arginine	mtr//ychH//deoB//safA//csiD//acnB//slyB//treR//adhE//ydfH//allD//rseB//nirD//hycH//ssuD//napA//
ArgR-L-arginine	putP//metN//bcsB//prpD//ccmE//glnK//atoE//rnpB//mhpA//zraR//yaeQ//metK//fepG//sufA//norV//araJ//dcuD//cyoB//glcD//csgD//ulaD//gadC//marB//prs//tcyJ//fucP//cheR//allC//entA//nuoJ//mepH//nagC//fadI//cynT//hmp//glnD//aroG//yjeV//rrfB//
AtoC-phosphorylated	lpd//yfiP//moeB//ygbA//
BaeR-Phosphorylated	bglG//ychH//hdeA//puuD//nuoI//gltD//glnA//rrlA//
BirA-bio-5'-AMP	rnpB//tdcG//glcE//gltU//cyaA//
CRP-cAMP	rutA//nrfB//yaiW//metJ//map//tyrA//ccmB//slt//yhjC//ssb//lsrA//phnD//entC//rpoE//fadA//ilvX//guaA//soxR//rbsC//yneM//hycE//nagC//treB//znuA//fucI//cysD//tnaC//ilvX//gpmA//uxuR//yjiY//feaR//ynfK//yjiY//mgrR//narK//fucA//ydiU//cydA//mhpT//mtlD//yoaC//paaE//casD//dsdX//yaeP//yfiP//malZ//gutQ//hypE//argR//ydhY//cheW//yciW//cysU//xapB//yedX//cytR//hlyE//pstS//bamA//rbsB//hyaE//rybA//mtr//nlpD//degP//ugpC//pyrC//sdhD//serA//mpl//cyaA//ybdZ//csgA//rybA//xylA//yciW//purB//ybjG//nanS//prmC//hdeD//lysU//galE//aroG//moeB//glgC//araJ//agaA//ilvG_1//tyrP//phoE//csgG//puuC//znuB//hyfD//ompA//ychH//cstA//nuoJ//sdhD//yhfA//abgB//amn//ydbD//ccmF//dgcZ//phoP//malQ//citX//speA//frdC//casA//glcE//paaE//acrB//melA//rrfB//pheS//nupC//napC//tdcG//fis//metC//galK//efeU_1//asr//gpsA//ccmD//rbsA//narH//puuC//mcaS//ccmB//alkA//pflB//prpC//ydhV//hcp//betT//mgtA//caiD//entF//hyfG//mgrB//phoA//hofO//glyA//ilvL//hisP//edd//hycD//rrlB//allD//ydhU//ytfE//yhjA//rrfC//nuoJ//sodA//dapB//fhuC//rrsD//rrlE//argG//rmf//yfaE//napA//trmD//bhsA//lpd//rbsK//tnaA//gspI//pheT//fecB//fes//livF//allD//pflB//rimM//tcyJ//phnN//argO//uhpC//hmp//hycE//ugpA//glcF//yfiP//moeA//xylF//ssuE//yqaE//uxaB//nanK//serA//glcG//araA//glgX//dppA//lsrG//sodB//alkB//fiu//nagC//glpA//cadB//cysW//rdoA//ubiA//psiF//caiT//patZ//dppA//gspJ//tehB//tadA//phnM//rhaA//casE//purC//ycjX//glgX//lhgO//rbsD//rhaB//idnR//galE//rpoS//paaB//yeiP//tsaE//prs//yiaL//ftnA//ispE//aceE//ompC//hyfD//gcd//pstC//fimE//znuA//mdtB//ydhV//appA//nrdD//copA//argI//garL//mgtA//caiE//rseC//betI//rpsR//nuoB//mipA//gspF//napA//aspA//ilvC//stpA//phoA//melB//gntU//uhpA//gntP//gatA//mdtD//hflK//dppF//hyaA//allD//cysK//gntT//folA//ssuE//puuE//rnlB//chbR//cadC//rrlB//sufB//znuB//iscA//dgcZ//znuC//fixX//astB//allD//ileT//entS//fimF//ccmA//mgtA//aspC//livF//pck//entB//bacA//nuoN//ygeA//fucP//tadA//ulaE//iscA//rutD//mntH//tcyJ//bioC//acrB//galM//mntP//argP//glnK//feaB//phnD//phnH//ydeJ//abgB//fhlA//nikC//chbB//rpsQ//gltB//ppiA//rrsD//rplW//casA//mscM//manA//bioF//malQ//hslJ//lysP//gntP//abgB//cynX//rplD//fumB//tehB//carB//metI//aroP//gntK//purB//manA//pitA//ubiG//metH//carA//purH//araA//phoH//gatA//malF//metN//adiC//nanK//fur//yhjA//appB//napB//narJ//ybdN//argT//acrD//ugpA//argC//cusA//yeaD//allE//cas2//srlA//ydhT//norR//sohB//betI//mhpB//yjjZ//nagC//hisM//fhlA//csgD//guaB//cheZ//ydfH//gatZ//proP//puuA//rutA//ssrS//envY//cyoA//rpsP//rpoH//lysO//rrfG//atoE//oppF//nuoF//oxyR//idnO//ygbA//ybjG//aroP//hybO//cytR//cstA//mglB//cdd//mutL//gspJ//paaG//icd//micF//melR//nikA//ubiA//dnaA//tnaC//pgaA//dcuC//phnF//glnG//phnO//rrlA//katE//pyrC//tsaE//pepT//astA//fecR//paaK//glpD//hha//tam//tktB//aceB//bglF//rbsC//ryhB//phnH//hyfA//ycjX//fepG//yeaD//thrV//napC//nuoJ//glcC//fumC//dnaN//alaS//dusB//frdA//pgaD//paaE//phnD//envZ//astE//upp//mntH//glpD//entB//fecC//glcF//argR//hyfG//rhaR//aceF//paaB//ydeP//hybC//puuE//ulaB//frdC//lsrF//xylA//alaA//argO//zraR//ychH//caiA//nagC//yhcH//astD//ulaC//ccmF//sufS//rof//casD//yoaC//melB//cheB//gntP//cydD//frdD//cspD//rrsH//hycI//paaC//sucB//livH//fumC//hyfR//glpX//paaH//ydhT//fliA//hemA//crp//ssb//cysH//marA//gltV//yiaL//serA//preA//dsdC//abgT//hfq//entB//
