#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	treC//srlE//paaI//nac//
AlaS-L-alanine	cysN//
AllS-allantoin	ydeO//nagE//hofO//
AraC-L-arabinose	rmf//yeiP//folA//baeR//pgaA//baeS//metB//phnJ//gltU//rpoE//dppF//uhpB//ssuB//cysP//
ArcA-Phosphorylated	glpD//glpD//sdhC//dctA//tehB//moaA//cysU//gspD//metA//rutB//xylA//ssuB//aceF//sbmC//trpB//ydhX//tolC//upp//betB//bamE//ubiA//acrB//lpxD//yqaE//nfuA//rplP//nirD//murQ//sxy//phnM//rrsA//rutA//glpD//uhpA//oppF//ilvA//rplD//lacZ//nusA//nanT//argI//cydC//torA//rpsS//aldB//gadB//ihfA//caiT//araJ//uxuA//gapA//pepT//rplI//sucC//hycI//rstB//aer//pdhR//napG//xylF//nrdE//nanM//exbB//ihfA//rrlB//gspL//hyaF//tehA//aspC//ilvI//cynX//ebgA//yneM//yeaD//gntU//appX//mhpC//modB//mtlD//yaeP//nrdD//malF//yhjC//aidB//fimC//hybG//yeaR//hyaF//tdcG//rrfD//glpQ//gatZ//yeiW//uidC//allD//citC//tfaQ//rplB//uxuR//glcG//abgB//pgaC//rpsJ//rhaB//hofB//slyB//purF//mdtD//hycI//rrfA//ilvB//nupC//rpoS//ilvA//rrlA//betI//rhaS//ygiC//cirA//focA//hofC//cysA//mglC//cyoC//dadA//pflB//xylR//artM//dadX//aceE//garL//caiD//lsrK//dcuD//fadE//paaH//nuoG//livF//tam//narQ//csgD//nrdE//glpF//hyfD//nrfD//yciW//fhlA//cusA//ydhT//argT//bcsZ//srlA//oppA//gatC//mlc//artI//fucI//pheS//aceK//oppB//dppF//mntS//fnrS//ansB//citF//lhgO//tyrA//glgB//rplV//fecE//hemA//citC//rutG//sufE//pyrC//mlc//idnK//
ArgP-L-arginine	mdtC//infC//galT//oppD//xdhC//nuoC//artI//narG//ompC//cydA//araF//udp//malE//ssb//cysW//pgaA//
ArgR-L-arginine	artP//nrdH//flhC//ynfF//serA//nohA//marB//ybdN//mzrA//srlA//bioA//hycG//nanM//ilvE//chbC//yeiP//ppiA//nrfC//idnO//carA//deoD//mgrB//mdh//sucC//fecB//narK//trpD//osmC//caiD//comR//rseC//rpoS//yojI//gadB//hofC//phnI//csgD//fixB//oppF//
AtoC-phosphorylated	yegH//yiaM//tauC//argB//
BaeR-Phosphorylated	fecC//argH//emrY//speB//yqjH//rpsI//nikD//aroF//
BirA-bio-5'-AMP	mltC//bcsA//garK//tdcE//ykgO//
CRP-cAMP	mntP//bioD//hyfA//araA//artM//yecR//pyrD//ydfH//dnaN//cheA//nirC//yhjA//fumB//caiE//trpE//ccmH//argC//mhpB//ahpC//ydeA//glnL//lysP//nrdE//sbcC//cheY//fepC//rseC//folA//gutQ//cirA//cadA//alaU//glcE//caiA//pflB//lsrF//yhfA//argC//hyfG//glgS//rrsC//napG//malS//ompX//rutB//csgE//glnB//nrdI//melA//ung//srlA//ygbA//proP//yiaJ//yedX//degP//exuT//ulaF//glgA//atoE//gspC//gspK//rrlC//uraA//lhgO//rrfA//argA//entA//fdnH//ssuD//nhaR//cpxR//rrlD//uidA//caiB//bioA//ssb//metK//glcA//hmp//ccmA//ssuB//livJ//gltD//fixB//dpiA//nikC//emrY//yegZ//hyfB//trpC//betI//cysP//pyrC//mutL//ccmE//casC//ileT//bcsA//ampE//fucI//treB//hyaB//ygeA//tam//pheS//iclR//treC//uxaA//nrfE//sgbH//fadL//feaB//purE//glgB//araE//hybE//tauB//dcuD//glpB//oppC//fliZ//rimM//tsx//hofM//ilvH//nikC//citC//appY//ebgA//sucC//glgS//cheZ//argD//alaV//nhaR//phnE_1//galM//gltV//phoU//crr//glpD//malM//fixX//norR//rstA//tsaE//acs//speB//yegR//rhaA//hyfB//sufA//araA//metR//yoaC//mgtL//hybB//gltW//aidB//gapA//tdcD//rdoA//mntS//ysgA//yegH//erpA//gatY//ubiG//moaC//treR//abgT//ivbL//lacA//chiP//pgaD//yiaJ//ccmA//fumA//rplP//araC//fixA//glnD//livG//rplC//actP//astC//fadL//baeS//degP//argD//glpK//casC//ygaC//kbaZ//exuT//mhpD//cueO//iscS//chbA//cysN//hybG//ygiC//pheM//hycC//iraM//ugpC//csiE//hyaB//fadE//yoaG//mhpB//lysA//creA//glpG//ilvD//acnA//yojI//ahpC//paaF//aceB//tsaE//ampD//treR//sufA//ssuA//argG//napF//fdnI//aroL//rseB//nuoM//puuB//rbsK//phnL//leuE//prfA//nrfA//cdd//paaB//mtr//nhaA//crp//purA//ompW//edd//fucA//cysU//gatA//psiE//hyfD//phnE_2//pitB//gltD//dcuB//rpsC//sufA//rrfD//marR//yiaO//galM//zraS//ygeA//mepH//ygeA//codB//hydN//yfdX//dkgB//ispE//ssuB//phnC//dmsA//purR//fixX//mdtA//argT//sohB//rhaS//fixB//sucB//rutE//ilvN//melA//ompR//uxuA//grcA//spf//hybG//uxuR//zntA//sufB//paaG//pgaC//artP//yoaG//deoA//yaiA//trxA//rrsC//citD//cusR//ftnB//yggX//tar//tonB//znuA//rrlG//rrlE//prmC//ynfF//speA//gspL//folE//uhpA//rmf//tpx//murP//ascF//sodB//fhuB//phnD//srlB//moeB//paaG//trpC//phnE_2//gatC//gatD//pitB//metC//hycA//hycA//ssb//prpB//trmD//rbsD//cyoC//hybA//yeiW//napD//cytR//yiaN//lolB//phoP//rpsR//fecD//lacA//ileT//cytR//tdcD//argI//paaI//hypA//hofN//tap//fhuC//hycD//uxuA//malS//paaC//dapB//ccmB//ybdN//hofN//glpK//frc//gltF//uxuR//mipA//idnT//nac//bglG//putP//ydhY//mhpA//rpsO//katG//pta//mhpT//rhaS//malF//rrlH//rpsO//csgB//hycB//sdhD//dmsA//yecR//baeR//cheA//fhuA//napF//yfeW//lysA//abgA//ssuB//cvpA//nanE//hyfR//yfdX//motB//sucB//astC//gltB//uhpA//sufA//pstS//sdaA//erpA//ldtC//yebE//argO//malI//sdaA//yjcH//ydhU//epd//spy//argB//idnO//gspL//feoB//srlB//proP//rpsP//metR//yaiW//glnK//tcyJ//thrS//iscR//creC//tdcE//gspD//hycF//mgrB//adhE//cbl//cysK//tam//rseB//fepG//fucU//bcsC//metI//lpxD//caiF//nuoJ//rpsF//nrfE//mdtD//nuoA//fixC//puuB//cyoC//pagP//treR//ycjX//cyoD//ulaD//ubiG//livH//ompX//gspL//puuP//purF//gltV//allD//agp//cadA//hycH//hyfC//aidB//yfdV//gdhA//pstC//aldA//malT//betT//acrA//nuoH//pdeF//dadA//rhaA//aspA//evgS//fadH//yoaG//fiu//malK//rof//zntA//alaU//yiaM//citD//casE//soxR//pdhR//fepA//tsaE//ogt//dppA//modB//hypA//csiE//yojI//nrfF//narG//glcB//focB//mepH//speB//mdtD//lyxK//dgcZ//borD//acrA//trmD//fumC//ampE//aspA//yiaK//eda//hyaC//
