#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	phoU//cysN//gadB//rhaD//
AlaS-L-alanine	argP//
AllS-allantoin	entE//nagA//sbcC//
AraC-L-arabinose	nanA//livM//gapA//ugpE//fes//chbF//mntS//rhaD//waaH//nikR//sbcD//ycjX//livH//nrdA//
ArcA-Phosphorylated	iclR//rhaA//rbsA//yaeP//moeA//sgbU//cynX//chbB//gatA//infC//tomB//ychO//yhhY//caiT//purD//qseC//phnK//nanE//nrfD//paaJ//malT//bdcA//pheS//bglF//csgD//garL//artM//appX//arfB//trpA//trpL//chbC//rpsC//gadB//rpoE//psd//hofM//phnK//cysG//xylH//ulaA//fimF//cusC//guaA//tyrP//yoaC//ydiU//ychH//paaD//ilvL//nuoM//fimA//rnlB//cydA//fdhF//cysA//glcG//hycH//aroH//aroP//gltU//sohB//hyaB//gntX//nuoJ//ydhT//ydeM//pheM//znuA//phoR//glcC//yjcH//hybB//xylR//ydiU//sucC//hflX//dadX//phnL//tyrR//yjcH//cysJ//pheS//cheB//casE//rpsS//argT//recF//tdcE//envZ//pgaD//ynfG//glrR//csgF//csgG//appB//pitB//srlA//rseB//ycjX//zntA//rhaD//rpmC//nrfF//narK//motB//dcuB//nirD//hofM//lldD//cysC//cadA//yfbR//icd//trpD//rcnB//citF//nrdA//narL//phnP//ugpE//gspK//pstA//fixX//aaeX//phoB//lhgO//ldtC//acrB//xylF//phnH//oppD//acnA//fimH//ybjG//cdd//marB//cydA//oxyR//uhpC//aldA//argH//znuA//dcuR//alaV//ileT//ychO//iscA//dapB//gatD//araD//purF//moaE//iraD//bglB//hfq//kbl//gspI//xapB//map//gltF//feaR//entF//mipA//nupC//gspC//fliZ//trpL//nanK//paaZ//gadC//ebgA//tdcA//creB//ilvA//trpD//gatD//
ArgP-L-arginine	srlA//pstS//sucD//betT//ygaC//gatD//creA//lldR//atoE//pdhR//nuoL//sucC//dmsD//yojI//modA//yfiP//
ArgR-L-arginine	stpA//rof//aidB//mntH//tolC//dppB//purA//spy//uxuA//nrdB//sodA//chbG//purD//modB//gadC//malX//pyrD//srlE//fixX//mipA//yegR//yjiY//dctA//hycB//rplI//gpmA//hflC//trpA//appB//artI//fadE//sgbU//ryhB//cysM//ygaC//cheA//betA//rnhB//glmY//
AtoC-phosphorylated	idnR//glpD//zraP//gspL//
BaeR-Phosphorylated	purM//cysC//ascB//phnG//yfaE//gspE//zraP//paaF//
BirA-bio-5'-AMP	glpB//deoA//ugpQ//garL//ulaC//
CRP-cAMP	focB//ulaE//rpsC//livH//yhhY//nrdA//napD//mlc//entA//trg//ebgC//nac//argG//pitB//yojI//dmsD//glpQ//malM//oxyR//betI//cstA//mepH//cas1//caiB//safA//glrR//yqaE//glgP//manZ//xdhA//entH//norR//ilvH//cysM//xylF//pflB//yiaL//rybA//hdeD//phoP//glnK//hycF//csgE//lacZ//gspG//ssb//motB//ompW//gspK//exbB//atoD//glnB//eda//argG//hyfD//sucC//cusR//hyaA//cysH//dpiB//nuoA//uidC//xseA//tdcB//caiT//gltD//gyrA//trpE//carA//sufE//metH//ampE//alaT//ydeA//sodA//yhjA//alaT//gpsA//cydD//hflX//iraM//nuoA//rpsR//gntK//glgA//sufB//nirC//garL//acnB//metY//pgaA//marR//hisP//sodA//psiF//gapA//fhuB//srlA//ulaA//arfB//motA//fixB//chbR//cas2//malF//agaA//glcF//trpL//tfaQ//ileV//grxC//xapB//garK//folE//fbaA//murQ//melA//rutB//glpG//tyrB//paaG//yrbL//modC//yaeP//cyoA//mgtA//rnlA//azuC//envY//cyoD//malP//dsbA//appC//ilvA//psiE//glcG//mhpE//gntR//yojI//galS//cbl//rrfG//cpdB//lysC//rrsG//nrdF//proP//hyfF//idnT//mtlA//aroF//tdcF//rutG//glpT//fadI//glcB//nfuA//livJ//mlc//yhcH//glgX//yggX//purL//argR//moeA//rutC//gltF//ygiA//nlpE//mglC//dsdC//pheS//ilvY//rrfD//fnrS//hflX//ynfG//narL//trpR//xapA//hyfR//murQ//mdh//motA//moeB//ccmG//ascB//moaE//map//acrA//nanA//nagE//phnP//dmsA//hyaB//degP//modC//tnaB//ebgC//trpE//borD//sdhA//rbsB//cspE//araA//puuA//phnJ//mlc//hybG//thrV//cysN//moeA//ydeJ//aroF//dadX//mdh//ybfN//hyaE//entA//tap//folE//sdhA//livH//ryhB//uhpA//gabP//ahpC//astA//moaA//alaU//chiP//narQ//pstA//csiD//appX//fhuA//aaeX//znuB//ndh//fucO//envZ//ilvY//xapA//flhD//prs//dppA//glpT//rrsH//manX//mutL//grpE//emrY//ompR//cheY//sucB//ubiC//evgA//mscM//hypB//ssuB//rnhB//focA//metC//uidC//preA//sodA//metE//sgbE//argI//nagC//tomB//spy//nac//mzrA//mhpD//fhuB//nmpC//yggX//rpsR//acnA//ilvC//cysM//kbl//actP//appY//mntP//gntK//yrbL//nuoE//ydeN//glpR//ycjX//gspD//feoC//gltU//cysA//nanK//ydeA//paaJ//feaR//phnL//hofB//ascF//ileT//tam//rutE//allC//azuC//zwf//glrR//mhpB//malK//sroD//mgtL//sdhC//hofO//glpX//astC//gnd//tolC//mepH//sbmC//ompX//yaeP//nuoH//yjjZ//cysI//arcA//paaB//dsdX//cas1//mntS//tdcG//fadE//grpE//napH//nanK//ebgC//aaeB//rutA//mtr//appA//dadA//ndh//rseA//dcuC//norR//leuE//arcA//cyoB//ulaE//bamA//ybdN//frc//dapB//nanE//rpsR//fucP//mepH//chbG//alaT//lsrF//cspD//nrdF//napD//abgA//paaI//ssuD//trmD//ygaC//ccmD//phnG//rimM//fimA//malT//aroL//cysM//gspK//tap//ycdZ//motB//hybD//glnB//melA//metQ//paaC//ahpF//glcD//alaA//cyoB//glnL//nrdB//argI//glgP//manY//ilvC//cpxA//gspC//fimE//purA//rbsB//flhC//ascF//moaB//ygeH//rpsI//cpxA//nuoI//alaT//agaW//caiD//glcD//garP//cadA//pgaD//livK//cadA//yjeV//tdh//cynS//agp//yedX//ygiA//nuoL//zraS//thrS//envZ//betB//cysH//rhaS//nuoL//lrp//phnF//tsx//hisJ//nadC//sdhA//cyaA//citX//aspC//mscM//phnL//lysC//fepE//ydeO//yfbR//yeiL//tnaC//rnlA//fadL//crl//hisP//nrfE//nikB//idnK//ansB//treB//prpB//dsdX//cusA//rnlB//chbR//slyB//feaR//fepA//gabT//uhpA//alaT//phoB//mtlA//rseB//glpG//aaeB//ung//dsdX//ilvX//ydeM//fucK//phoH//cadA//dmsD//feoA//ptsH//hofC//trpR//rrsB//rcnA//rrlH//ysgA//hypD//allC//fiu//hypD//zraS//cpxA//yebE//rplD//malI//rplD//cydC//hyaD//mntS//rhaS//phnC//rrlB//norV//lysC//lsrA//fhuF//gnd//yeiP//lpxD//yegZ//gnd//yegH//cpxR//map//dmsA//fecB//entD//sdhD//ugpB//phnL//gcd//tyrP//
