#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	narH//hofO//dps//alkA//
AlaS-L-alanine	lsrB//
AllS-allantoin	ydhY//arcZ//rrlH//
AraC-L-arabinose	fucR//gutQ//caiT//eda//rrfC//hycD//cusB//dppD//qseB//srlB//tolC//nuoN//rrfC//araJ//
ArcA-Phosphorylated	metE//alkA//hyfF//hycB//betB//entC//sufC//rutB//oppA//rrsA//nupG//fixB//deoC//garL//puuD//arcA//fadL//bioF//ubiC//baeS//hycF//ydhY//znuB//gspJ//aaeX//creB//hupB//hycI//rnlB//yegH//sucA//ugpA//copA//gutM//sbmC//fecA//argB//ydhX//rrsA//dusB//glgP//hybG//araB//entH//fimC//creC//ygiB//melA//mlc//aceF//ftnA//glgB//nuoG//bioF//pstA//tyrB//fhuD//hisM//ackA//efeU_2//srlD//hofP//fhuC//sdhD//aroF//ompR//glcB//argI//rplS//lldR//yjcH//yiaM//ysgA//nanE//ydhT//mhpC//glpQ//feaB//ydhV//acs//trxA//tdh//dapB//rplB//pdhR//dcuS//yqjA//ebgA//yfiP//glnB//rhaS//ebgA//dsdX//phnO//speA//rplP//uof//gspO//rprA//hisQ//pitA//lldR//cadB//creD//srlB//uhpA//nhaA//nanA//hyfA//cusA//priB//yojI//glcF//yedX//sgbH//metK//bglG//metR//fucP//fucO//serA//nupC//xylF//hflX//ccmE//ssuD//rplW//rpsP//hyfA//ychH//crp//gltV//ilvL//zwf//garR//cyoC//ccmB//artQ//mepH//hybO//ytfE//malS//bcsZ//csgC//alaS//copA//dadX//mutY//fliA//fau//rseB//metY//entD//prpC//caiC//fldA//mtlD//nrdD//ackA//alaV//hyaA//dnaA//hybF//narQ//ybdZ//lsrR//dnaA//kbaZ//fiu//paaE//glcE//glnB//fdnI//hmp//hycB//hypF//tehA//
ArgP-L-arginine	malF//gabP//cysM//aspC//paaI//creB//mdtB//rhaB//ahpC//hofO//rpsO//hemL//mdtC//rrfF//yeaR//lysA//
ArgR-L-arginine	hycD//gatC//trmD//puuE//malK//marA//cusF//recF//hyfE//nanS//tdcC//manA//bacA//cyaA//mltC//lsrA//puuA//glnB//ampD//ccmC//tonB//prfA//tomB//narI//bamA//lldD//manY//frdD//ssuB//rplD//glpX//dkgB//acnA//iraD//ldtB//nuoL//bamE//polA//cyaR//
AtoC-phosphorylated	rrlC//crl//pagP//mhpC//
BaeR-Phosphorylated	cysH//artQ//guaB//idnR//tonB//rplP//aroP//tsx//
BirA-bio-5'-AMP	hofO//citE//agp//glpX//dppA//
CRP-cAMP	ybfN//gntT//rhaD//uhpC//skp//nuoB//degP//astC//hybC//rrfA//rpsO//glnA//miaA//fucU//moaB//fes//ulaF//gltW//ydiU//napG//sufS//ilvN//icd//nrfD//paaK//ppiA//rrsD//fucR//nuoF//astE//yqjH//dcuB//tpx//casA//nirC//cpxA//gntX//yjeV//betA//nanM//gntT//rnlA//alaS//hydN//gntU//aaeX//fucR//cpxA//ptsI//artQ//fabZ//rbfA//puuA//aceF//astC//pyrC//citD//hydN//sucB//purA//raiA//creC//phoH//livH//ynfE//dcuR//cyoD//glcD//crr//cysH//fixA//cysC//puuD//ydeP//rplS//secB//ubiC//hypC//pdeF//csgA//purL//fnrS//purE//nuoC//sucB//acrD//puuR//pnp//torC//betT//nuoE//rseB//tdcC//fucK//ugpQ//mhpT//paaC//phnN//gadB//fadE//recF//ugpQ//xseA//ldtB//tehA//fhuC//rpsI//cusS//cpxR//ldtB//galE//rnpB//allE//dsdX//nlpD//rdoA//hybF//yidQ//mhpA//argR//speB//cyoE//ogt//hupA//csgG//cysN//galT//glpD//metY//nusA//abgB//ynfE//paaE//pepT//uidA//xdhB//uxaB//gntX//xapA//fnr//mntH//casE//uhpT//crl//prs//araH//modA//glpB//folA//lysP//ppiD//aceB//hypD//aroF//mdh//ilvC//aroP//fadE//ascB//prpD//dps//cheW//moaB//narJ//skp//rcnB//narJ//hybC//yoaC//ccmA//torD//yggX//malG//ydeN//cusR//rrfD//melR//fadE//azuC//idnT//galK//malQ//narI//dadX//agaW//gspJ//yhcH//uidC//livM//nadC//atoA//yhjC//ilvI//gpmA//rrsB//pyrD//tauC//bioC//ccmG//sbcC//nanK//manZ//hypA//nrdF//hyfG//rnlB//ileT//efeU_2//bioA//zinT//rdoA//guaB//rrlE//ascF//serA//nirD//paaJ//alaT//rpsI//livH//glpQ//aroA//dppB//tnaA//hofM//lsrD//rrsE//ilvD//speB//lldP//aaeB//nuoB//sdhD//rpsF//argB//torD//phoH//ilvG_2//glpQ//aroL//ydeP//hcr//treC//malM//nrfG//cytR//pheT//rseB//map//yjeF//ilvN//cvpA//rhaD//gltD//pyrD//trg//gspK//dkgB//trpE//dcuC//yqjA//mtr//oxyR//mdtB//nagE//cysJ//hlyE//fiu//preT//ldtB//srlB//rstB//paaE//acrA//tpx//tauC//napB//amn//glrR//lrp//ygbA//ubiC//oppA//pheT//ytfE//caiT//oxyR//caiC//icd//yjiY//cynS//xapB//paaG//galE//leuE//entD//malS//gcd//ydbD//nhaR//pflB//slyB//uhpC//yoaG//ilvX//melA//murP//tdcC//alkA//pagP//gltU//znuB//trpC//glnK//raiA//ileT//fadB//soxS//ftnA//rpsS//prpD//argD//rutF//gatC//rrsA//mutY//cysJ//crp//yhiD//rnhB//yiaN//csgF//rrlD//ulaB//tyrP//alaT//malQ//fadB//paaZ//nrdA//ydfN//gabT//fimH//idnT//araG//ahpF//feaB//yfaE//ygaC//lsrK//phnC//pepT//envY//iraD//purN//emrY//trpB//hyaE//ubiG//fimC//yqjH//pheM//gutQ//aaeB//nikC//astD//glpD//yjeV//fepB//phnE_2//ompX//folE//ycjF//glpA//patZ//dnaN//gntT//cysW//fixA//fhuF//rimM//sdhC//appC//hyfI//yhjA//zraR//sucB//prpD//ydhY//grpE//tauD//srlB//fecD//katG//hflC//uxaA//yebE//ccmG//ybfN//trpB//bioD//tomB//prs//dppC//yjeF//hemA//frdC//yfaE//deoB//appC//yiaN//nirC//tsr//csgG//iscU//cusS//dmsD//fimD//map//lysC//glcG//tdcD//ydeJ//bglF//fixB//phnK//oppA//osmC//zraR//phnC//rutF//sucD//aroH//ascF//lysP//yebE//cytR//abgA//hybF//bglB//nanE//yebE//acnB//gltB//pgk//astB//acrA//nanE//dcuA//betB//mltC//ynfF//cra//glgX//tdcD//ysgA//arcA//artQ//nrfC//cirA//ptsG//paaF//ychH//gntU//hybA//eda//mgrR//livJ//sbmC//rcnB//yqjI//malM//manA//gltW//dadX//ldtC//ahpC//cas2//lsrF//casB//mgrB//purD//rnpB//treR//cas1//caiE//modB//ydhX//yoaC//mntH//citE//hypA//ilvH//narJ//creD//entH//serC//putP//gatA//ssb//purK//moaA//yaeQ//hypC//rimP//glpQ//yhiD//livG//cpxR//ygiB//acrA//tsgA//ygiA//ygaC//xylA//mdh//livF//znuC//exbD//rnlA//oppB//cyoE//hisJ//oppF//glpF//
