#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	cysK//yidQ//actP//upp//
AlaS-L-alanine	ybfN//
AllS-allantoin	cysA//phnH//fucU//
AraC-L-arabinose	rrfA//hofM//rrlG//uidB//gltU//nanS//zwf//gabD//csgG//ompR//gspF//moeB//argR//chbA//
ArcA-Phosphorylated	lyxK//rrfA//aroA//iraD//argE//argD//ynfK//nlpD//nirD//focA//dsdA//araH//yeaD//rrsD//yaeP//mhpR//hyaB//aldB//malK//gspL//gatY//amiB//fadL//livM//cyaR//ihfA//ssuA//ydeO//yjeF//livM//grpE//hdeA//cysP//fumA//pdhR//fucA//fhuC//sucC//ampD//hflX//yidQ//carB//gntR//xapB//malP//yjiY//gabP//fixB//dnaN//livM//rnlB//cadA//rbsA//nrfC//fucP//rhaD//mdtB//alaA//phoQ//ilvI//yeaD//gatA//dmsC//norR//sbmC//cadC//ykgM//zraS//gntP//lsrA//sroD//yhjA//dps//cysG//idnO//tyrA//crp//nfuA//acnB//rhaS//yfdV//mzrA//cheY//bamE//ahpC//dpiA//hyaB//codB//yiaN//pgaB//alaU//cbl//nrfD//dcuR//marB//metN//yjcH//nrfG//metN//phnJ//sohB//kbaZ//purR//spy//uvrA//lpd//srlA//csiE//qseB//lpxB//glpT//mutL//zraS//lysA//degP//yhjC//melA//rcnA//pgk//feoA//fhuA//lacZ//umpH//copA//ssuD//creB//napD//mntS//mltC//pagP//fucR//nikB//gabD//yiaN//osmY//srlA//hybA//yjiY//fimI//rutD//ptsH//pgaC//rcnA//napC//rseC//lyxK//gatB//prpD//modA//rbsB//purB//trpE//yeaR//nirC//dnaN//yiaL//bioA//polA//appY//uraA//frdC//mhpD//mntH//ilvG_1//cirA//rrlG//fldA//hlyE//hycA//srlD//aaeX//rnpB//hslJ//sufS//hybD//nrdG//allC//
ArgP-L-arginine	cheY//metH//ydeO//chbF//mhpC//hmp//dmsA//priB//rplC//uidB//codA//cvpA//yhjC//nupC//narI//ilvD//
ArgR-L-arginine	hupA//gltA//nuoK//ydeN//rrsC//fixB//acrE//creB//ynfF//cusF//preT//acrE//allC//rplB//sufD//citE//rnpB//fadE//puuR//glgC//fhuC//uxaC//tyrA//manX//ygeH//rpsR//casE//aroA//rplD//lsrF//bcsA//araG//cytR//cusB//cynS//fis//zraS//bhsA//hybG//
AtoC-phosphorylated	nuoH//livG//speC//glpE//
BaeR-Phosphorylated	rstA//pgk//mhpC//tpx//argH//ydbD//caiE//fadJ//
BirA-bio-5'-AMP	cheZ//narX//sufS//cydA//fhlA//
CRP-cAMP	nanT//cbl//aspA//envZ//uidC//ppiA//caiD//hybC//hyfR//dppB//phnL//rplS//hisQ//hemA//puuP//gabP//glpB//oppC//frdD//appC//yjiY//phnP//caiE//fimH//tsaE//cirA//hofC//bcsA//soxS//gatZ//rrfE//ryhB//ygeA//cydA//dppD//yaeQ//lldD//ydfH//idnK//tsr//nikD//tcyJ//ygaC//cheA//lsrC//fepE//lsrC//glpX//phnL//ygaC//sdhD//ileU//livH//xdhC//fumB//yidQ//yeiW//yecR//ptsG//rimM//metL//tauC//ebgC//ppdD//creC//dcuA//glnG//hofB//tdcE//feoA//baeS//lysO//aidB//marR//ydeP//lsrB//cheA//cas1//zraP//malZ//tdcD//acrE//fimH//norW//feaR//speC//chbG//rrsE//glpG//yqjI//ygiA//ynfE//fabZ//lsrK//dcuD//oxc//ompX//tdh//slt//sxy//ugpE//nupG//lacI//paaA//ppiA//moeB//cusS//yeiL//paaZ//nanK//rrsC//qseB//ilvB//ada//pyrD//rplD//nrdD//preT//dps//fecC//cysC//ompA//dnaE//prs//pgpC//hyaA//bamE//uxaB//aroF//ampE//abgA//cra//codA//cusR//lsrF//purF//dadX//gdhA//oppA//spf//gntK//gabP//tdcD//cysD//ccmD//nmpC//argF//flhD//mltC//ycdZ//chiP//mdh//puuB//hyaA//rimP//glpK//hpt//motB//puuP//fadA//malQ//alaV//hmp//fhuA//crp//fecR//deoD//hofP//edd//csgG//rpsP//fabZ//ilvC//trpA//rpsO//phnK//yedX//rybA//ppiD//sbmA//xdhB//rhaT//cysG//nanA//hupA//codB//citE//torA//ompF//lacI//lsrA//glmY//purD//entS//lyxK//fbaA//ftnA//uxaB//dcuR//cstA//tcyJ//gcd//fbaA//folE//nuoJ//ccmE//treC//argT//rpoS//yiaK//nikA//ynfH//priB//skp//ileT//araB//purB//gltU//gadC//nmpC//avtA//rrfA//cyoE//purC//ynfG//yjiY//argE//lpxB//fumA//serA//cysK//entH//hupB//cusB//lyxK//ompF//astB//ydeP//truB//chbB//hyfR//qseB//idnO//prfA//hha//hofM//nrdI//csgD//nanE//fdnH//nuoH//napB//ssuA//ilvE//chbB//garR//hyfH//uhpA//caiD//purH//nikE//dpiA//bdcA//mglC//pepT//acs//rrfG//hyfE//napC//gspC//purD//fliZ//ykgR//lsrF//bglG//sroD//glcA//mhpB//carA//tdcE//rstB//tdcE//fumC//rpsI//metA//agaA//purC//ilvE//sbmC//uhpB//tdcB//nrfA//uhpC//yhcH//ompC//fumB//napD//melR//cspD//aspA//narK//hofM//cysW//fimC//ydhY//bhsA//fucI//ebgC//deoC//xylA//aaeB//malF//treR//hyaC//astC//yiaJ//aroL//katG//hisP//uhpC//qseC//treB//arfB//grpE//cpdB//ydeO//torD//aceA//hycH//xylR//artI//aaeX//hyaE//fhuD//ubiA//soxR//motB//speA//guaA//mutY//frdA//xapA//yojI//fadB//ybdZ//uxaB//fhuC//sbmA//gltV//rbsR//sdhB//focA//fixA//rrfC//nfuA//galP//glpG//tomB//cusS//sucA//betB//purN//trpE//dctA//gnd//fdhF//creB//malY//udp//tcyJ//livM//hisM//nrfE//fumC//sbmC//araE//prpC//mdtC//moeA//ileU//puuD//artI//sxy//livK//fepA//rpoS//ileU//pheS//lsrD//mtlA//fimG//osmC//gntX//pgaB//trxA//degP//mgtA//marB//pstC//fucA//rnhB//yhhY//cheB//proP//xdhA//rrsC//casA//metL//cas2//phnE_2//glnK//yiaM//xdhC//efeU_1//yaiA//csgF//ccmG//uxaA//lsrD//sufB//yqjH//gabP//ykgO//rpsC//malT//fepD//arcZ//fixX//mntS//phnC//ssb//rplC//araG//hyfF//ampD//cueO//argH//ebgC//mcaS//dmsD//argT//rrsA//umpH//kbaZ//hydN//garR//yaiA//mzrA//rbsB//codA//sbcC//ynfK//gspC//yiaL//tyrA//ccmD//fecD//hflC//alaT//sgbE//purN//cusB//rnlB//acrE//sufB//fecR//araF//argH//ilvM//aroH//fecB//frdB//rplD//hha//melB//frc//yhfA//uxuA//bhsA//ptsI//ssb//ihfA//ryhB//malG//yedX//deoC//dsbA//ccmD//mhpA//gatA//nusA//emrY//dsdA//ompT//cydC//yfeW//miaA//rbsK//ftnA//ydhV//narK//mdh//hofB//xdhA//yqjH//hyaB//trg//mhpA//betB//sbcC//puuB//rutC//ybdZ//appX//yeiL//hisQ//rpsI//cysN//trg//rutD//fadA//hypF//purR//yeiW//fes//
ChbR-Monoacetylchitobiose-6P	oppC//yibN//ldtC//oppB//ydeJ//mscM//
CpxR-Phosphorylated	pgpC//ilvG_2//yiaN//zntA//ydeM//nirC//fucI//hflC//emrK//dadA//creA//dppB//aceA//rpsP//zraS//nrdG//hlyE//entA//acrB//ftnA//nupC//rrsH//uidB//rplI//hyfG//srlR//glcB//glgC//yedX//rbsA//entS//guaB//rpsR//pheT//baeS//rrsD//dcuA//ilvH//cusC//cytR//fucK//cpxA//creB//fecR//zwf//degP//fhuD//nagB//yoaC//fhuF//ompA//tomB//rpsR//lsrB//tnaB//metN//rbsC//idnK//lsrG//cpdB//rrfC//yjeV//moaD//yiaN//dcuC//paaE//dppB//acs//argC//
