#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	srlR//ung//rpsJ//rbsC//
AlaS-L-alanine	hofC//
AllS-allantoin	hybC//sbcD//dnaE//
AraC-L-arabinose	guaA//idnO//nikB//nikE//folA//sufB//envY//fimF//efeU_1//ascF//rstA//deoA//metE//galM//
ArcA-Phosphorylated	lsrC//purM//yfiP//malZ//araA//fbaA//ykgM//rhaA//fhuC//phnN//carB//norR//ygiC//efeU_1//talA//fadI//yhfA//puuP//fecR//safA//hycG//alkB//truB//fucK//ryhB//sucB//mgrB//fdhF//sodA//malP//cynR//hybB//ilvD//ssuC//evgA//glnK//hyfJ//sgbH//mpl//cvpA//purL//ydfN//nuoJ//csgG//uhpB//evgA//purK//degP//treC//ygiC//mntH//hycG//ydiU//sdhD//phnM//uvrA//priB//nhaA//nupC//sucC//lsrD//gspC//purB//yedX//mgrB//hflX//ycjF//hdeD//malZ//fadA//rrfC//rutE//aaeR//paaD//tdcA//tauC//nuoE//pdeF//aaeB//moeB//pnp//chiP//hybC//ssb//csgC//metJ//modA//ynfG//ydhT//purR//cas2//rcnA//gspG//glpE//phoB//nuoH//feaR//gspH//yneM//copA//deoA//srlB//paaZ//preT//tcyJ//mdtA//ptsI//napD//tktB//lysO//agaW//gatC//amiB//mscM//artI//mtr//glpT//torA//gltB//dpiB//frc//hybG//tauB//yeaE//ugpB//galK//yojI//ppiD//nrfC//trpB//phnG//map//dcuB//rpsC//fecR//iraD//treC//yjjZ//nrfG//gltF//oxc//entA//rpsP//bamA//yfiP//glcD//araB//pyrC//mgrB//dcuC//hyfC//lsrG//mglC//rdoA//glcF//gyrA//csiD//dmsB//yeaE//argA//tauD//kbl//fepD//aroH//creA//fecB//glgB//hycD//dcuC//grxD//cydA//sgbU//ynfE//ubiG//tonB//paaI//efeU_1//
ArgP-L-arginine	gspL//pdeF//ackA//carB//csgE//dppC//dcuC//alaV//gltT//proP//tnaA//pgaD//ydeN//idnD//puuE//glnG//
ArgR-L-arginine	icd//nrdA//ccmB//gltW//ubiA//udp//malT//frdD//marB//sufE//glcD//hofN//pgpC//rrsA//ugpB//fumA//rseA//yiaM//gcvP//hycB//ilvC//napC//sdhD//malY//sodA//hofM//frc//mgtA//rpsP//ugpB//fau//ugpC//exuT//nrdE//ugpA//nirB//focA//rpoH//glpR//
AtoC-phosphorylated	glcC//ygiA//rnlB//aroH//
BaeR-Phosphorylated	yfaE//tnaB//deoC//csgF//ilvG_1//yeiP//rrsC//fixB//
BirA-bio-5'-AMP	chiP//alaT//gspH//aaeA//cusC//
CRP-cAMP	artM//frdA//gspE//csgD//yidQ//pyrC//ccmF//rrlB//uxaB//prpB//nirC//allC//rplC//ilvG_2//marB//ptsG//hisP//yfbR//ccmG//metF//rpmC//aldA//bcsB//rbfA//oxc//araB//dnaN//metE//stpA//argC//acrF//cbl//cheR//csgG//trg//malS//allC//ilvD//rplV//hybA//efeU_2//fucU//fhuF//ycdZ//emrY//xylG//xylA//appA//treB//dapB//cpxR//pagP//cynS//sufC//ydeO//glgC//gspJ//cyoE//ycjX//fis//cstA//ssuB//uraA//glpX//acnA//caiF//cheB//marB//nmpC//rpsQ//tyrP//fepB//efeU_1//prpD//ugpE//gspH//fadH//alkB//lldP//fucU//tehA//casA//rnlA//trmD//nuoE//cheY//glnB//ydeO//raiA//fecI//fumB//araD//tyrB//nrfE//deoC//gltW//chbR//yiaL//tdcC//chbG//tnaA//acs//dkgB//rbfA//fucU//lldD//nanK//rpsF//puuE//tcyJ//nikR//aldA//nupC//malQ//artP//phoA//fucI//gpsA//cpxR//xylR//yegR//nac//astE//ugpQ//alaT//codA//gltA//fdnI//ptsG//nuoH//araH//rplW//phnE_1//napD//sucA//gcvH//pncB//uvrA//aceA//purB//raiA//fadA//sgbE//rprA//moaD//nusA//malK//glpD//lldD//metI//glnK//acnB//puuE//pncB//uraA//hycA//argO//hfq//fumA//phoU//lacY//csgB//prmC//rimM//ilvN//fucP//truB//ptsH//ompT//trmD//bioD//fepE//paaK//fbaA//sbmC//cysJ//rplB//gpmA//cydB//ydeA//hha//mntP//acs//phoU//cadB//pstA//cadA//fadJ//manY//yiaJ//pheS//ubiA//nanM//glpG//rrlG//aroA//puuD//nohA//mhpA//acrE//hyfF//agp//ppdD//tolC//hycD//pgaA//modA//hybE//pagP//yiaJ//sodB//hypB//dcuR//fadD//patZ//gyrA//gspL//feaR//tnaA//nrdF//tdcF//prpD//rbsK//atoD//pstS//csgC//yfeW//garR//sgbH//dpiA//frdA//rrsH//ybiT//galE//ydhW//fldA//moeB//sbcC//fepC//avtA//ompF//fliZ//lsrA//mdtC//tfaQ//fabZ//ung//tdcA//ung//fdnG//ilvC//rhaA//gltW//torR//ysgA//garP//glgS//hcr//ccmF//puuC//ybjG//hcp//uhpA//fecR//mhpF//metH//mglB//phnM//paaA//fdhF//nac//moaB//fumA//ampE//norV//znuA//mhpE//galT//ilvM//tauD//phnI//chbA//aroM//chbR//dapB//fhuF//betA//nhaR//aceF//dppB//dcuR//alaU//nagC//galE//malZ//safA//nrdH//sufD//upp//guaB//alaA//glcD//nirB//hyfC//qseB//bglG//fixX//glrR//narG//narL//psd//dps//frdA//mepH//hyfE//treC//fepD//ileV//hyaA//fhuB//hycA//moaC//gabD//metH//spf//alaV//gltW//pstA//ilvN//yhhY//lyxK//nrdG//feoA//iscU//speC//ispE//proP//ugpE//pheS//psiE//gdhA//ilvC//malP//fixA//sdhA//serA//bglB//focB//hyfB//argH//fadA//astD//hcp//yfaE//hybG//glnA//argG//ilvD//yhjC//grpE//appA//phoU//caiA//hemL//fimF//sgbE//ssuB//oppA//argH//dsdA//asr//argO//cheZ//rstB//ebgC//nuoJ//deoD//cpxA//preA//ascB//ugpQ//araB//rrsC//hypD//cra//mgtA//tonB//glcD//gpmA//yrbL//gatY//metN//gyrA//mglA//pdeF//araD//livK//yfeW//yiaO//flhC//nanE//ydeJ//ubiA//garK//aspC//glgA//lyxK//argO//nuoE//araF//phnH//trmD//ubiA//serC//thrV//yidQ//rpsJ//citF//adhE//glcG//nuoH//fhuF//bioB//pta//ompC//marA//ung//ydfN//hdeD//cueO//pgpC//citF//paaG//preA//hcr//fepA//nirC//fdnH//xylF//rseA//cynX//iscS//cusR//oppD//spf//rrlC//sufA//nuoH//psiE//ilvD//lldR//lyxK//narK//gspE//rhaB//gspF//pdeF//metH//bglF//tap//ompT//uhpT//mntP//grcA//carB//infB//fepC//nuoA//ssb//borD//ilvM//cra//rrfE//nikB//gatC//acrD//mhpR//chbC//evgS//ygiC//cadA//fliA//ahpF//yfaE//gcvH//nuoJ//lsrA//purD//cynX//trpA//slt//ackA//malZ//cysW//acrF//iraD//rbfA//aroA//nuoE//mdh//moeB//fhuD//purF//fecD//fimG//fliA//ugpA//cydD//fdnH//pheM//hha//rnlB//appA//znuC//tsgA//nrdD//miaA//norW//betB//purK//narQ//rutB//tar//osmY//rutC//
