#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	rpoE//astD//pgaA//fecD//
AlaS-L-alanine	citD//
AllS-allantoin	aer//hybO//fepA//
AraC-L-arabinose	artJ//cusC//cheA//entC//sodA//srlR//purD//ompW//oppB//ynfF//emrY//yfdX//ygiA//napC//
ArcA-Phosphorylated	puuR//metY//fhuB//dcuS//nagE//agaV//lsrG//glnK//purR//paaK//xdhA//xapA//dppA//astA//allE//ppdD//yneM//leuE//fimG//hupA//yjiY//puuB//cusC//creA//baeS//fau//gspK//lsrR//speB//udp//icd//hypD//galM//fepC//waaH//uof//oppC//yecR//carB//feoC//hyfR//ygiB//cyaA//idnK//ilvY//tehB//hypA//gpsA//purB//ilvD//gspO//narI//ychH//cysN//rrsB//hyfF//aceE//tsaE//araC//lysO//hofC//aceF//metJ//ada//ilvM//serC//spy//rnpB//argI//hdeA//nuoL//mscM//allC//bdcA//entD//yeiP//lacZ//idnD//lyxK//phoU//nikB//phnD//ycjF//lpxD//manA//mscM//acnA//lsrC//soxR//tsgA//mhpA//nrfA//citE//ynfG//fecE//pitB//dapB//gatC//glpB//uidB//rbsK//fucA//yiaL//xapB//fau//alaU//torR//yiaM//fucA//zwf//ptsG//ydhV//puuB//nikC//agaV//acrB//epd//paaE//ydhV//aroH//srlD//lacY//bdcA//bcsA//prmC//argB//argT//infC//artQ//caiB//ileV//phnK//gspC//hyfJ//nuoA//rnlA//znuB//feaR//rseA//puuB//chbB//pflB//gspE//rpsR//cusC//cusS//aldA//ycjF//napD//rrlH//gntK//hyfA//phoE//creC//ilvM//mhpE//marB//kbaZ//paaG//fes//tktB//fimE//gabT//pheM//ulaE//napF//ynfF//lldR//gadB//metB//osmC//frdC//aroM//glnG//ycdZ//cysA//ahpF//
ArgP-L-arginine	phnC//fecD//yeaD//lysU//fecR//gatZ//icd//yeiB//phnF//nrdI//dpiB//alaV//fadA//hybF//tdh//ydeP//
ArgR-L-arginine	metI//tehA//purB//rhaS//oppD//secB//phoU//ydbD//phnI//trpA//mdtC//hypE//yfaE//cysM//yeiB//tnaC//ygeH//gabP//ilvL//ampD//cusB//prpE//cynR//rpoE//ftnB//nikR//zraP//sdhB//idnD//frdC//dkgB//srlA//argD//rplV//cheA//gspC//fiu//gapA//znuB//
AtoC-phosphorylated	pgaD//udp//infC//ileV//
BaeR-Phosphorylated	mhpR//malM//hisQ//purA//fur//mgtA//evgS//araJ//
BirA-bio-5'-AMP	sdaA//gatZ//purN//guaA//ung//
CRP-cAMP	mtlD//casB//ompC//argB//astB//sgbU//dsdC//gspO//iclR//cysA//yiaK//fucO//xylG//fhuD//mtlR//ssuB//aaeR//bdcA//ampD//narL//glpR//norR//rplI//alaT//livG//aaeR//ydhT//ilvD//nrdD//glpQ//guaA//gltD//livG//purF//ulaF//rybA//puuD//hofN//raiA//dpiA//rpoH//cdd//metK//nrfE//chbG//puuE//malT//preA//thrV//paaK//cspD//fhuA//trpD//yebE//sroD//fabZ//rplM//malQ//hycC//lldP//uxaB//yjeF//rrsA//paaF//fecE//glpK//hofN//gadB//chiP//argI//cusF//bglG//acnA//hyaD//tnaC//sgbU//rrsA//hycG//ydhU//hycF//gltB//recF//lysU//yjeV//hybD//tdcD//mglA//rpsJ//alkB//bcsZ//torC//ndh//cysB//nac//gspD//oppF//fes//napB//tsr//oxyR//hdeD//oxyR//argR//yeaD//sbmA//fau//rutC//qseB//trpR//artM//treR//araJ//yjeF//casA//chbC//lamB//yhjC//ybjG//xylA//iscR//lpxD//pgaA//purL//paaG//tap//rpmI//bioD//feaR//purA//hyfR//nfuA//yciW//mgrB//adhE//nuoI//trpB//nrfE//iscS//trg//citD//ybdN//priB//creB//pgaA//lysC//mntS//galP//hyaE//argT//csgD//yqaE//fiu//fumC//rrsD//sgbE//csgA//rrsE//metA//glpB//prpD//gatA//galP//chbA//dmsB//yiaO//bacA//melR//hupB//cysI//znuB//napD//ynfK//cynR//infB//purC//ubiG//phnD//glgX//uxuA//hupA//yjeF//malZ//lysP//ascB//uraA//tdcF//rrlB//agaW//puuB//yeiL//yfeW//rbsC//casD//nusA//sbcD//moaD//thrS//argA//tehA//yhjC//gutM//rrlA//hycA//phnD//nuoL//caiF//treB//citD//lsrF//cysK//ykgO//iclR//ydeM//hyfJ//ompA//sucB//rprA//nirB//phnH//rrfA//argO//gatY//carB//fhuA//rseC//ilvL//malZ//nanC//yaiW//lhgO//bglG//trg//cydA//araJ//edd//speA//tyrP//gntT//nikR//marB//rrlE//mglB//fhuC//hybG//sbcD//betT//iscS//caiE//phoH//efeU_2//fadH//tyrB//bioD//fecB//gntT//tauD//mntH//rrlE//hemL//betA//gdhA//caiB//dsdX//phnF//paaG//ileU//ugpB//deoC//arcA//recF//yfaE//gntX//gpmA//glgA//chbB//oppF//creD//caiT//ubiA//artI//aroP//psd//hypA//ompX//ppdD//csiD//cyoC//yaiW//rutE//fau//gabD//gntX//yoaC//lpxD//sdhB//yaiW//iscR//rutG//moaC//ydfH//fhuA//dadA//nikC//pta//fhuF//gspL//rpsQ//ompW//grcA//lacY//rhaR//fepE//fhuB//thrS//nanT//treR//yegH//gltD//argP//rrlG//ulaE//rutC//mntS//phoR//trmD//deoA//rrsE//hemA//dcuR//pdhR//ompR//aldA//alaS//proP//hyaB//hyfA//uraA//ompR//rof//hycE//mdtA//fecB//prpR//glnB//nrdA//hisP//exbB//glgP//dnaE//hofC//slyB//xdhA//fepA//argR//ebgA//hyfR//dsdA//hyaF//ssrS//rplI//purA//ybjG//rof//zraP//creA//dadX//nikE//motB//pyrD//murQ//lsrC//torR//tcyJ//araF//fepD//entH//hybE//cysB//crl//glgX//gutM//fecA//ogt//mdh//rhaD//arcA//sdhC//betB//gntT//iscU//phoE//fucK//mntP//exbB//rrfC//gabD//pstB//hfq//gabD//katE//marB//deoC//ompA//srlB//lyxK//metA//fixX//xseA//nfuA//lysO//betT//lacY//rpsI//rbsB//umpH//degP//fimF//thrS//entD//hfq//lsrG//cyaR//dsdX//metQ//rpsC//yeiP//yegR//ulaC//rhaA//paaA//hypB//xapA//ldtB//serC//rpsR//acrD//artJ//ugpC//yeiP//yhiD//degP//sodA//oppB//sdhD//marB//lsrF//malX//rutB//fbaA//ccmB//dusB//rpsP//envZ//ompC//purL//fixC//yibN//kbaZ//yfdX//melR//lolB//nfuA//efeU_1//chbC//cyaR//fimF//hupA//mdtD//gapA//frdB//glgC//prs//melB//mhpF//fimI//fabZ//gatY//argC//entB//bioD//ygiC//malS//pstA//nanC//dcuA//uxaA//cysW//ilvI//hycG//pta//csgF//xylG//rpmI//tauB//aroF//leuE//lrp//hisP//putP//rbsC//tyrA//glmY//dmsB//dadA//mhpE//cdd//dppA//preA//prpB//fimI//metE//zraR//rbsA//truB//fimF//phnG//ihfA//ascF//fecC//cysW//sucA//micF//sufE//yqjH//lsrD//
