#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	ryhB//entE//cyoB//casB//
AlaS-L-alanine	narI//
AllS-allantoin	frdC//fecC//frdD//
AraC-L-arabinose	livJ//zraP//tap//nuoA//narL//raiA//ybfN//tehA//argF//cspE//nhaA//hycB//marA//znuB//
ArcA-Phosphorylated	lysC//ileU//sbcD//cusF//cspD//bamA//sgbU//fecD//slyB//fliZ//malZ//fepC//nrdE//agaA//amn//cas1//sdhA//yhjA//rstB//ubiX//torD//speC//nuoJ//chbG//xylR//cysH//ilvY//glnK//speB//fepD//baeS//ivbL//phnG//hisM//znuB//csgC//nanM//yaiA//sdhC//serC//dppF//rprA//glcD//ychO//tdcD//fnr//rbsB//fadA//glcG//codA//fau//rplP//hypD//entS//psd//agaA//nrdH//lsrF//nuoL//hpt//purL//xylR//rbsC//glpB//ascF//idnT//rrsE//paaE//phoE//cysC//nikE//hyaF//entB//yoaC//dapD//fdnI//artI//leuE//nrdE//hyfR//glnK//purD//grcA//dcuB//sucB//hofN//agaA//dpiB//pyrC//hycA//rhaS//modA//cysW//paaG//dapB//glpA//fhuF//yfdE//araA//pck//rpsR//nrdB//amn//rutF//lldD//rof//guaA//ulaD//manA//norR//uxaA//rrsG//hupB//fadL//melR//rrsB//rpsS//ileT//ycjF//tauB//rutD//ftnA//hisP//fixB//qseC//nirC//creA//thrS//nuoF//motA//feaB//cydD//hyfI//ilvL//cysJ//phnD//bdcA//ccmB//yiaM//hycE//nrfF//srlA//dppD//norV//ilvC//ydbD//ssrS//cueO//alaT//pck//nuoK//hflD//norV//glnB//fepB//ybiT//yeaE//dmsD//araF//tdcG//ydhU//skp//ydeP//aaeR//preA//ndh//tdcF//astB//bcsC//gutQ//idnK//manX//fis//iscS//gatB//gspO//phoP//
ArgP-L-arginine	treC//glpQ//hemA//bamE//preT//fdnI//hofN//entE//bdcA//pta//puuR//emrK//cheY//folE//frdB//ryhB//
ArgR-L-arginine	yjjZ//yiaO//glcG//frdC//caiB//ftnA//purH//ykgO//mdh//pncB//glnB//thrV//hyfH//purF//purF//rplT//mhpF//ydhX//patZ//rrfB//rcnA//fixC//nuoI//srlD//argI//nirD//yedX//sdaA//nagA//gadC//atoA//feoA//dsdX//folA//alaA//manZ//nanE//manA//metA//
AtoC-phosphorylated	araG//melB//phoA//norR//
BaeR-Phosphorylated	xylG//astC//cusS//glpC//exbD//nirC//qseC//gntP//
BirA-bio-5'-AMP	phnP//entA//rnlA//yfiP//hybO//
CRP-cAMP	puuD//ampD//pyrD//phoQ//acnA//lysC//entF//glpB//phoR//alaA//yedX//agaV//purL//aspC//dppF//melB//citX//sgbH//argR//agp//speC//nrfF//metH//fimH//hyaC//xylB//idnT//puuA//caiC//acrF//cheZ//glpK//lacA//pheM//asr//rpsS//glgB//yfdE//tyrA//entB//psiF//hofM//rbfA//livJ//malY//glnL//nikB//fimF//spy//lysP//cyoC//ydhW//gspD//fhuC//fecD//guaB//appY//tar//gpmA//malG//tdcE//ryhB//mdtD//evgS//fepA//rrfG//cspD//sdhC//ccmD//nuoN//lsrK//puuA//ccmC//hycH//fixB//yjcH//hpt//glyA//gabT//ftnB//gspK//tsr//yeaR//lsrB//yojI//hyfH//exbB//yfiP//aroP//livG//abgA//gdhA//acrB//dcuR//dpiA//araA//pheS//yaiW//nrdF//flhD//mutY//atoD//purK//tehB//prs//yfeW//lacZ//uhpC//ilvB//fiu//ygiA//sufA//glgX//malS//aroH//purM//fliA//paaC//nac//tdcD//treC//agaV//fepE//cynX//paaG//ygiA//prpD//rrlD//phoU//bglG//hypB//fimA//tadA//alaT//malY//ccmG//tsx//zinT//aceF//mcaS//fucK//gutM//zwf//katG//lsrB//mdtC//ydfN//mglB//astA//zinT//rplM//ygbA//cydB//casC//galT//acnB//lsrA//gatD//frdD//mepH//cusC//nanE//torR//hisQ//rbsC//qseC//rplM//tdcA//argD//hdeD//ccmB//efeU_2//fixX//idnK//idnR//treB//manY//ydhU//malK//rcnB//prpB//oppA//yccA//yeaR//tdcF//cpdB//appA//bacA//nrdD//ydhX//fabZ//dcuR//cysG//glgS//alaU//dsdX//xdhB//nuoA//sdhA//melA//pflB//ubiC//argC//frdB//yaeQ//hybE//phnD//paaI//xapB//ubiG//srlD//thrV//cstA//uraA//ccmG//rpoS//cusA//metH//srlR//bamA//puuR//prpD//baeS//yeaR//nikD//uvrA//sdaA//fadI//ygeH//uidB//csgG//yhiD//dsdA//phnM//ydhW//ynfG//prfA//uxaA//purE//ebgA//metJ//yggX//phnM//fhuD//gyrA//rrsA//mhpF//fecD//lsrF//rrsG//rrsD//glcG//uhpT//hflX//rnlA//citD//galM//ydbD//xdhB//tsr//garL//dcuD//ackA//phoH//casD//ydhY//argI//gatA//nuoB//icd//paaB//hha//malI//fnrS//gltB//purM//fecI//gpsA//glnD//ilvL//xseA//ilvC//phnM//chbR//puuB//hyaF//phnC//nohA//psiF//caiF//ydeN//fdnH//xylG//kbaZ//chbG//purK//gspK//iscA//artP//leuE//ugpA//melR//katG//fes//trpD//ysgA//lysP//hdeA//citG//malM//hyaE//napH//dnaN//argT//yibN//aceB//hybD//livJ//purB//appY//creD//araG//fixA//hycD//ugpA//mhpD//xylF//ysgA//nusA//fliZ//cydC//paaK//mtlD//rrlG//yidQ//ydhW//ycdZ//cydD//uhpA//cynT//gutQ//cdd//yccA//ybjG//fbaA//caiE//alkB//betB//ccmD//hyfR//avtA//srlB//nirB//nadC//malM//prpC//dppB//prmC//ubiA//caiT//lysU//puuC//yeaE//mtlR//fadH//iraD//paaZ//rrsB//moeB//ivbL//cadB//aceF//actP//entH//malM//caiE//dsdA//rpsC//frdB//rrlA//speB//osmY//nuoG//betT//fhuF//ompC//pncB//iscS//livF//yojI//pstB//fdnG//glgA//aaeR//fiu//gspL//gatD//pyrC//malX//carA//yeiP//ubiX//ldtB//hyaA//chbA//speC//gdhA//mglC//livG//oxyR//dadA//argR//sufA//fucK//rplT//rhaD//glpR//uxaA//norW//xylH//nagB//rrlD//acrA//araE//hyfC//norR//dadA//ydeM//livF//agaV//ccmB//oppC//argO//cheB//ebgA//fadE//nrfA//cyaA//cysH//lpd//purE//treC//ygiB//marB//fhuD//puuP//feaR//gltV//infB//hyaB//sdhD//glmY//yjiY//agp//lsrG//appB//nusA//yoaG//sdhD//torR//uxuB//agp//yqjH//ccmF//rutA//nadC//safA//nfuA//gspE//hdeD//napD//fhuE//bamA//flhC//artM//rhaR//lyxK//cusF//rplP//rrfF//cspE//cyoE//hypF//ilvI//oxyR//ydfH//mdh//pitA//rplT//xylF//efeU_1//sucA//argT//ygaC//fdnH//appC//rrlE//malG//manA//malF//galT//fepA//ydhV//hdeD//ilvH//paaA//nhaA//dmsB//hypE//alaS//argT//glpQ//rpsS//mglC//ppdD//rplS//glnA//narI//lsrD//motB//hyaB//fdnG//cheW//talA//alaA//
