#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	gspF//bioD//avtA//hyfE//
AlaS-L-alanine	uidB//
AllS-allantoin	metL//manZ//dppD//
AraC-L-arabinose	fur//yfiP//glpF//hcp//citG//mepH//ftnA//ilvY//mepH//lsrG//narH//rrlC//ycjF//alaT//
ArcA-Phosphorylated	ilvE//murP//aer//pgpC//gdhA//rbsA//glnD//hycF//rhaS//fiu//uidA//acrF//gspI//hyaC//trpB//lsrF//micF//gspM//deoD//hycB//tnaC//ilvG_1//paaH//frdC//puuD//ilvX//yiaJ//hybC//metL//lysO//rrfB//yfaE//cheA//araH//lsrC//glpD//garK//yecR//phoQ//paaZ//tauD//acrF//modA//cysK//ydhU//glpC//sbmA//prpB//mcaS//aaeX//rdoA//hupB//allE//prpE//mtr//nrfE//cyaR//aroL//ybjG//xdhB//ubiG//srlE//gltD//malY//ptsH//nupG//gutM//dcuA//alaA//argT//gcd//trmD//focB//frdA//cpdB//dsdA//gspC//purB//prpD//glnD//rrsD//tsr//ilvY//paaC//aaeX//tsx//nuoJ//yeiP//atoB//dnaN//ydhW//amiB//modA//iscU//ftnA//nuoB//ulaF//ilvG_1//mgtL//rcnB//purA//ulaC//napB//malZ//putP//motA//gspI//pstS//folE//creB//cytR//prpB//yiaN//erpA//xylR//purR//paaC//puuB//flhD//malM//galP//ompT//dcuA//rrsC//cadC//cheR//lpd//spf//trpL//abgB//rrlH//cstA//ygiB//sgbE//srlE//malM//yibN//ftnB//nuoJ//lrp//iscU//ptsI//phoE//ryhB//ubiA//rrlD//sufB//dkgB//cynS//purB//upp//garR//ompR//rrlH//malE//dmsC//garL//pheS//ompX//speA//cysM//prpR//adiC//prs//idnO//gcvT//exuT//yjeF//znuB//icd//prpE//metQ//lpxD//ppiA//yiaM//uxaA//astE//
ArgP-L-arginine	ptsI//mgrR//fur//dps//citF//argI//nikB//uxuB//cbl//sbmC//frdB//mhpA//fimG//hycA//rnlA//rhaT//
ArgR-L-arginine	lldR//psd//fepB//gnd//deoA//casC//fimG//hpt//aspC//narG//malI//ygeA//dsbA//tehA//hyfG//glcA//feoC//pck//icd//fadB//eda//araF//mpl//metJ//ulaF//lrp//tdcC//ykgR//dusB//cpdB//actP//mpl//ptsI//murQ//glcA//fucI//ydeO//nanC//ndh//
AtoC-phosphorylated	cspE//lacA//fecB//xapA//
BaeR-Phosphorylated	stpA//ydhY//araA//nlpE//katE//torC//yidQ//manZ//
BirA-bio-5'-AMP	fnr//nanK//pgpC//dapB//malI//
CRP-cAMP	csiD//nanT//nrdD//ydhU//ugpA//astD//glnK//hflD//chbB//betI//cra//purC//abgB//cysB//hycD//sufE//hycF//aroM//araB//gatA//acrF//aidB//srlB//mhpT//tdh//araC//entH//fhuE//ftnB//dpiA//mdtC//lyxK//ulaB//hupB//xylG//glpB//gpsA//pgaD//pgpC//gspJ//csgB//deoC//ygaC//hycC//fimI//moaE//sodB//ilvH//hypB//mscM//lsrC//gspD//paaH//ulaB//pyrD//lhgO//nuoA//rpsI//deoB//iscR//argT//alaT//puuA//dmsA//napC//hyfH//ndh//narX//rrfD//fecD//hydN//ygbA//prpB//ccmG//ssuB//glpB//rplB//rplD//nrdF//glgC//fur//ydeM//lysO//dps//uidC//fdnG//ycdZ//betA//yoaC//bioD//hdeD//trpD//yfdE//yeiL//malY//yiaJ//dsbA//napB//nagC//tyrB//mpl//cyoA//rybB//xylR//mglC//rbfA//dcuB//cyoC//yfdE//trpC//glpQ//phoU//yggX//cpxA//bioF//phnM//speB//ydeP//hypC//hdeA//tsr//lpd//sdhC//ssuC//rbsA//argP//pflB//gspM//exbD//dnaE//puuP//glgS//nmpC//csgG//glgX//glnA//idnR//mltC//phnF//caiA//treC//mhpT//csiE//ccmC//dkgB//purC//rbsD//fepE//acrA//ychH//phnO//glgA//gntX//rplC//manZ//ilvX//yfbR//chbC//emrY//entS//cas1//argD//hycD//pgpC//alaT//lsrR//torC//hydN//hflX//lsrG//oppF//edd//mgrB//mhpE//dctA//yfiP//yqjH//malI//fes//cheZ//caiD//ydiU//malY//rplW//rseB//artP//thrS//puuA//prfA//cynX//prpC//hyfI//sufC//paaB//ackA//rplW//serA//hyfH//argR//argF//yoaG//hslJ//hybB//ydiU//cadA//caiD//cyoB//csiD//hemL//nirD//casB//cbl//ldtC//psd//acnB//yjcH//tktB//pagP//dsdC//tdcB//ccmC//astD//rimP//fecI//tolC//cheR//caiD//glcF//bhsA//glyA//rrsC//yfdV//glcD//puuB//abgT//fadD//safA//bioB//dmsA//argR//fhuD//appC//dmsC//yibN//arcZ//ileU//pgaC//rhaR//lamB//ssuD//gspG//tdcC//hybE//paaB//gnd//nusA//rmf//zraS//fadE//mdtA//murQ//hofC//aaeB//hyaC//rutD//guaA//aroF//ascF//hypF//ssuB//map//paaK//uxaA//zraR//ycdZ//hemL//stpA//evgS//hycA//udp//hyaD//norV//livG//ydhT//rpoH//hflD//dppD//mgtL//nirC//deoC//fhuA//nrdD//pitB//bglG//bcsB//glpR//pitB//fixA//agaA//entC//purN//tdcG//hslJ//aidB//nrfE//aldA//cysA//nrdB//cusS//fhuE//hycG//xdhB//yfdE//idnD//rseC//ubiG//infB//nrdB//ryhB//mtlA//speC//alaU//motB//tnaB//sodB//rrfH//metH//patZ//glpT//chbC//yrbL//hyfJ//sufS//hemL//citF//manX//yhfA//galS//lacY//tauA//speA//mipA//crp//bioC//cra//caiF//araA//astB//ygeA//gatY//yiaK//xseA//purC//efeU_1//hdeD//lacA//hyfJ//ydeJ//caiD//appX//fucU//ndh//acs//feoA//glpT//fdnI//dppC//nrfD//nrdE//trxA//folA//rpsF//nohA//fadD//sufC//tcyJ//chbA//pgaD//puuP//moaC//hyfC//ydhX//yaiA//mepH//glpA//ftnB//cheW//gntP//fabZ//narK//miaA//dusB//amn//ydiU//nirD//pgaB//gntU//ompF//dnaN//phnL//fdnH//cheY//glgS//hofB//norV//astA//gutQ//appX//fixC//fecR//ilvX//rbfA//glcB//hyaF//rplP//nuoL//hyfR//malY//zraR//purL//nikB//livK//fadL//hdeA//yhjC//talA//yiaM//ldtC//hflC//zraP//mlc//idnR//glgX//tdcC//fadB//udp//csgD//cusB//tdcG//purR//appX//leuE//torC//nagB//yjjZ//mipA//xylH//mdtB//fixB//bioF//rstA//nuoK//metA//nrdI//focB//cpxR//hycI//nfuA//feoB//uraA//micF//zwf//entD//fepG//malQ//ilvY//mglA//aroH//fepG//gspI//yhjC//yhiD//ilvY//fucU//ydbD//lsrA//glpA//dcuR//hslJ//yegR//hypB//cusC//paaZ//glcC//tdh//appX//fhuD//uxaA//dpiB//copA//arcA//ykgO//sufA//waaH//hypB//cysI//glpD//glnL//mtlA//gspD//hflX//yidQ//ydeP//cydD//hycG//nagA//hisP//fhuF//phnK//hyaE//iraD//purH//frdC//ycjF//ybdZ//trpA//hyfE//hyfJ//ssuD//cusA//fnrS//oxc//ilvA//ssrS//amn//
