#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	yegZ//erpA//uhpC//lacI//
AlaS-L-alanine	prpC//
AllS-allantoin	garL//treR//alkB//
AraC-L-arabinose	pgaD//ptsG//hisQ//manX//ppiD//gcvT//napF//spf//pnp//fepD//nrfC//mlc//purB//rplW//
ArcA-Phosphorylated	hcr//fliZ//metR//rutF//ulaD//uxuR//copA//cpxR//gspM//trpB//cysH//cirA//bcsZ//pgpC//mdtB//pheS//sucD//purK//abgT//gspE//napF//hlyE//dnaN//citF//modA//ydfH//cysI//oppC//tap//grcA//truB//nupG//trpC//cheW//fucR//gatC//citF//purK//caiA//alaU//metL//ugpA//alaV//ulaE//nagC//tdcC//trpR//mntS//aceK//betA//aspC//yebE//moaE//bioC//hycB//modA//tyrB//glcB//tdcG//malF//hypB//nikC//oppA//gspO//infB//hofB//manX//yfeW//pheS//paaE//gyrA//pstC//hslJ//gabD//znuA//galS//nuoB//stpA//yoaC//rplP//sdhA//hisM//hyfJ//bacA//hyfC//livH//moaE//preA//srlB//sdaA//fhuD//fhlA//gcvT//uraA//frdC//dppB//ilvD//bioF//metR//fhuE//glpD//crp//yojI//ubiG//lacZ//amiB//pstC//fadB//entB//uxuA//nanT//hyfJ//yeiW//napB//cysN//lacI//aspC//aceF//glrR//puuR//metQ//nanK//mntS//atoD//ompX//ugpQ//xylB//gspL//ccmF//ychO//cusF//znuA//nagC//fucA//appC//astA//galT//ackA//rnpB//ptsG//ugpE//treC//yqjA//pstS//yegR//yfdX//ydhV//rrfC//mhpR//gapA//katG//fixA//rof//caiA//casA//narK//yneM//iraD//recF//yqjA//livF//dmsD//entF//ynfF//pta//adhE//umpH//rpsC//yeiL//actP//hyaD//alkA//frc//ilvB//marR//prpD//tehA//
ArgP-L-arginine	skp//gntR//cadC//rutF//astC//guaA//nanA//sdhA//hyaE//araA//ubiA//rpsP//ilvC//cusF//gltD//pheM//
ArgR-L-arginine	rbsC//ubiA//rnlB//thrV//dcuC//glcB//pstA//phoP//lacI//prpE//comR//rrsH//sufA//torD//gnd//tsx//emrK//yeaE//ilvG_1//hypF//ydeN//bioA//ansB//entS//cspD//yegR//artI//edd//rutD//infB//appY//frdB//yeaE//rprA//xdhB//sucC//entC//trpD//zraS//
AtoC-phosphorylated	appC//yhfA//mhpT//hybA//
BaeR-Phosphorylated	nmpC//cadB//exuT//citD//nirB//nuoC//mscM//caiA//
BirA-bio-5'-AMP	lacY//sufA//puuP//cra//fimD//
CRP-cAMP	fiu//malX//mpl//ydeJ//nirB//cysU//glnG//dsdX//norV//pgaA//rrlA//cas2//mdtC//citG//torR//tktB//sgbE//glgC//rbsR//tfaQ//agaV//gdhA//cbl//phnM//spf//trpR//ptsG//casB//exuT//sbcD//hflC//cynX//miaA//cydB//cyaA//uhpA//gatY//ogt//deoA//hflD//mhpF//trpA//araJ//hybC//gcd//caiA//alaS//marB//hofP//fadJ//acrE//hyaF//degP//lysA//phnG//qseB//uxaC//phnG//psd//ytfE//glmY//chbC//sufB//ygbA//nrdD//araB//fecE//cysM//carA//malT//nagE//rnlB//serA//yfaE//atoB//cysM//galS//phnH//ampD//mdtC//dmsB//torD//nikR//cyoE//trpB//cysB//rpoH//araH//glcE//yeiP//cynX//uraA//focB//gspM//lysU//mtlR//rpsI//hyaB//rcnA//nfuA//csgG//pgpC//csgA//udp//argH//mntS//mglB//fimI//fis//ldtB//secB//lsrF//adiC//nrfC//hycF//hypA//csiE//nuoB//nhaA//nagE//glgS//tdcD//rrsH//idnD//tyrB//glpX//gpmA//fhuE//xdhC//motA//tyrP//fdnI//ygeH//gspK//gdhA//ubiX//creD//abgA//rrfA//glpR//dppB//rpsP//nanE//xylF//dnaE//ilvL//aaeR//rhaD//entC//ilvB//betI//ispE//glpR//carA//norW//nohA//hisJ//fixB//hypB//garP//sbmA//citG//betI//aceA//lamB//lrp//purH//fau//ybfN//hypB//ulaF//mhpF//xylR//dpiB//pitA//rhaD//cysM//psd//edd//ampD//grxD//hdeA//nanE//rplP//dnaN//ulaE//fucR//hflX//oppD//rrlE//aidB//metJ//aidB//cheZ//hfq//glpD//purH//fucU//sdhB//alaA//ysgA//dppB//nuoE//frdB//gspM//hflD//glpT//uhpC//rplI//iscS//puuD//ldtB//casE//ilvC//gntP//nuoE//rbsR//cydD//rnpB//lpd//hdeB//galE//ptsH//cas2//serC//ykgR//torC//tdcF//rrfC//trxA//alaV//fadA//ccmF//cheB//hyfF//tnaB//aaeR//rplC//caiE//ilvC//fhuD//pstB//ulaA//uxuB//truB//nuoL//rimM//lsrA//metJ//ydhT//hycH//infB//hybO//caiD//ydeA//hyfE//nuoH//bcsZ//astD//ugpQ//rrsE//rimM//fecC//ubiA//azuC//crp//cynT//uidA//yfaE//tauC//psiE//ulaA//bamE//iscS//nuoF//gntK//rrsG//purL//mtr//paaF//alaU//chbB//bglG//feaB//fucP//phnO//srlB//iraM//narH//hyfD//cspE//oppC//iclR//prmC//rrsH//araA//srlE//iscA//tnaB//ssuC//torA//murP//ilvG_1//puuD//mntS//galK//tonB//trxA//nrdH//gcvT//fecI//ccmD//cyoC//mepH//ssuD//mdtD//cpxA//dcuD//rpsQ//rplP//metR//ilvA//fhuA//zntA//ydeM//bioC//fadB//ydhU//yecR//speA//ysgA//acrB//fnr//dppB//sbcC//hyfJ//abgT//citC//ssuE//thrV//bioA//gatD//napB//hyfR//epd//zinT//garK//rrsH//glpK//mglB//safA//yedX//mhpT//gapA//aroH//entF//glgC//chbC//fhuE//argR//gatC//betT//aspA//araG//nuoN//gspE//lsrA//mutY//fucR//narI//fau//osmC//tomB//aspA//idnD//chbG//hyfF//umpH//malP//livG//mglC//psiF//asr//nuoI//argP//dsdX//trpC//dmsA//aceF//uvrA//metF//ydeN//yqjA//hemL//rnpB//hypA//yiaN//alaT//ada//tauB//rpoS//nuoF//chbB//gabT//glgX//mhpT//prs//mdh//hyaE//ebgC//hflC//hflC//ydhW//ubiA//trpL//sxy//fimF//aldB//ilvY//iscS//mscM//betB//hyfR//malQ//paaJ//ptsG//fecA//gltA//rplD//ugpB//zntA//gcvH//rutE//lhgO//rplV//fecR//acrD//bcsC//fhuE//dcuD//nuoM//pitA//chiP//prpR//marR//rutG//hfq//bioF//iscS//yibN//treC//artP//allC//astA//hybD//fur//purD//lacI//hisJ//evgA//xylG//yegZ//melR//trg//guaB//nirC//nrdH//hyaB//sucB//yegH//nlpE//fucR//ssuB//fixB//rrfA//ssuA//folE//rutB//fecR//mipA//tonB//metY//ompR//ycjF//glpD//hslJ//erpA//fimH//dppF//hcp//lysO//napB//rplB//ybdN//araA//appB//fliA//tyrR//gntX//yfeW//puuA//yebE//cadC//paaK//bhsA//glgB//map//serC//narK//fadJ//hha//phnI//fabZ//metK//rpoS//katE//grxC//gntP//astB//xdhC//ydbD//rpsR//fadJ//hycC//ssuA//
