#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	pheT//deoA//cyoE//glgC//
AlaS-L-alanine	ndh//
AllS-allantoin	hydN//folA//gcd//
AraC-L-arabinose	astC//lysU//rrlB//gntT//ascF//ugpB//ndh//mpl//xylG//treB//rhaS//hupA//moaD//dcuC//
ArcA-Phosphorylated	rrfB//psiE//glpD//paaZ//ilvN//fixB//lacI//gspG//metY//cyoB//arfB//ydeJ//appA//fadJ//mepH//rrlG//fixB//betA//tyrA//hflK//mhpB//xylA//garP//mhpF//yrbL//uhpA//rrsC//sodB//gatZ//cysH//mhpA//hslJ//ybdZ//phoQ//pgaC//nuoC//dsdA//aidB//chbC//rrlE//hofN//phnK//dps//pdeF//ivbL//nadC//cysI//fau//narG//phnN//phnP//tdcG//ychO//betT//envZ//uxuR//csgC//appB//ychH//gspM//ndh//dusB//chbB//hyfH//ssuB//cstA//fadJ//dmsB//atoA//pta//srlD//yidQ//rbsB//phnE_2//gabD//glpX//ulaD//pstA//mepH//murP//cadB//treB//ascB//lsrK//pitB//mdtD//puuE//sufA//nohA//uxaB//betT//lysU//ccmG//tadA//codB//pflB//fdnH//napC//mgtL//slyB//nuoN//metR//csgB//dsbA//tap//evgS//hdeB//epd//acrA//sdhC//hyfR//caiE//fur//xylA//ydhX//grpE//yhhY//rrlH//tsx//yoaC//cheA//dapB//kbaZ//gatC//hyfR//ppiA//nupG//metC//rpsI//torC//mhpC//citD//katG//idnR//artI//nrdH//astC//gatB//fimE//glgB//fixX//crl//ccmC//ompT//tdcB//nuoB//ilvD//napD//fes//rbsK//araB//cyaA//entB//rbsR//alaS//casC//nanC//glnA//mhpC//rmf//patZ//rbsC//rrfG//cusC//ilvG_2//hyfR//idnK//rrfB//cadA//napD//norR//fucP//avtA//nuoJ//ycjX//nikD//citE//
ArgP-L-arginine	ssrS//paaA//tpx//fixX//fucA//grcA//dkgB//ilvA//malX//bamA//dppF//tdcG//nrfD//glmY//phnL//ilvA//
ArgR-L-arginine	lpd//nagE//lsrA//nanM//psiE//appX//tdcD//hybB//rrlD//mhpR//nrdE//hycG//hisQ//fixX//purD//malP//tyrR//moaB//rpmI//gyrA//cysA//abgA//cydC//tyrA//napH//slt//fhuB//csgE//idnO//rhaS//fadD//ssuC//hmp//yedX//fepA//hofB//cheB//nlpE//dadX//
AtoC-phosphorylated	sucD//cysA//manA//ilvX//
BaeR-Phosphorylated	yibN//uxuR//aaeB//araJ//hyfB//ycjX//puuP//pstC//
BirA-bio-5'-AMP	pdeF//cyoC//safA//rrsA//nikB//
CRP-cAMP	rpsP//mdtC//focB//sbmA//hyfC//nanC//rdoA//pnp//acrF//fliZ//acrA//tdcG//phnO//ccmA//phnF//artM//exbB//glpG//nrfE//yaeP//ydeP//yeaR//pgaC//infC//csgD//dctA//rstA//phoH//ldtB//gatA//yqjA//fhuF//ung//tehB//rrlG//garL//appX//glcC//fecA//rnlB//fis//aroF//cysH//fecI//fadB//nanS//malP//tar//yaiA//fepD//mdtD//raiA//bioF//murQ//zraS//purL//yojI//araD//acrF//ahpF//ccmB//moaC//yeaR//melA//ykgM//narX//hupB//malT//lysO//fiu//sufC//lpxB//sdhC//cusS//ubiC//prpE//kbaZ//narJ//gatD//dsdC//nlpD//sucA//ccmH//rplB//hyaF//cadA//sodB//ydfH//nupG//yjcH//hybE//argE//pck//dmsB//ilvG_1//iscA//lsrA//cynT//fimD//astC//nrdF//fepG//fnrS//argH//aceK//dcuA//rstA//rbsA//fliZ//nrfA//hofN//rpsC//torR//ugpE//manA//puuB//dcuS//rrfB//cadB//alaU//tar//argC//yfeW//ascB//ptsG//sdhA//xylR//pstC//pstS//nanC//glpT//serA//moeA//nac//ssrS//lsrG//oxyR//cydD//hyfD//cynR//narX//argA//rrfE//baeR//alaT//gatY//glpF//yqaE//exbB//puuR//gltF//mtlD//paaG//hemL//ilvI//idnK//rrlC//ccmD//ydeA//cusS//xylF//lsrR//nfuA//dcuD//dppA//rrfB//lsrB//hybB//iscR//tsgA//rrlG//araD//hofP//xseA//paaD//hofC//fecE//nrfD//ccmA//mepH//gntK//hofM//cvpA//gspE//modC//cheY//bamE//gpmA//secB//nuoH//xdhB//hupB//yjeF//crr//fhuF//tauC//hyaF//fepE//yciW//ilvA//efeU_1//aceE//bhsA//zraR//dapD//motA//norW//bglF//narJ//hybA//ybfN//gltV//aroG//udp//astE//argE//amn//astC//bioC//pyrC//mglC//metK//fepC//ilvB//yeiB//ilvX//rrsG//talA//paaZ//prpD//tehA//envZ//yhiD//hycE//entE//folE//tadA//aldB//tauD//nuoJ//gnd//hyfC//cydA//pgaB//gspF//mglB//nanK//grpE//mgrR//pgaB//tyrB//ccmH//hybG//lysO//hyfR//nuoG//xylA//tdcG//uraA//fixB//acs//ssrS//fecI//rrsD//tfaQ//ompT//rmf//degP//metJ//ydhT//nhaA//paaD//ilvB//ilvH//pstB//lpxD//fiu//hyfE//rybA//fixA//dsdC//pitB//hflK//iraM//yfeW//uraA//mhpE//garR//xylR//ilvY//pyrC//phoE//azuC//gyrA//nrdD//malI//appC//cstA//ybfN//crp//ompF//cysK//rrfH//nagB//allE//phoB//yoaG//frdC//narH//hycC//sbcD//amtB//tdcG//lldP//astA//purN//mutY//fimF//ppiD//appA//casB//prs//hypD//caiD//betB//torR//ubiX//serA//uxaC//adhE//glnD//ydeN//nfuA//tar//ppiD//gspO//pheT//ynfE//rutD//znuA//gutQ//pyrD//uof//atoD//srlB//trpA//entE//ccmC//hycC//ulaD//cynX//cra//ppiD//tomB//purL//metK//pdhR//rutD//glpR//ilvX//fadJ//ilvH//metA//glcC//garK//ybfN//araG//cysC//abgT//galT//idnO//nmpC//fliA//norR//argP//rrfE//hycA//napD//puuP//yegZ//yeiP//grcA//galM//malG//lpd//nlpE//metC//xdhB//ycdZ//cusF//fixA//hpt//cysN//ompX//ugpB//araA//tauC//pgaC//hycC//appY//cheW//grcA//rhaD//erpA//fadL//ebgA//metE//ilvA//pepT//ynfG//ptsG//hofP//treC//lysC//hyfE//frc//nrfG//ileT//borD//argC//ccmD//caiE//treB//cheA//xdhC//yiaL//nfuA//hyaF//ydiU//fixX//oppF//fepG//prpE//nagA//aroH//folE//psd//mgrR//cheB//tsr//ubiC//oppA//sroD//sufB//malE//grxC//galE//dmsB//sucD//aceF//ileV//fhlA//fadB//ugpC//rutB//fepE//cheW//tdh//cysI//hydN//puuA//cyoA//livJ//mgtA//rrlD//sufC//cysP//artI//paaJ//nuoG//lsrK//aldA//hyfA//trpE//gltF//paaI//dusB//hfq//manA//cspD//glcA//moaB//purL//speA//gutM//infC//ychH//chbF//ompX//betI//aaeA//abgA//pgaD//xapA//flhD//bamE//ilvC//sbcC//mtlA//ygeA//aroG//ccmA//gatC//pepT//mgrB//aroM//ydeA//ydfH//yaeP//hisJ//fumA//puuP//nhaA//melR//atoB//fliZ//nikE//hypF//gatD//marB//entD//cynR//ulaF//betT//nrfC//
