#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	uxuR//mdtB//nuoN//rbsR//
AlaS-L-alanine	ldtC//
AllS-allantoin	hofN//lsrR//gcvP//
AraC-L-arabinose	map//arcA//iclR//lyxK//znuA//purC//mepH//ugpE//nrfD//casB//metH//glcG//nuoM//ilvN//
ArcA-Phosphorylated	trpC//micF//gdhA//putP//bcsA//grcA//ampE//sucC//hycH//ilvB//yfdV//hyfF//phnE_1//fadB//pstS//ccmA//fdhF//malX//hofB//hflK//artI//nanC//malK//gadB//phnJ//miaA//yoaG//gspM//nagE//casA//yiaO//yeaD//nanM//fumA//ubiC//lpxB//paaG//hypA//rpsS//malG//iscU//yeiL//yqaE//dpiB//katG//glyA//agp//yoaG//folA//dppD//yeaD//fixA//zwf//recF//nikD//paaI//pnp//cydC//aceE//chbR//deoB//aaeX//ybiT//uhpC//astA//uhpB//csiD//gntX//ompR//actP//mtr//dppB//aceF//gatB//yiaM//yhjA//cadB//yeiL//aer//aspA//purR//rpmI//flhD//cysJ//rimM//yeiB//narK//yqjI//yjjZ//erpA//rpoE//cynX//yidQ//sufA//pflB//ybjG//araD//ykgR//cpxA//nikA//tsx//sdhC//aaeA//nrfD//purF//nikR//malT//rstA//mpl//rcnB//zntA//ileT//uxuA//gntX//livM//rplI//ahpF//melR//tsx//malG//rutC//iscA//nuoM//malI//rpsS//lacY//betA//entE//allE//mutY//yfbR//grxC//grxC//glpE//ebgA//chbA//trpD//gspH//hemA//metY//amtB//fliZ//purR//cadB//nuoM//ccmF//rpsR//hofC//yeaR//hydN//rutA//bcsA//hycE//purH//ynfG//fimC//marR//phnL//caiE//malE//glcC//cspD//ygiC//phnJ//fixC//amn//fhuB//nusA//ubiG//fumA//glcA//puuA//mntP//hypA//glgP//oxyR//caiT//
ArgP-L-arginine	mtlA//malX//uxuA//iraD//uof//hyfJ//aer//fepE//idnR//hdeA//yhhY//mntS//hybD//yegR//allD//nadC//
ArgR-L-arginine	chiP//bcsZ//gabD//nrdH//fumC//fepD//rrsA//purE//rhaT//metE//tehB//srlD//metH//fnr//zraS//ycdZ//aceK//hybB//ygaC//hyfI//gltU//ygeH//prpR//hha//bcsA//lysO//entH//gapA//murQ//nirD//uhpB//phnO//lsrG//grpE//gntP//lysC//cyoE//codA//yfdV//
AtoC-phosphorylated	hycG//purH//artJ//avtA//
BaeR-Phosphorylated	ompW//uidC//puuP//rrlG//nupG//sdhB//znuA//lpxA//
BirA-bio-5'-AMP	motA//argC//trpL//argC//phnO//
CRP-cAMP	xdhC//ccmA//yfbR//nohA//hyfG//cyoE//yrbL//tsx//acrB//hofM//hemA//yegH//cra//fis//nrdI//treR//hyfF//fimH//phoP//ynfK//trpE//aldA//bacA//prmC//gutQ//tam//nac//fadL//pitA//hyfD//idnK//degP//rhaT//hofM//hdeB//cysA//tsgA//aceK//rplW//deoA//fimE//rutF//bamE//mhpF//fimE//argP//bioF//gpmA//csgA//melR//paaH//narK//nanA//ilvC//raiA//rrsH//pheM//ulaC//mglB//frdC//murP//yqjI//rpsC//csgD//gpsA//modB//entD//borD//atoD//ubiX//cyoE//narI//caiT//narI//fhlA//glpF//csgD//manY//nirC//cysI//cysD//talA//aaeX//argG//hydN//ackA//speC//nrfD//uhpB//lsrG//argR//nanA//flhD//mzrA//hycC//cysD//psiF//znuA//aidB//fis//yeiP//ygbA//bioF//idnR//cysJ//narK//cheW//folA//lsrB//icd//nuoM//ydeO//atoE//tnaC//dctA//atoA//ccmE//srlD//purH//entA//mhpA//mepH//cusS//fhuC//hypD//cheB//fecB//uxaB//nanT//gspD//ygiC//araG//ulaF//fimF//rpoH//glmY//acnB//fucP//fadB//efeU_2//cyoC//polA//proP//qseC//sbcC//purL//nagC//lacY//fumA//hydN//hdeD//nrdA//trpR//moaD//patZ//sucD//ilvB//cynX//ilvC//gltV//ydbD//artQ//cusC//ydbD//iscS//nrdI//tonB//yfdV//ulaA//fhuE//ompA//phnD//fimI//rnlB//sufC//livH//cdd//ynfF//cpxA//rbfA//cytR//melA//abgB//glgA//hyaF//fecR//mglC//ompF//srlR//narK//torD//galP//ompC//xapA//guaB//dps//galK//ssuD//glpT//phnJ//baeS//hofM//malS//fhuE//rpmC//flhC//gcd//rpsC//yidQ//ompX//acnA//rcnB//waaH//ansB//dsbA//hha//creA//feaB//dcuB//yhjA//moaA//hha//ilvX//gdhA//glpB//pitB//phoR//lysP//xapA//yhhY//cusS//hyaB//fimF//rplD//hycB//skp//gpmA//yqaE//yjjZ//frc//rpoE//agaV//phnD//hycF//yeiW//deoB//preA//uraA//fadB//adiC//nlpD//mglB//hyaB//trpC//pgaD//sgbH//rbsA//amn//argI//manA//atoE//tnaC//ptsH//yeiW//dppA//nrdD//ccmC//rpoE//phoU//umpH//cusR//fldA//glpC//malM//rrfE//abgA//pncB//napB//yaiA//livG//fecB//nanM//dps//pgaB//mltC//sodA//srlR//lacA//aaeX//malM//infB//hpt//ugpE//narL//ampE//artQ//ccmE//gltT//mscM//csgF//mltC//phnG//amiB//nhaA//grxC//hslJ//idnK//dppA//bioC//cyoD//ygiB//arfB//uhpB//agp//gdhA//atoB//sbmA//hycB//csiD//pheT//ugpA//lysA//ugpE//gutM//ykgO//phoR//araB//crp//rrfH//fepC//fadA//phoH//mutY//cusB//arcZ//ndh//gntP//hypA//ppiD//fhuF//amiB//ugpB//safA//uvrA//metH//xdhA//cysA//tauB//upp//rseC//ygiA//cydA//mutL//nanE//yfdE//napF//nikE//znuC//amtB//gntK//amiB//cyoC//rrsC//nrfD//citE//aroA//hupA//ompX//ebgC//ompC//ampE//cyoA//ppiA//gltF//alaA//idnR//avtA//fimH//oxc//nagB//proP//ada//malP//tdcD//rbsC//lolB//lhgO//rpsJ//nanS//gspE//psiE//moaE//purR//moeB//rpsQ//fliA//rpsC//rhaR//glyA//nfuA//lacA//ydeO//nupG//hyfR//citD//fadJ//mhpB//gspL//phnH//hflX//bcsZ//prs//fadE//ndh//rnhB//glpQ//fecC//mntH//astC//phoQ//cydD//ilvC//malK//glmY//ilvA//entD//ydbD//glgB//rutG//ssrS//tyrB//rrlH//yedX//ccmB//ygiC//cheB//gatC//dsdA//malM//baeR//nrfE//gapA//fucU//fixX//livF//casD//hycD//araF//idnK//ygaC//fadA//lacI//gatD//araD//rrsD//hupB//ppiD//rrfA//cyaA//feaR//hyfE//hybB//iclR//trpA//malX//uxuR//dadX//nrfA//ilvG_1//patZ//rhaB//yfeW//bcsC//entE//phnM//hydN//creD//metQ//envY//entE//galE//ompX//pgaC//betA//focB//oppA//speB//rutA//phnC//nirC//oppB//arcZ//chiP//gntP//ccmC//fecC//rpsR//yedX//araD//glpA//bioB//mltC//dcuR//folE//fnrS//dkgB//nrdH//xylF//cas2//rpsO//micF//uidA//citC//ytfE//aroL//casD//mdtA//tolC//tadA//phnJ//ydbD//alaV//yoaG//ydfN//aroA//
