#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	mglB//tnaC//rrlD//gspG//
AlaS-L-alanine	ssrS//
AllS-allantoin	bdcA//yjeV//exbB//
AraC-L-arabinose	allD//hslJ//phnH//galT//hydN//casE//gntT//tktB//hypC//fecB//ivbL//hupB//gnd//phnE_2//
ArcA-Phosphorylated	gspD//treR//phnE_1//yegH//cadB//tsgA//fucK//creD//cysJ//zntA//ubiC//paaI//dsdA//tap//garR//malF//murP//ahpF//araA//argG//hycD//metK//rrsB//phoR//fau//nupG//mhpB//rnlA//cusS//yfiP//phnF//patZ//hofN//znuA//sxy//rpmI//pstA//yeaE//marR//deoD//metK//napC//ilvH//caiF//bioF//sdhC//cas2//rseC//sbmC//hycE//pgaD//polA//aroP//fis//mipA//deoC//sodB//rhaD//araH//tdh//tyrP//marA//rrlA//uidB//rpmI//uidA//lrp//metQ//gcvP//bioA//ilvM//fdnH//rbsD//ulaA//entA//yecR//cstA//acrB//glcC//aer//hypE//hdeD//mhpC//hybG//appY//glpQ//gabD//fucA//argT//ssuD//ycjF//ychO//ssuA//rhaB//yeiW//tehB//oxc//chbG//dppD//prmC//mdtD//glnD//galS//rplS//hofB//fhlA//hyfF//tdcD//ilvI//fecD//cspE//prpC//rplT//nrdE//argE//caiB//yqjI//aaeR//rimM//citX//metH//ackA//alkB//araH//comR//trxA//ldtB//pgaC//prpB//hycH//cysP//ppdD//rplI//trpD//dppB//evgS//nrfC//caiE//napG//iclR//nikR//sohB//asr//fadA//fnrS//mltC//zinT//fucP//puuR//sdhB//argC//eda//ynfE//fucO//ldtB//arcZ//ssuB//fdnH//betT//aaeR//trpC//metA//yecR//fepD//cysC//glpE//tdcB//yfdV//yojI//ndh//ascF//bglB//degP//phnE_1//trpD//glpF//hypA//
ArgP-L-arginine	pyrD//abgT//nuoH//lpxB//ccmF//prpC//fepB//malS//nrdB//bacA//paaC//frdC//nrdF//purE//phoR//hyfB//
ArgR-L-arginine	glgP//fecE//amn//sgbU//alaT//glcB//mdh//ompX//yeiB//csiD//aroP//pgaC//acnA//cysJ//ybfN//frdB//ubiC//fepA//ubiA//azuC//tyrB//gspL//csiD//lldR//tpx//moaA//phnL//fumB//gntK//torD//borD//mgtA//tnaB//treB//ygaC//trpR//mdtC//hycG//cusR//
AtoC-phosphorylated	nadC//nuoL//sroD//metL//
BaeR-Phosphorylated	acrB//mpl//cas2//xdhA//thrV//rimP//malE//hyaE//
BirA-bio-5'-AMP	alaV//ugpQ//emrK//narX//mscM//
CRP-cAMP	rplS//galE//nanT//hybB//oppB//ptsH//nikE//cydB//nuoM//rpoH//glnB//paaE//cysP//yqaE//yeaD//hemA//rrsE//citC//phnJ//mhpA//entD//mntH//agp//dppB//motA//uhpC//araH//ycjX//nanE//efeU_2//nagB//rimM//fucU//appB//acnA//zraS//rhaS//adhE//feoA//purA//rhaA//gntR//hyfH//crr//lysU//metC//araG//fepD//argH//artJ//yibN//feaB//sbcC//glpB//mlc//prfA//bcsC//csgE//csiE//nuoM//nanC//ydeP//amtB//malK//ftnA//phnD//dppA//deoA//aspC//astC//proP//hofC//ycdZ//pgk//ulaD//ccmG//aroG//cysW//ompC//glpK//pgaD//paaD//fdhF//metI//torR//csgC//fhuD//glcC//dnaE//puuE//eda//dadX//hycE//nuoC//cas1//argB//gpsA//malI//galP//murQ//yoaC//phoB//lpxD//rbsK//alaT//gatD//rrfE//fadL//moaC//tyrR//bcsA//rrsE//rseA//cusS//gntR//srlE//fdhF//paaH//acrD//rpoH//lrp//glnB//ydhY//tsr//ychH//glpR//astC//gltW//malS//hyaF//atoB//alaS//hypB//nlpE//narI//lsrA//bioA//marB//astD//hycD//paaF//rstA//fucP//yiaM//bamA//amiB//rpsS//rrsD//napF//hofM//allE//gspD//ileV//tpx//pheM//aldB//rseA//bioB//sbcD//yaeQ//cadC//hyaA//kbl//osmC//pnp//allC//hcp//araD//pflB//gspG//uxuA//crl//acrE//tyrA//bamA//malS//tnaC//ugpB//bamA//cbl//nupC//aceA//kbaZ//caiB//nuoB//modA//ampD//paaE//prs//ldtC//napB//sbcD//slt//nrfE//pflB//mhpA//ilvB//citF//fdnG//kbaZ//cytR//hdeD//hypF//cydA//rutA//asr//metQ//phnK//nusA//phoP//cirA//ubiA//crl//yiaJ//cysP//gatC//hofC//araG//iscA//prmC//ssuC//ydiU//tdcC//slyB//rrlG//metJ//grxC//paaI//cheZ//fimD//tdh//hdeA//uhpC//marB//psiF//bcsB//csgG//yaiA//ftnA//arcA//aaeA//dadA//aceE//tauB//fimE//fhuB//rbsR//gspJ//ulaF//dnaA//rpoS//fes//rrsB//citX//dapB//mntH//hemL//ynfF//nrdB//folA//srlA//tap//purM//pyrC//pstA//araJ//feaR//nupC//fixB//rrsC//cvpA//malS//argG//psd//rcnA//mgrB//rrfD//fimD//tyrB//recF//adiC//uhpB//phnD//ppdD//dcuA//yhhY//gabT//ydhX//cynX//entA//grpE//torD//rprA//entF//napH//sucA//fdhF//casC//ileT//rcnB//ampD//glpR//serC//tsx//uhpC//aldB//glgC//ppdD//norV//gatC//ssuA//ogt//tomB//phnO//azuC//trpL//hha//agaW//ampD//puuD//hycG//tauD//zwf//yhjC//rrsA//argD//dmsB//pstC//bcsA//paaH//malZ//ydfH//katE//creC//livF//lsrD//rrlH//tnaB//fis//srlD//ascB//gspF//nrdH//tonB//livF//phnC//sufD//citG//cydC//speC//ilvE//bioB//sufE//yeiP//rof//lsrR//rstB//nrdF//tdcA//citX//dsdC//gcvH//cirA//hybC//fixA//tsx//patZ//betB//ilvN//erpA//lpxB//ccmF//moeB//fepC//soxS//hofM//nhaA//aroM//codB//cheA//galS//yrbL//cysP//pta//oxyR//iscA//rutF//dkgB//prs//agaA//metF//mipA//pitA//srlB//cynS//rrfB//ycjX//murQ//fadL//emrY//fhuA//nrdH//hisJ//yqjH//ygiB//lacY//phoB//purD//ydhU//aroA//ycjF//norV//ccmB//ygiC//uhpB//cyaA//astA//aer//mhpE//abgT//tauD//creC//tyrP//garK//rutB//nuoN//fecR//rutF//cysA//abgB//fucK//nuoA//hycI//pheS//fixX//modA//lsrG//yfeW//glcC//modC//iclR//mgtA//gabP//ccmH//yiaN//mlc//hisP//mhpE//csgF//pflB//ssb//fdhF//puuC//nirD//metK//fimH//hisM//fiu//bglB//dmsA//fecR//sufE//gspD//srlR//katG//rbsC//hisQ//atoE//paaZ//fixB//creD//fimD//argO//cysA//ydeA//infC//entE//rrfE//erpA//aceK//rnlA//manY//znuC//cytR//ppdD//epd//dsdA//sufB//nusA//ftnB//ydfN//idnO//rrsD//adiC//trpA//chbR//fhuB//phnO//sucC//ygeA//yaeQ//yeiB//mepH//baeS//yfbR//pta//ilvX//pheS//xseA//feoA//aspA//moaD//ompX//dadX//ssuA//hycB//gltT//fecR//manX//allC//hmp//speA//carA//oppF//cydC//
ChbR-Monoacetylchitobiose-6P	caiC//nagE//csgF//ygbA//sodB//pgaC//
CpxR-Phosphorylated	glrR//edd//hofM//hybE//ykgM//nmpC//sufS//idnT//yaiA//hyfG//hha//phnI//fecA//chbR//zwf//gntU//feoB//gntR//ebgC//agaV//glpF//hslJ//dsdA//appY//ompX//evgA//fixC//cysD//cstA//uhpT//paaE//rrsG//cysJ//dsdX//tnaB//ogt//lysO//xylF//aaeB//preT//cysA//paaJ//gspL//sxy//gltB//marA//soxR//astD//yhhY//bcsB//leuE//glcC//ynfH//rbsR//amn//arcA//yqjI//hupB//yeiB//fimG//tsgA//ompT//uxuB//dnaE//cadA//paaC//moaE//dppC//gltD//
CreB-Phosphorylated	waaH//dppA//nrdH//ompC//ugpE//dcuA//yiaO//fucU//preT//
CueR-Ag	hypA//uxuB//argA//paaJ//prpD//arfB//fucR//
CueR-Cu+	allC//infB//sodA//rutD//prpC//hyaF//degP//
CuerR-Au	lsrA//fepG//nanK//xseA//acnA//pta//pgpC//
CusR-Pasp	rpsP//cysI//caiF//chbC//mhpB//uxaB//yfaE//metJ//srlA//purK//appX//cpdB//
CynR-Cyanate	fumB//feoA//nrfG//aer//
CysB-N-acetyl-L-serine	nuoG//uxaA//hofB//patZ//emrK//deoD//betT//pyrD//tehB//yjcH//gatZ//atoB//dppC//paaF//nrdA//ybfN//nupC//ampD//betA//nohA//ydhU//cas1//gltA//puuE//focA//glpF//soxS//purH//argR//malS//
CysB-O-acetyl-L-serine	aaeR//hyaF//tam//araH//paaG//argG//ygeH//yegH//hycA//chbB//ydeM//tauC//tdcB//rimP//mltC//crl//gspL//lrp//bamA//yjiY//acnB//yhhY//ldtB//rhaB//tolC//ilvI//trpR//citG//fimG//narG//manA//
DcuR-Phosphorylated	yegZ//skp//emrK//treR//ubiA//bioA//rplB//modA//fimA//
DnaA-ATP	oppD//slyB//envZ//ybdN//purH//bioF//hyaD//manX//motA//cpxA//xylF//appB//
DpiA-Pasp	metB//hyaD//preA//rplM//tauB//phnN//rrlH//cysI//nuoK//araC//mhpD//
DsdC-D-serine	livG//livG//sdhA//
EvgA-Phosphorylated	manY//dnaE//paaG//glyA//bcsC//erpA//puuB//mhpA//ung//csgF//paaE//fumB//mglA//trmD//rrsG//
