#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	cas2//ycdZ//amiB//napA//
AlaS-L-alanine	livF//
AllS-allantoin	nrdA//yqjA//fldA//
AraC-L-arabinose	bacA//pagP//trpE//feaB//grxD//hyaC//hupA//dapD//caiB//lpd//ada//yeiL//ilvG_1//hisP//
ArcA-Phosphorylated	hcp//gatB//agp//bglG//hemL//fecC//torA//nanM//pstB//cysG//gspH//lysP//rrsA//tolC//entH//oxyR//dmsD//yjjZ//envZ//glgX//allE//rpoH//iscU//arcZ//nupG//gspH//araG//srlB//astA//xylB//argT//mutL//argD//hcp//treR//ugpE//azuC//hmp//cysI//ftnB//hyaC//bamE//hyfG//oxyR//mtlA//lacY//uhpB//glgX//raiA//hisM//nuoM//ssrS//yqjI//lpd//borD//fucA//miaA//nanC//dmsC//tsaE//tdcE//folE//feaR//fhlA//paaH//yccA//mgrB//rpsP//hybC//nuoH//rbsK//fhlA//sucC//gatB//codB//tolC//moaA//cysD//mtlD//phnE_1//phnK//nusA//ybjG//folE//mscM//dadX//nikB//metH//rpmC//rmf//creB//pncB//hycB//ldtB//ubiA//yaiA//kbl//cynR//fimG//epd//tauA//glpX//csgG//dppD//rybB//dsdC//gabD//yaeQ//artI//hfq//rhaA//hisJ//ccmC//dnaE//purF//fdnH//mscM//abgT//comR//rcnB//bhsA//aceB//tyrR//emrK//fadD//dsdA//fes//argB//aceB//atoD//rplW//livM//fadJ//hyaC//argA//dsdC//rbsC//lpd//iraM//csgA//astB//abgB//aceB//ygiA//nrfG//moeB//yqjH//hybF//argI//rof//tyrR//hcr//aroL//lysC//mhpR//cheY//ybdN//map//mlc//srlA//carB//nikB//glcB//mtlA//rrsE//phoP//yecR//tdcG//cheY//ulaB//fliA//ynfE//aldB//gltT//dppA//gspE//fucP//
ArgP-L-arginine	hlyE//grxC//hslJ//araH//appX//preA//gltA//lldD//citC//citF//aceE//codB//dppF//paaI//cpxA//hdeA//
ArgR-L-arginine	narG//rrfH//yebE//aceK//glcF//torC//xylH//gntR//lldD//pgpC//hdeA//yjjZ//pepT//gcd//puuP//cysB//mgtA//idnT//cbl//lsrC//caiT//glcE//glpA//cydD//ubiA//motB//appY//pncB//metY//sohB//metK//ydhU//xylA//puuD//evgA//csgB//yfaE//uhpT//fhuC//
AtoC-phosphorylated	copA//hybB//mdh//moaA//
BaeR-Phosphorylated	ilvL//tdcG//pstS//tktB//sodA//dcuR//speB//cyoA//
BirA-bio-5'-AMP	ilvL//rrsD//lsrB//dapB//mipA//
CRP-cAMP	metC//tpx//glgX//hofO//nikE//glpX//lysC//hycF//carB//hybO//cra//rbfA//rbsA//iscU//dadX//guaA//ileV//gspJ//exbD//astE//xdhB//arcZ//lldP//ydeA//nuoG//nhaA//cynT//efeU_2//treC//nuoA//lsrC//ulaE//fepC//srlR//paaF//sbcC//hdeB//bamA//dmsA//bamA//nrfF//fucK//cheW//malT//malP//iscR//ccmB//srlE//rybB//ilvG_1//guaB//hypD//xapB//tadA//rutC//dcuB//fixC//hisP//fhuF//tdcE//ygeA//atoA//ccmD//gltW//envY//ppiD//glpK//rhaD//ilvY//mtlD//mscM//livF//sucB//rutG//znuA//gntU//tdcC//ybfN//atoB//norR//nadC//gyrA//grxD//rplB//fes//ybjG//purH//treB//dppC//ccmC//ydeM//citG//sdhB//hflX//hyfG//nagA//rpoS//phnI//marB//rnpB//preT//glpQ//ptsI//mgtA//ispE//fnrS//ykgR//raiA//hofN//ycdZ//marB//rutG//ycjF//fecC//livH//sufD//moeB//mhpA//gcvT//bglB//motA//idnK//ykgO//ftnA//alaT//cdd//rmf//phnP//yoaG//argF//yfdV//gyrA//ycjX//hflD//sbcD//idnO//bdcA//fixB//rplW//phoB//ilvA//dgcZ//rplS//uvrA//preT//metN//malY//prmC//ilvX//acnB//ompC//chbG//emrK//feaB//tsgA//cadB//cydD//ccmB//purB//ynfK//sucC//csgE//rplT//mlc//paaD//cyoB//betA//pta//gutQ//tauA//icd//manY//garP//dcuB//argE//glgS//hha//nuoJ//garR//hofM//fumC//fucP//livM//nikD//dppB//melA//betA//guaA//uhpA//nanE//atoD//malY//ychO//puuB//hycF//phnE_1//infB//araF//acrE//cas2//puuE//cysM//argH//dadA//fnr//yhiD//phnO//gltA//arfB//araB//ydhU//pyrD//rutC//metE//mtlR//mtlR//tktB//ftnB//lsrD//raiA//marA//rutE//cheA//fbaA//umpH//cusR//glyA//sufE//phnN//rrfD//phnH//carB//yegH//fliZ//norW//trxA//rimP//yhhY//narG//argG//hybB//mglA//acrD//dcuA//hyfE//uxaC//rrlA//fhlA//dpiA//rrlH//fecB//cyoB//bglG//katE//tdcE//ccmC//hyfB//fhuE//manZ//prpC//nagB//crp//atoE//nanT//aceA//cpxA//yfaE//hybG//glcC//fau//abgA//puuR//mntS//moaC//fdhF//abgA//csgB//fixA//speC//fucA//feaB//fumB//tdcB//napC//raiA//uhpB//trmD//csgB//ivbL//phoB//hyaD//torD//truB//rof//bamE//fixC//truB//purR//crr//mglB//nhaR//nuoC//gutQ//uidA//alaV//folE//nanT//ompT//nrdG//lysU//fecB//xylA//ydhW//tsx//rrfG//bcsZ//paaF//micF//gadB//hyfF//gltA//garL//hybF//rhaS//nikR//gutM//hpt//sdhA//tauA//mntP//yibN//fadL//tsaE//rrfC//argD//rutA//ileT//napB//gnd//mzrA//gspE//nrfD//cynT//ynfK//nikA//envY//rrlG//rimM//fucP//ykgR//treC//betT//pheT//frdA//sdhB//sufD//lldD//yebE//yaiA//mtlR//ulaA//tsaE//glcD//pgpC//rrsB//folE//astA//cyoD//ompT//paaE//srlA//arcZ//caiA//sdaA//phnL//fadI//cueO//cspD//pyrC//ldtC//ybdZ//pyrD//lrp//ydfH//ahpC//ileV//nmpC//cydD//argO//manY//cyoA//frc//rrfF//entB//sdhB//tsaE//argT//artI//mntS//cydA//aceF//araE//phnK//ihfA//phnP//idnK//tonB//torA//chbF//glpB//hyaE//ybjG//fdnH//gltF//betT//prpE//mgrR//deoC//atoA//citG//hflC//aroH//ppdD//ldtB//sdhA//gspF//amiB//malI//moaE//tehB//alaT//citE//sbmC//ogt//cusC//hyaE//idnO//ugpA//livH//bcsZ//rplM//nanA//mgrR//ansB//moaB//phnK//mntH//rbsD//fadB//alkA//emrK//grpE//fimE//nrfF//purK//malP//yegH//aidB//csgG//xdhC//deoA//napC//cynR//rdoA//gspI//ompT//xseA//rrlC//grpE//moeB//gspM//sodB//tauB//gatC//ynfH//rprA//focB//hupB//tcyJ//ilvG_1//araB//ugpQ//copA//rplC//acrB//rplV//lsrB//proP//napH//hybB//bioC//dmsC//entH//cheW//napF//nanA//uhpA//xdhB//yggX//csgA//appA//torC//betB//uhpA//sdaA//raiA//xdhC//caiD//pncB//astA//ydeO//tsgA//ompF//gcvT//hyfI//oxc//glnL//marA//hypB//livJ//ccmB//argH//ompT//arfB//dadA//
ChbR-Monoacetylchitobiose-6P	hycI//dpiB//ptsI//pagP//nuoH//hyfE//
CpxR-Phosphorylated	oppF//ahpF//mgrR//gnd//cpxR//bioC//lpxD//dsdX//yaiW//gdhA//rrfB//cysD//gadC//mgrR//ykgM//fecD//phnK//creD//rstA//rstA//ygbA//purH//garR//gntT//artI//rstA//nuoE//fucP//gntK//cytR//fes//rrsB//rutB//acrB//glnA//mgtL//cyaR//metB//dppD//rstA//caiT//ydhT//edd//sucC//moaE//gabD//tauC//rrlE//hisQ//fhlA//allD//nrfC//cbl//hyfF//rimP//tdcD//ackA//metJ//cbl//yojI//metA//fdnH//napA//tyrR//argF//ryhB//sroD//pitA//galK//
CreB-Phosphorylated	paaD//rseA//ptsI//melR//aer//gabP//gatA//sufA//mdtC//
CueR-Ag	entE//tyrP//hybA//lacY//gatC//yeaE//aldB//
CueR-Cu+	araJ//malP//argR//guaA//hycG//proP//cusB//
CuerR-Au	yqaE//dsdA//narX//yneM//cspE//hdeB//lldR//
CusR-Pasp	glgC//copA//livF//idnK//glpG//fimG//purK//ahpF//ssuC//araF//garP//hycA//
CynR-Cyanate	abgT//rrlA//tehA//frdA//
CysB-N-acetyl-L-serine	cspD//araC//lysC//tfaQ//tauA//feaB//yeaD//yqaE//fimC//gspM//folA//arcZ//hycA//adiC//murP//gltW//gntU//frdC//appX//ansB//bioF//ilvE//feaR//treR//phnO//hyaC//gatD//cvpA//thrV//lysA//
CysB-O-acetyl-L-serine	kbl//deoB//ygaC//tdh//sufD//chbG//phnP//argP//allD//lacA//mzrA//entE//fimI//cynX//dcuC//ynfF//fecR//lysP//entB//gltW//ssb//ptsH//hpt//lldP//iscA//trpL//glpT//modB//umpH//garP//rpoS//
DcuR-Phosphorylated	paaE//yhfA//srlA//nrfE//metI//paaD//glpE//mhpD//yfbR//
DnaA-ATP	rcnB//citE//yfdX//soxS//paaG//gcvH//ulaC//csgE//mhpF//hyfG//ulaC//bamE//
DpiA-Pasp	deoB//rbsB//hyfH//qseB//nuoB//hycI//ssuE//nupC//tyrP//aceF//feaB//
DsdC-D-serine	fur//ydhU//modC//
EvgA-Phosphorylated	rrsH//cydA//fucU//phnM//ilvH//hyfR//rhaA//nrfD//astE//nrdD//glnB//tnaA//fadL//dppB//spy//
