#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	rstA//lamB//safA//astA//
AlaS-L-alanine	rbsK//
AllS-allantoin	prpC//codA//pgk//
AraC-L-arabinose	chbR//abgB//rcnB//fucO//fepG//fur//rrlB//edd//fecA//lacA//alaS//fepE//cynR//mntH//
ArcA-Phosphorylated	alaT//prpD//osmY//acrA//xylF//evgS//metR//metL//gltV//iscU//lsrK//leuE//cpdB//cysJ//ygiB//fucR//gspF//glgS//phnC//hslJ//efeU_1//ompR//phoB//araF//mglB//mhpT//nusA//cysU//torD//cyoD//ansB//azuC//ydeA//amn//livM//metL//fimH//rnlA//nohA//norV//yiaK//rprA//sufE//agaA//ynfF//ydhX//frdC//hycD//gspM//trg//fabZ//fucA//nuoK//narG//gcvP//pheT//tfaQ//acs//hypE//atoA//rrsE//metF//tauD//bcsB//yjcH//truB//secB//yiaO//rplI//cusF//nuoH//citD//argB//glnK//flhC//rplP//rrfC//glcD//glpE//rrfC//narL//csgA//agaV//dadX//amtB//ydfN//ilvL//osmY//lldR//mdtB//tsgA//livJ//tonB//fimA//mtlA//amn//phoP//ysgA//lysP//cysK//phnK//gspH//lpxB//rplP//tauC//thrV//entH//tnaB//fadI//paaA//ubiC//norV//yqjA//pdeF//abgB//lsrD//waaH//phnE_2//fdnG//grxC//yeiP//hypA//aaeR//hpt//cysG//galE//gdhA//xylB//dcuA//torA//bioB//gatC//melR//malX//psiF//ynfG//rybA//dusB//zraP//aidB//skp//rpmC//ftnA//dnaA//argI//tsr//hfq//nrfB//manY//ilvD//araG//idnR//micF//lamB//fhuF//xylG//dppF//tdcC//ilvI//nohA//pta//lpxA//gadB//ynfH//ahpF//dcuB//torA//pdeF//yhjC//gatC//ispE//hycD//ssuC//ccmF//astB//ccmE//rhaB//
ArgP-L-arginine	ivbL//yiaN//ilvN//tdcG//rplI//dpiB//metQ//glpR//napH//ileU//ada//comR//yccA//nuoE//comR//nuoC//
ArgR-L-arginine	csgG//bcsB//soxR//entS//dmsA//lacZ//lpd//nuoH//gltU//rplB//yegR//crl//fimH//phnH//mdtB//livJ//proP//cirA//modA//fau//pflB//hlyE//soxR//glpA//phnE_1//focA//mgtA//metN//appA//hyfA//aaeX//lamB//paaB//aroM//tauD//cheA//amiB//glcB//gltB//
AtoC-phosphorylated	amn//nmpC//yfeW//yoaG//
BaeR-Phosphorylated	appX//mepH//ascB//garR//gspI//tdcC//lsrR//uhpC//
BirA-bio-5'-AMP	nrdF//mdtD//nlpD//oppB//metC//
CRP-cAMP	purK//metB//atoB//lpd//yjjZ//malK//gutQ//acrE//fepA//waaH//livG//sufD//galP//caiC//trpE//oppD//tdcD//rplB//mhpC//sohB//cysG//cra//fnr//ykgR//ydhY//trg//cysN//hofN//lysU//argB//trmD//pncB//hycC//lolB//envZ//hyfI//fucA//rrfC//paaE//emrY//gpsA//araF//glgA//rbsD//lysC//arcZ//moaC//lyxK//ilvI//yfaE//hofO//nrdH//dnaA//yhiD//mhpD//rimM//qseB//rutD//gatA//hypF//phnJ//rbfA//cadA//fiu//paaI//fldA//paaF//phnD//cysD//aceE//znuA//cdd//upp//ilvD//ompF//fiu//stpA//malX//lpd//metJ//fadE//moaA//ompX//aaeX//ydhV//chbB//gabD//sgbE//araH//ilvN//udp//dppC//purL//ilvL//purC//serC//bamA//acrF//citE//rutD//ccmD//idnK//cadB//gntX//phnE_2//yeaD//oppC//yeaE//ilvH//nirB//fumA//gntR//atoD//mhpT//ysgA//feoC//ldtC//trpR//srlD//kbl//rutC//fepB//entE//purH//prpR//qseC//slt//ynfK//ulaF//lacI//csgB//pstC//ynfK//aroP//bioA//cusC//carB//agaW//chbB//hyfA//puuR//pagP//rhaD//copA//yeaE//tdcE//ompA//creA//gltW//yfiP//ugpA//epd//adhE//ompC//speA//hcr//nuoN//lsrD//bamA//glpE//chiP//fes//copA//yeaD//stpA//ygeA//nagE//narH//comR//modC//araD//acrA//ygiB//fliA//hflC//rhaT//gltD//ycdZ//nikA//trpA//rimM//yhhY//lacZ//ompF//acrE//arcZ//glnD//yegZ//yneM//pgaB//aceK//trpB//glgS//zntA//atoD//slyB//ynfH//oppB//uxuR//yqjH//aroP//hyfA//dnaE//ryhB//oppC//nuoK//gltT//rmf//slt//ilvC//ptsH//rrlC//rpsQ//yegR//gspG//glcD//lysC//yaeQ//idnT//artM//ompF//sucB//argO//cheA//yeiP//dpiB//gpmA//araB//idnK//ilvG_1//sdhD//napB//glnL//allE//fhuA//pgaA//sbcC//purK//entC//nmpC//amiB//borD//hyaE//galM//argC//creC//caiA//mutY//aroM//rprA//adiC//yegZ//sbmC//rrsB//glpK//artI//deoA//fimH//hflX//ulaB//rpsR//purH//crp//znuC//rnhB//deoD//ilvB//amiB//preA//nupC//ygbA//rprA//mepH//sbmA//ampD//hypC//argD//gspE//raiA//cynS//deoD//leuE//bcsZ//pyrD//hyfE//rpoH//mdtB//yedX//codA//srlA//modB//prfA//cspD//leuE//puuB//astB//ppiD//nrfD//citD//rbsA//narG//ssuC//map//chbA//creC//kbaZ//nikB//hyfJ//ssb//phnM//sufB//ahpC//pheM//hyfD//ssuB//frdB//pdhR//nikR//bamE//pstB//purD//sdhC//trpL//lldR//yeiB//rhaR//rbsD//fimA//yjiY//tauD//ydeM//fiu//fdnG//feoA//lysC//phnH//csgD//rrlG//glnL//pflB//prs//mpl//moaE//rbsR//malM//cydC//gapA//pnp//sufA//osmY//tyrB//rstB//atoB//lolB//nrfB//rcnB//qseC//creC//hofN//rhaB//fabZ//casB//rrlG//metE//psiE//pitB//purF//osmC//nohA//rrfH//serC//cytR//fecA//lldD//nohA//cstA//cvpA//lsrK//fepC//cirA//tdcC//fucO//yccA//rutB//rhaD//paaF//hisJ//tauD//dmsD//fecB//arfB//chbC//glnL//dusB//fimC//cvpA//rhaT//thrS//malE//tdcA//thrV//hflC//glgA//sodB//sgbU//mtlA//rstB//sbmA//hcp//sgbU//rnpB//rplS//atoE//grpE//ccmB//rpsJ//lacZ//mhpD//preA//rplD//ompF//paaK//rrlG//rmf//cynS//purN//yeiW//dgcZ//nuoN//rrsB//rpoS//purK//lhgO//fliA//hyfB//caiD//baeR//araE//phnE_1//yfdV//mgtA//narG//prpD//hisM//kbl//cysW//sodA//glpR//ygbA//preT//glgP//codB//yjcH//lpxA//sgbU//pck//grcA//soxS//yeaR//yjeF//dppB//dctA//rprA//oppF//lysU//phnF//yidQ//narH//abgT//cra//casB//infB//ppdD//rprA//sohB//acrF//rutE//acs//tauA//paaD//bioA//tam//rbsC//aldB//melB//dmsC//rrlD//mdtA//cysB//degP//frdC//nrdA//caiA//metN//gatB//lpxA//lldP//ilvN//nagE//aceE//lysU//rplP//cyoC//yggX//hybG//ynfG//araG//bcsZ//paaJ//glcB//astA//tap//ptsG//emrK//nuoM//dapD//metL//ydeN//ppiD//prpD//manA//ftnB//norR//cheR//acrA//
