#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	tadA//yggX//hyfJ//paaC//
AlaS-L-alanine	copA//
AllS-allantoin	gnd//hybE//glnD//
AraC-L-arabinose	tehA//leuE//fhuD//fimF//fecC//tnaB//fdhF//xdhA//ilvA//nrdA//purE//yjiY//alaT//dmsC//
ArcA-Phosphorylated	carB//xseA//argA//glpF//hycD//bacA//glgA//gutM//priB//yecR//purL//malY//pdeF//cyoE//rrfC//fadH//rplB//lsrF//gapA//fecI//fixX//rrfB//tktB//fimC//rhaT//gcvH//oxc//uxuA//qseB//idnO//rrfG//mhpB//dmsA//ulaC//dpiB//astB//glcE//ssuC//amiB//rrfB//pgaB//gspL//slt//ychH//lpd//ilvG_2//phoR//gltD//narG//gspG//idnT//yhfA//yegH//nac//carB//fecI//amtB//pheT//phnE_1//fhuC//ampE//ssuC//ompF//fixB//iscU//priB//pgaB//waaH//fliZ//entB//rbsK//hyaD//ytfE//fucK//nirB//melR//garP//fucU//yegR//alkA//iscU//phoU//rrfH//hyfI//mzrA//sdhD//araE//fucK//malP//rnlA//bioD//dsbA//melA//amiB//hha//cysW//phnG//tnaC//malT//frc//bioA//mglA//yibN//artI//tauA//tdcF//galT//sodB//nanE//dsdC//allC//iscS//fadJ//azuC//fimH//hupA//nanT//entE//nagC//acrE//yiaM//deoD//fixX//dmsA//rnhB//srlA//cydD//mhpA//purF//rpsF//sbcC//ssuC//ccmD//narQ//rutE//tyrB//exuT//paaE//metY//glgC//mdtC//cysI//abgA//hycE//csiD//fimE//fixA//speB//tktB//sucC//amn//ssuE//rseA//tam//tsgA//zraS//nrdF//speC//rprA//gutM//cspE//purA//gatZ//motB//csgG//fnrS//rseB//aaeB//folA//dmsA//atoE//csgC//malT//recF//fnrS//cusF//tap//
ArgP-L-arginine	bdcA//araB//hyfA//ilvE//srlA//xapA//napC//mglA//nuoE//yiaM//ydfN//purC//sgbE//speA//tdh//fepG//
ArgR-L-arginine	rpsQ//astE//asr//sufE//alkB//ydhV//hupB//sdaA//rrfE//glpD//xseA//malK//nrfB//atoD//galS//ubiX//cynS//spf//hybB//ycjF//mepH//hyfR//fdnG//artJ//hyaD//sbcC//appX//galP//yfdX//fadI//ompA//prs//tauA//allE//rutA//purE//pnp//cdd//ppdD//
AtoC-phosphorylated	xseA//nuoG//puuC//lsrC//
BaeR-Phosphorylated	ppiD//sbmC//torC//nanE//ilvD//rplW//sgbH//sufB//
BirA-bio-5'-AMP	tauC//appX//gatB//katG//dppD//
CRP-cAMP	pgaC//yecR//cysD//fixA//yhhY//mglB//ompF//fhuB//aroL//nikD//uidB//yjjZ//cpdB//aceA//ulaA//mglC//caiF//malQ//rhaD//chbA//mtlA//phnC//nagC//tyrB//yiaO//metA//putP//rplM//rutD//rplC//rrsA//hflK//rstA//osmC//moeB//artM//baeR//bioD//dctA//rrfB//dmsA//cyoE//cheY//entD//rstA//baeS//hyfG//paaA//paaE//dsdA//purN//glpR//rpoH//upp//casD//sdhD//adhE//puuR//slt//tauA//nupG//aaeX//ynfF//ptsG//trpB//nrdI//slt//metN//yjeV//phnO//livM//fiu//ilvL//cusC//grxC//artP//nrfG//borD//fepD//glnD//ykgR//feoC//glpK//rrlE//chbR//ivbL//idnK//creB//ysgA//citX//sdhD//citC//ryhB//feoA//rpsF//rpsR//alaA//ulaE//betA//dppB//purR//phnE_1//folA//betB//argT//cpxR//alaT//hha//cysK//fhuB//agp//preT//zraR//ybiT//pstA//ccmE//pheS//ilvG_2//gadC//caiC//citD//moeA//mgtL//uraA//fadJ//malF//bcsA//gabP//zntA//purR//slt//pgk//glnA//ynfF//pncB//dapB//iraD//gltT//entE//phnF//mdtB//sxy//phoA//mhpC//mdh//tsx//ybjG//gcvT//focB//ppiA//entH//pdhR//casB//cheW//katE//mhpA//abgB//lldR//fumB//purH//ybfN//araG//malS//srlA//ndh//malF//uidA//ybfN//tdcF//lsrK//bglB//sdhB//hemL//xylR//tyrR//nhaR//xylG//rutB//tsx//fis//modB//treB//alaV//araG//cstA//rutE//aroG//dapB//aroG//fdnG//prpR//aroP//gadB//phoR//manA//soxR//hofO//glpX//frdA//rrfE//rpsS//ssuB//galS//kbaZ//gatC//galS//ykgO//glnA//sbmC//hofO//uidA//glpT//creD//paaD//exbB//pstS//paaE//bamE//hypC//motA//gcvT//astB//ihfA//ilvX//frc//malK//moeA//gatB//mhpF//dpiA//dsdA//yeiW//rplW//dadX//fes//guaB//rrfA//glpK//exbD//argT//paaA//fadA//argO//betI//torR//ryhB//paaC//fecR//yidQ//mzrA//cyoC//fadB//ileV//guaA//nrfF//nuoA//tdcC//rrlD//cadB//mtr//hyaA//ilvG_2//hycB//rrfB//grxC//envY//betA//yiaK//katG//garR//trpE//ydhU//caiC//puuC//glyA//torA//qseB//mhpR//hofM//paaC//rpoE//manA//yegR//cydA//qseB//grxC//livF//mgtL//rbfA//micF//malS//phnL//cspE//dps//rcnB//slt//fis//ompA//yeaE//ascF//aaeR//lsrD//hyfC//gspD//agp//argE//ygiC//rpsS//dmsD//agaV//fau//nusA//alaU//aroH//appY//rrsC//yhjA//paaI//hypE//gcvP//tar//upp//mhpD//yhcH//lsrG//pgk//fadJ//hisP//uhpT//rpmI//fecE//fhuB//argI//tehA//miaA//emrY//tar//aldA//mdtA//ycjX//pheT//ssb//napF//nupC//mhpF//katE//nrdE//livM//rpsJ//cadA//rplP//ychO//aidB//paaG//rhaB//hyaE//purF//xdhB//thrV//pgpC//ugpB//lacZ//tcyJ//ccmH//garP//fadB//moeB//envZ//prpB//pgaC//yhfA//nanT//fimE//phnH//fucO//dusB//cusF//artI//dpiA//torD//hypA//ydhU//tdcE//yeaD//umpH//nrdG//dcuS//oppB//pheT//nagC//fnr//galS//modB//yqjH//gpmA//evgS//folA//galM//aer//nirB//chbR//spf//lsrC//rplS//rrfD//citD//hofM//tomB//caiC//yojI//puuP//rrsE//galM//ilvN//sroD//dcuS//ivbL//lsrB//moaE//argA//rseC//aceK//betB//glgC//pstB//pta//aaeX//lysO//puuD//gspF//moaE//melA//fimA//sufD//bglF//ssuB//rpmI//csgG//gspD//prpC//fixX//ybiT//acrA//tnaA//feoA//nirC//ppiD//rhaD//tsaE//kbl//gntP//yiaJ//speB//lldD//metQ//tdcD//hemL//paaC//sgbE//rcnB//entD//araC//yjjZ//bioC//narI//ulaE//mdtD//yqjH//truB//uhpC//baeR//rplV//nadC//ydhX//dapB//artP//cysB//ampE//idnT//uxaC//deoD//ileT//argD//uxaB//sucC//motA//yjeV//lldD//glnA//agp//yhhY//gspM//lysO//dctA//frdD//gapA//ygaC//phnF//acs//uxuA//phnG//gadB//gspD//mgtA//cysG//ydhV//yjeF//malG//nuoG//rseA//gcvH//cyoA//hyfE//ydfH//sbmC//xylG//mhpE//ascF//glnA//malQ//fepD//alaV//ackA//tdcB//acrD//
ChbR-Monoacetylchitobiose-6P	tdcF//nagE//hflX//ptsG//crr//pheT//
CpxR-Phosphorylated	aceF//fadA//citD//rrlA//secB//nrdA//napA//marR//ilvN//sufC//mtlR//yqjH//sdhA//mhpT//aceE//yeaR//glpB//hypD//umpH//tdcA//manY//nanA//malP//rrlD//cydD//cueO//mntP//hofC//rcnA//rrfH//sodB//slt//allE//galS//rybB//lhgO//acrD//psd//ysgA//trpE//moaC//ldtC//cusS//tnaA//dgcZ//rpsS//safA//nrdB//rplS//uvrA//rrfC//ybdN//rnlB//tauB//gabT//iscU//hypF//tnaB//hyfF//envZ//nrfE//purN//puuC//trpL//tdcD//livK//rrsD//tar//malM//
CreB-Phosphorylated	motA//comR//puuC//gspD//nrfA//rrsB//sohB//gspE//cusF//
CueR-Ag	glnB//fixC//dcuD//caiE//malE//mdtA//rplI//
CueR-Cu+	alkA//atoD//cirA//rybB//rutE//deoB//deoB//
CuerR-Au	marA//glpA//fau//secB//yjjZ//yhcH//norW//
CusR-Pasp	ugpA//nagC//rplP//rpoH//yjeV//ptsG//yhjC//phnP//paaJ//aaeR//ulaF//gntR//
CynR-Cyanate	map//ybdZ//ahpF//aer//
CysB-N-acetyl-L-serine	sxy//fimE//tsaE//rhaA//sucB//cysK//livM//phoB//bglB//phnC//aceF//yfiP//rhaD//rutG//rnhB//yqaE//purN//nagB//tfaQ//epd//glpT//fadA//yqjA//hflC//rdoA//glgP//fucI//garL//nuoI//yeaD//
