#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	uxuA//fnrS//hofM//fimE//
AlaS-L-alanine	gatB//
AllS-allantoin	fliZ//dcuC//gcvP//
AraC-L-arabinose	hcp//galM//moaD//ampD//glcA//rutG//tnaC//gnd//guaA//prs//yiaL//cas1//moaA//phoR//
ArcA-Phosphorylated	yegZ//malE//fumA//truB//araB//uhpA//alkA//metB//paaB//oppF//prpE//motB//ilvE//agaA//ssuD//tktB//creC//purK//abgA//nanS//fimD//atoE//talA//nuoA//glpQ//mdtC//adiC//bglG//nagB//rbfA//metE//efeU_1//treB//caiD//sxy//gspL//rpsI//xylF//envZ//pheM//ilvY//pgaD//gabP//rbsR//uof//nhaR//ilvM//torR//znuC//rbfA//nhaR//entS//ccmE//pflB//appX//rprA//bcsA//bglG//glgP//ilvA//ygeA//tyrP//purB//mntH//csgC//slyB//chbB//glpC//csiE//puuA//moeA//iscU//ilvE//frdA//envY//alaA//fnrS//ycjX//abgB//hycH//yfiP//moaC//rpmI//pta//xylF//uxaC//chbF//cstA//tauC//melB//ychO//narJ//rplB//ubiA//pheT//yfbR//phnJ//frc//galS//lldR//yiaM//dppB//pyrC//glcE//rhaA//fhuB//nrdF//sucB//hybF//glrR//mdh//fixB//dapD//chbC//codB//csgD//metA//gatY//mhpR//fimA//fepD//yegH//citG//ydfH//fucO//dppD//gntT//fadA//argP//phnI//glpQ//prpD//ydhU//cynX//creD//uhpC//nrdA//lrp//adiC//xapA//nuoF//mdtB//aceE//hupB//qseB//ftnB//ilvL//glyA//umpH//mzrA//gcvH//glgA//cysW//dapB//tonB//iscA//tktB//napH//araF//fdnG//ynfF//moeB//ftnA//lysA//rnlA//uxuR//ydeJ//creB//ilvH//xylG//uxaB//mutL//phnG//nupC//glpE//rplM//hypD//
ArgP-L-arginine	nagB//mhpF//caiB//moeA//gatD//treB//fecD//tauD//lacA//alaS//grxC//evgS//ilvH//rybA//ygeA//hcr//
ArgR-L-arginine	gspG//lamB//yiaJ//hpt//atoB//lpd//cyoE//glcC//fimC//phoH//puuB//feaR//tdh//bcsA//ubiX//cysK//purC//gabT//sufD//hyfA//tdcA//garK//livM//hyfG//argR//phnN//ftnB//cpdB//rpsI//puuE//galT//citG//nuoI//fimD//yggX//argP//mhpD//napD//dadX//
AtoC-phosphorylated	mdtC//rhaT//proP//nhaR//
BaeR-Phosphorylated	entS//miaA//ubiG//oppB//dadA//yiaM//cheW//betA//
BirA-bio-5'-AMP	nuoJ//glpB//ssrS//upp//nrdF//
CRP-cAMP	fumC//ygaC//uvrA//narI//artP//phnO//focA//idnT//aceA//nlpE//rrlH//caiB//cueO//trpB//rhaA//yiaJ//nrfF//hcp//ccmB//aceE//narQ//pta//lldD//borD//fadD//srlE//fucP//alkB//glnG//sucD//rplS//mdtC//fixC//ulaC//gatY//zraP//iclR//hyfI//yjiY//fhuA//puuE//hupB//sucD//srlE//ampD//nuoA//talA//dadA//ssuE//ilvE//hslJ//ydbD//phnE_2//serC//yjcH//ynfF//melA//ptsI//fadJ//galT//prpE//asr//nuoF//glpC//fucR//ynfK//dppD//rpsS//ulaD//cysC//galM//fnr//araA//hisM//waaH//dpiB//ryhB//cstA//ugpA//feaB//exbD//rrsB//putP//ileV//ivbL//hypC//purE//codA//marR//rrfF//betT//torR//ebgC//entB//ssuA//yedX//grcA//hypE//sufA//dsdC//torD//malG//sucD//lysA//argE//gltB//hypE//ycjF//paaC//yaeP//mlc//sroD//paaH//znuC//purM//lpd//agaV//puuC//rbsB//fnr//caiB//acnB//mgrB//abgT//rplV//ryhB//oppF//cheA//chbF//artI//glgS//atoE//rybA//yjiY//ccmC//gntP//yfdE//ugpE//pstA//cyaR//fau//phnC//tauB//hycF//ykgO//creB//erpA//argE//livK//rseA//psd//nrdD//gutQ//lhgO//nadC//ugpB//znuC//mdh//fimG//rplS//yhjC//ascF//frdB//hyfR//glpG//glcG//pepT//rnhB//pagP//rhaD//sodB//secB//ompF//phoA//nuoM//cysA//modC//astE//mscM//lldD//nikD//map//glgA//gutQ//lacI//hypC//rpsC//glnK//nrdD//cysH//glpK//grxD//hisQ//aroF//carB//rimM//cydD//ydhW//dmsB//hofB//metF//entF//dsdC//casE//moaE//norR//arfB//caiD//proP//amiB//citF//gltV//gltD//psiE//frc//hybC//glgX//sdhA//uraA//malS//grxC//alkA//melA//rrlH//bcsZ//sucB//ftnA//codB//fumB//slyB//rplI//acrB//sufC//tdcA//rpsS//zraP//codA//chbR//ybdZ//uxuR//nuoG//carA//glpF//rplP//hflD//entD//ydfN//cadA//truB//lldR//tcyJ//cysN//malY//tsgA//mgrR//trpD//tolC//aceK//ptsH//rpsC//chbF//rrfC//rof//ysgA//fhuE//hypD//aroA//trpE//sdhD//appC//rnpB//skp//livF//nuoK//gatB//gspH//mzrA//prpD//fdnI//artP//gspD//ulaD//galM//glgX//rrfH//fur//frdD//csgF//galE//mtlD//xdhA//rseA//ygeA//hycE//evgS//entE//fadE//phnG//ascF//rrlG//pstA//moaA//xdhB//yoaG//gntT//rplI//bioD//ulaE//dmsD//ebgC//yfdX//arcA//ileT//nirB//bioA//melB//guaB//appC//lacZ//caiT//amiB//betA//artQ//infB//nlpD//nagE//spf//acs//iscR//argC//nac//nuoK//cydD//ssuC//gltF//marR//tauB//xylF//tsgA//aroG//moaB//osmY//preT//pta//fepE//hisP//acnA//rhaR//ssuE//tfaQ//glnG//exbB//xylB//sxy//rrlC//gspL//tehA//fliA//yqaE//ompC//ssuA//rimP//efeU_1//hflK//casB//rseB//fadI//phoP//argR//mcaS//fecI//malY//fliZ//hisM//cusC//csgD//mglB//uraA//rpmI//fepC//zntA//rybB//ileV//iscS//argO//lacA//bamA//nrdA//tdcG//fecA//upp//yeiL//glcA//ydfH//folA//guaB//asr//dcuC//rplP//rplC//aceE//fhuA//fadE//aceE//deoB//fadD//ygaC//uidB//sroD//fimH//slt//rcnA//araH//dctA//ydhX//rrsB//aroA//gltF//dnaA//focA//rplC//gspO//pdeF//moaE//gltB//appY//allC//entH//aroA//aroA//hydN//glgC//hcr//dcuC//tam//zwf//glnD//hflK//nanS//preT//dapD//znuC//nanM//malS//rstB//bioF//ompA//ydiU//metC//cydA//envZ//cysU//crr//cysH//fecB//xapB//fliZ//glcC//malI//znuC//glgX//arcA//folA//uxaA//feaB//cyoC//phnE_1//lsrD//gntT//dppD//hyaD//cpxR//iscS//fecC//tolC//ada//pflB//ydbD//nuoB//gntT//csgA//ugpE//uraA//aroG//cynX//gcvT//argI//mtr//dmsD//rseC//paaA//mntS//cheR//uraA//bglG//rhaS//tdcA//trpE//ydbD//alkB//oppA//tdh//garR//osmC//gabD//ynfG//rpmI//chbA//efeU_1//argP//katG//phnC//truB//asr//glrR//paaF//napA//yeaR//gntU//xdhB//aroH//gltV//nrdD//lpxA//hyfD//
