#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	ygbA//rplW//rrfB//garP//
AlaS-L-alanine	sgbU//
AllS-allantoin	hpt//malI//purE//
AraC-L-arabinose	yedX//citE//comR//fumC//carA//nfuA//hyfD//hyaB//abgB//manX//cheR//fixB//argP//fbaA//
ArcA-Phosphorylated	araG//psiF//ulaC//paaB//baeR//dsdX//tyrP//phnE_2//ulaC//ahpF//mtr//srlD//bcsC//betT//ydeO//micF//phnE_2//xylH//rpsP//hybE//cysN//nlpE//sdhA//glnG//gutM//lpxD//dmsA//speA//nanK//oppB//fucP//motB//chbB//yqjA//nuoM//yhhY//araH//ompR//aroG//glnD//oppD//modB//lysA//mutL//fdnG//norW//mepH//ccmA//deoA//uxaA//ssuE//xdhC//znuB//trmD//melB//fixA//trxA//nfuA//ssuD//aroP//ilvH//gnd//eda//chbA//fhuE//rbsD//yiaJ//iscA//ssuC//hyfJ//malG//purE//cusR//betB//betB//dppA//fau//caiF//hypC//tdcB//rplP//phnC//fimI//paaF//gspM//paaJ//metA//sufD//rbsK//fepD//acnB//alaS//argT//dpiA//metE//gspE//fixB//cydB//citF//fadA//metR//prpE//prpE//cheB//srlR//glgS//nhaR//glgB//metQ//caiB//mgrR//gapA//narJ//rrsA//lsrA//entS//hypB//azuC//micF//malM//nmpC//hofO//nrfE//ascB//ubiG//osmY//cytR//ccmA//modB//fixX//nrfD//pgaC//manA//hflK//osmC//yqjH//torR//lysC//dcuD//purN//fadI//glpF//nuoM//sufD//casB//malZ//nrdA//purF//narL//glnD//idnT//ompX//ndh//talA//tdcC//prpB//melB//livJ//metB//alaT//guaA//fhuB//nuoJ//ileT//yhjA//aaeA//purM//lysU//rutD//ppiA//hycD//metK//sgbH//fadA//napB//rpsF//grpE//
ArgP-L-arginine	galM//phnG//sohB//pstC//speB//nagA//metK//purM//rstB//betB//gspJ//mutL//caiT//nrdG//emrK//nikR//
ArgR-L-arginine	sucB//abgT//moeB//ydeO//nfuA//tehA//ilvA//metJ//ccmB//nmpC//nhaR//pck//yaeQ//rrfH//soxS//rbsK//acrD//yaeQ//tcyJ//cpxA//mtr//fau//citX//rrsH//nadC//ccmE//murQ//adiC//gabD//malE//ccmA//narX//fimF//talA//uhpT//phnF//dcuB//puuB//yjcH//
AtoC-phosphorylated	artI//pstA//sodB//cysM//
BaeR-Phosphorylated	fhuC//chbA//hybG//amtB//gyrA//iraM//araJ//gnd//
BirA-bio-5'-AMP	aldA//idnO//sgbE//gltA//sufD//
CRP-cAMP	ccmC//napA//galP//tehB//cheR//astA//ldtC//fimH//mtlR//csgE//sbcD//atoD//aroA//tsgA//rplI//astB//fdhF//dmsC//cspE//rrsE//phnF//fadD//mglA//malK//puuR//fucA//paaF//amtB//cusF//motA//nlpE//aceA//ydhV//creC//srlR//ydhT//metR//tnaC//mdtC//lsrG//galP//yqaE//citF//yfaE//malT//alkA//uhpB//ppiA//malY//ilvN//hyaA//rnlB//ftnB//livM//bamE//fecI//ykgR//nrfA//lysO//acs//gabT//tonB//fepE//aroA//pgaB//chiP//ytfE//serA//ydhW//tsr//malZ//rrlA//modA//cyoD//artP//yfbR//ssuC//casA//aaeA//citC//srlE//lyxK//puuP//dnaA//zinT//oppD//ygiA//uidA//ampE//purF//gntT//tsgA//fixC//nuoN//melA//lpxA//dmsA//modA//bcsA//recF//hypA//paaF//metA//glnB//livJ//astB//caiT//mlc//yaiA//cysJ//ackA//gpmA//glnA//xapA//aer//oppF//pitB//nuoC//malZ//paaF//pnp//sxy//hdeB//entC//arfB//exbD//sucC//acrB//ldtC//rhaA//livH//raiA//amn//ydhW//narK//argC//rrfC//lsrC//melR//yjjZ//yqjA//yiaJ//hyfF//hyfD//cirA//lamB//kbl//ilvN//mgrB//ilvB//gatY//ybiT//nuoN//copA//bcsZ//dcuR//ugpB//aroM//ilvX//glcB//qseC//tolC//yegR//lsrB//phoU//nhaR//creA//araD//hycG//glmY//rrfG//yeiP//cpxR//xylH//nikD//agaW//uvrA//rimP//sdhC//miaA//yeaR//mglA//tdcE//rplB//grxD//rrlA//purA//argI//manA//uhpA//glnL//yfdV//entA//feoC//cysB//flhD//mntS//sodA//glpQ//fumA//fecE//chbA//ydeA//rutC//astD//fucA//rpsO//phoA//narI//ugpA//rrsG//cstA//rseC//epd//pyrC//rplM//tdh//cueO//argI//marA//nuoG//ynfF//rcnA//ubiX//rpsR//aaeX//murP//phnK//phoQ//iraM//sdhA//ydfN//edd//tyrP//rrsH//codB//fucA//uxaC//lsrB//nuoN//betI//aceF//hycC//livM//ulaD//metR//aidB//safA//yeaE//argA//dnaN//sroD//rutE//dcuB//cysC//fimD//fepC//cyoE//entH//cynR//glnK//livK//xylA//paaG//lldD//idnK//polA//dpiA//glgC//nuoI//aaeR//phnP//recF//casE//ybfN//hycH//cheZ//ada//asr//gltD//uraA//grxD//cheY//yiaN//mgrB//nusA//ompC//tdcD//artM//yjcH//gcvH//astB//ydhV//mntS//mglC//puuC//rrfC//gspJ//baeS//dmsC//rybB//fur//gabT//rpsQ//phnH//cusB//caiT//nrfG//yhhY//ileV//cas2//phnD//xylB//moaE//ydeN//gspO//malK//dmsC//hisM//frc//ycdZ//cynX//fadH//paaH//cysB//yhhY//cbl//psd//map//frdA//rhaA//yqjA//glpT//pdeF//lsrC//caiB//fldA//artI//puuC//ilvD//nuoA//oxc//dppA//rrfH//fucU//pyrD//mhpC//acnB//ssrS//nrdD//serC//dpiB//ldtC//rprA//chbR//rcnB//cyaA//entB//nanM//hofC//napF//sucD//rdoA//mzrA//dps//degP//casC//dnaA//waaH//livM//yqjH//yegZ//ugpQ//yccA//mtlA//hyfA//pncB//cysH//ysgA//ilvG_2//sodA//fepA//lsrB//rplI//sucA//narG//fadH//aroM//srlD//ppiD//nrfB//tdcG//prmC//tdcG//nupG//yaeP//putP//pgpC//livG//fimI//srlE//hslJ//xylA//ilvH//hybA//exbB//srlA//rcnB//nuoG//rdoA//dapB//fadI//livG//phoU//glnG//rbsR//nrdE//amtB//hycA//phnC//sufA//rrlE//dpiA//malE//fadL//caiD//nirC//rpsO//cyoE//fnr//livJ//fhuE//acrA//csgB//glnL//fucP//raiA//ycjX//rplV//tauB//hemA//iraD//astD//katG//motA//livM//aroG//ilvB//malQ//moaE//guaA//metF//caiF//mltC//fdnG//chbG//waaH//idnO//marR//ahpC//frc//rplT//appB//ansB//cysI//murQ//ccmA//hyaC//rhaS//yiaL//trpD//citF//ileV//tyrR//mzrA//uhpA//trpE//lsrD//mhpE//ilvG_2//sodA//alkB//rnhB//ugpE//moaE//fhuB//ompC//edd//betI//agaW//yhhY//malI//pta//fhuF//gatZ//cysU//rstA//carA//rcnA//osmY//yeiL//fixX//infC//cyoB//hypE//leuE//cusR//cueO//guaB//hypE//cheB//norR//trmD//speC//srlE//phoU//zinT//phnE_2//marB//ldtC//rbsR//chbR//gntT//dcuD//phoE//
