#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	nanT//comR//tsx//psiF//
AlaS-L-alanine	manX//
AllS-allantoin	ccmH//hflX//idnR//
AraC-L-arabinose	cysK//pgaD//purF//rutF//gntT//bcsA//moaC//ssuB//astE//hyfB//modA//hybD//alkA//yaiW//
ArcA-Phosphorylated	cydC//ygiC//glnK//aspC//glgP//ugpQ//priB//alaT//uidB//oxc//nirC//mzrA//trpE//ubiC//chbG//sufC//malK//hybA//uhpC//pflB//mepH//ybiT//glgS//xylG//feoC//ung//gnd//hdeA//slt//paaI//lyxK//cspE//dppB//yecR//osmY//metE//alaV//hfq//hha//glpC//ptsG//sbcD//iclR//rpoH//ugpE//proP//purA//cysG//envZ//chbA//deoB//alkB//ilvN//gltV//astA//gpmA//cysW//appX//cpdB//hofC//gltA//flhC//cysC//dpiB//gdhA//fdnI//mgtA//glgC//sucB//cysM//marA//hyfH//gutQ//patZ//idnT//yhjC//cysC//zinT//mutY//srlB//lldP//araC//ugpC//metQ//sucD//envZ//csgF//hdeA//aceE//prfA//yeiL//carA//rbsA//idnK//slt//sbcC//aaeB//rbsK//metH//gltT//phnM//bioB//mutY//ssuC//allC//nuoE//rpsF//metC//fadB//oppF//aroA//astA//glpA//artI//rybB//cueO//xdhB//abgT//mutY//argO//mntS//xylF//puuE//tam//ilvB//caiT//dppA//ccmC//nikD//nrfA//acrD//hybO//xdhC//chbC//manX//yojI//yfdE//abgA//hflD//dnaE//fadB//sufA//ilvC//hslJ//acs//yeiB//tdcC//hemA//ompW//oppF//ssrS//rutC//hyaB//trpL//yiaN//hofN//rrfA//dcuD//modC//purE//galK//gntP//nrfD//dapD//mutL//hemA//artQ//creC//map//nrdH//prfA//ssrS//ebgA//gspI//amn//hyfG//trpB//
ArgP-L-arginine	pheT//hisJ//hycD//pepT//ptsI//hybC//cysH//nikD//raiA//yfaE//uhpA//alaV//metE//truB//dcuR//ssuE//
ArgR-L-arginine	talA//rrfD//fadJ//mgrR//speB//paaH//fepC//rrsD//tdh//fau//znuA//rbsC//fecR//lacI//dmsD//fdnG//mhpC//mscM//phnD//fadE//flhC//cysJ//ygaC//fucA//hyfA//argH//phoU//oppF//feaB//ydhX//alaT//ulaD//arcA//gatD//ubiA//carA//nuoM//ytfE//ybiT//
AtoC-phosphorylated	dcuC//sodA//entE//nuoG//
BaeR-Phosphorylated	chbB//manY//caiT//ahpC//araB//ychO//metL//alkA//
BirA-bio-5'-AMP	nuoE//phnN//ilvE//aroA//qseB//
CRP-cAMP	sufE//gspF//motA//iscR//oxyR//tolC//cysJ//motB//dmsC//garR//ydiU//prpD//fis//entC//araC//metQ//hlyE//focA//sdhB//fiu//yhcH//hisM//grcA//gntX//nrfC//ydhW//rrsH//rrlD//sufD//patZ//melR//moaA//hybF//glnG//znuB//qseC//nuoN//yrbL//nikB//yfiP//fecE//creA//hyfR//pck//sdaA//hyfH//trpD//slt//aceF//cheR//yiaM//efeU_1//mglA//rplW//ansB//cadB//ssuA//trpE//focA//rbsD//gltV//hmp//tyrA//nanM//yibN//argA//exbD//rseA//nirD//baeS//dnaN//gspK//marR//hybO//osmY//ilvY//rrlE//mhpF//cydC//metI//ykgR//ccmD//aaeA//aaeR//slt//metA//ascB//aceB//acnB//tsaE//uxuB//glpQ//glpC//ydfH//sgbH//speA//ompA//livG//phoH//pepT//lsrR//fhuE//fadH//metQ//yfeW//gyrA//glyA//motA//agaV//zwf//paaJ//phnN//hycF//ilvM//ycjX//artI//priB//sucC//csiE//rrlB//argE//napB//cytR//fimC//hycD//cusS//malM//lsrR//feoB//fhuE//aceE//lpxA//ygiA//fimD//mgrB//malG//mtlR//hdeA//norW//creB//sroD//hemL//nrdA//purL//ygaC//hyfE//aceB//mhpB//hcr//sdhB//napF//ilvM//ydhX//azuC//bglF//paaA//cydA//tdcG//sbmC//fadA//rrsA//ykgM//feaB//galM//mglB//ybdN//glcB//phnK//prfA//cytR//rutB//nagB//aceK//pitA//ygiA//fis//pstB//phnN//ygeA//entH//fur//ynfG//yeaR//lyxK//nrdA//rplB//rpsS//aceB//ascB//argD//manZ//xylG//galS//lyxK//zraP//ilvG_1//prmC//rstA//malX//fimE//pck//ynfF//tdcC//yiaJ//agaW//dppB//rplM//phoA//ygeH//tsgA//acrA//phoR//gspK//sbmC//galK//glrR//uxuR//putP//idnK//yfdX//hisJ//fecI//ulaE//melR//gcvH//moeA//oppD//yoaC//glpQ//mhpE//yhfA//ldtB//chbR//nrdD//rrfB//nirB//tktB//nuoM//nagA//hyfB//fnrS//appX//glcE//trpC//infC//glpQ//rpoE//rrfB//tdcC//ilvE//rpmC//gspL//glnB//nikC//argI//bacA//hyfJ//cynT//xylF//hycF//dpiB//hemL//lysP//purA//yqjA//hypC//betA//fecE//moaB//hybD//nrdA//casC//ccmD//yfaE//ydeA//mdtB//thrV//citD//creC//yeiB//prpD//hycH//melB//rbsC//rpoH//rbsR//creC//tsaE//ydeJ//pta//lysC//mdtB//focB//bglG//cusF//fucA//uxuR//mltC//rplI//treR//yfdX//gutQ//lsrA//caiC//rrfG//rhaS//baeR//metE//marR//araF//soxS//bglB//casB//hofC//ynfF//moaA//arcA//gabP//hyfA//oppF//evgA//rbsA//evgA//dppC//acrB//cadA//dpiA//aroG//nrfB//narH//tnaB//atoA//psiF//rpmI//abgA//raiA//moaC//efeU_2//speB//caiA//astE//acrA//gabT//araD//codB//hyaB//xdhA//adiC//metF//oppC//prfA//ssuC//bioA//prs//pta//puuA//rybA//phnH//mtlR//arcZ//galP//nupC//rplS//micF//bioA//rrlH//fumC//acrA//ygiC//argP//paaZ//fhuE//yfdX//hdeD//safA//purN//ccmF//moaA//hdeB//aroH//sdaA//comR//dsdX//ompX//azuC//fadA//rpsJ//rpoE//citF//ppiA//yfeW//lpd//citX//gspC//feoC//fhuE//dppA//xdhA//cysG//purF//hyfJ//nupG//argT//cirA//garL//rrsH//rrfG//fhuF//purL//glcF//purD//gabD//tsx//trpE//cysM//nagB//fadI//soxS//feoB//glpA//oppC//fimH//dppB//cusF//nuoM//rpoH//cysA//ileT//micF//grpE//ydhX//rhaB//araJ//pstC//dadA//ydfN//pnp//mhpB//yebE//mgtA//gutM//ilvC//copA//ilvD//uxuB//nlpE//cysU//ssuD//glpR//paaE//citX//fecC//lacI//serA//prpR//citF//rrsC//gltU//phnO//yqjH//gyrA//ilvM//thrV//yegZ//fadH//glpG//yfdV//rpsQ//fbaA//amn//mhpF//rmf//fadJ//deoC//spy//uhpB//mtlR//feoA//oppB//phoR//ilvC//adiC//tktB//rrlH//yhjC//glcB//hofC//paaJ//fimC//rdoA//nrdI//glgA//cysG//malM//chbB//adiC//purE//rseA//polA//glpG//mgtL//torR//nuoN//gutQ//hyaD//mtlR//qseB//hycA//rnhB//cydA//mutY//fadH//nanT//lldP//nuoI//phoP//envZ//appC//fhuD//aaeA//araF//caiT//purN//nuoF//modA//
ChbR-Monoacetylchitobiose-6P	moeB//rhaA//mhpE//csgC//csiD//yjjZ//
CpxR-Phosphorylated	fadL//csiE//psd//ccmC//focB//metR//rrfD//agaA//aaeB//nrdA//csgD//nfuA//cspE//cstA//hycG//frdD//bcsA//gspC//ychH//argT//hyfF//metJ//glcG//nrfG//acnB//ygiA//metK//ykgO//fdhF//gadB//phoR//appB//napB//nikA//tsr//glcB//bamA//casC//motA//paaZ//manZ//nuoM//hybD//rrlE//glpF//puuB//ftnA//mglC//acnA//fucU//xdhC//entH//gspI//rplM//gltW//ynfK//hybD//argH//cstA//gatB//guaA//yfdX//yaeP//agaW//puuB//argC//dsbA//rnlA//rrfF//
CreB-Phosphorylated	ccmA//yciW//cheB//avtA//glnG//gatA//gspO//cadC//chiP//
CueR-Ag	rimM//pstS//fur//hypE//aer//araE//sucC//
CueR-Cu+	aceF//ydbD//miaA//hflX//ssuC//chbC//napH//
CuerR-Au	napH//aspA//araC//glpQ//infC//purL//bacA//
CusR-Pasp	sohB//rutD//guaB//rrfF//alaT//yhhY//napB//tsaE//rrsE//aaeR//argB//cusC//
CynR-Cyanate	acrB//gutQ//tomB//gpsA//
CysB-N-acetyl-L-serine	tktB//grxD//glpQ//ompR//norW//mutL//uxaB//xapA//rbfA//ilvD//hofB//nuoA//dps//glnB//nlpD//purK//nuoH//sdhC//caiT//mdtA//ulaF//garP//ydhW//nanM//tsr//chbC//putP//aceF//slyB//bacA//
CysB-O-acetyl-L-serine	hybE//cyaA//cydA//napH//gutM//cspD//hycC//aidB//napC//mhpR//exbD//glgS//chbR//nuoN//treR//rbsC//malF//pitA//glpG//aceF//rbfA//rcnB//lacA//rnhB//ydeA//glmY//skp//hybE//lsrB//appA//bacA//
DcuR-Phosphorylated	purR//rhaR//narQ//fimE//dcuD//nrfB//gcvT//hypA//rrsH//
DnaA-ATP	phnD//cysH//dps//psiF//cusC//uidC//metN//mdtC//napB//yidQ//leuE//sdhB//
DpiA-Pasp	citX//tam//sucD//trmD//prfA//ydfH//artP//fadE//malK//nikC//cusA//
DsdC-D-serine	livJ//cydC//hyfE//
EvgA-Phosphorylated	rpsI//metK//xseA//narG//fepD//phnN//ldtC//ispE//ccmA//rrfB//hypD//dcuD//yeiB//rutD//feaB//
