#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	acs//mhpF//cynR//malZ//
AlaS-L-alanine	lldP//
AllS-allantoin	ccmB//yaeQ//mdtB//
AraC-L-arabinose	mhpR//ccmE//ydiU//yqjI//ccmF//motB//mscM//yegZ//cspE//metA//rbsB//arfB//aaeX//cspD//
ArcA-Phosphorylated	nanK//hypE//allC//rplP//mscM//ssuB//gspH//ompA//lpxA//moaC//astC//puuR//gyrA//mipA//galK//micF//malK//xylG//galE//yciW//phnG//tsaE//cynT//araD//atoB//hycE//aceB//argR//srlR//moaA//ung//gntP//moeA//torD//mipA//glcC//yiaN//chbC//rrfC//yiaM//rpoS//moaB//glgS//gspO//purH//idnT//acrB//puuC//icd//glpQ//spy//lsrB//nuoE//bacA//artM//napG//glpC//ugpE//ascF//phoB//abgA//fecI//sxy//livK//lldP//ynfH//cysW//phoR//melA//ycdZ//marR//ilvA//manZ//rstB//hofB//bcsC//yegH//lldR//cheY//mgrB//paaG//glgS//gspE//glnD//mdh//yegR//yiaL//lsrF//tauA//zraP//fhuA//prpB//rrlD//fnr//mgtA//aaeR//upp//ilvM//aidB//yeiP//nlpD//tyrP//grxC//yfbR//casE//yqaE//narH//comR//serC//pheT//yggX//fepA//puuE//pgpC//hflK//hemA//gltU//chbR//ssuB//cheR//mipA//nuoB//rhaB//entE//cpdB//phnD//gntK//murQ//tam//ascF//hypF//iscU//csgB//csiD//hybO//glcD//gltD//alaU//bcsC//fdhF//ilvE//rrsC//nanM//ilvM//chbA//trpD//dcuC//ycjF//araJ//idnK//sdhD//nuoM//rprA//agp//frdD//entC//araH//galT//nagE//mhpB//ydhU//fhuA//glpX//codB//pta//aldA//epd//uvrA//tauA//nac//erpA//map//ompT//comR//tehA//ytfE//ivbL//
ArgP-L-arginine	phoE//cusR//iscR//gutM//frdD//gntX//hyfJ//ydeA//argO//uvrA//gltT//yoaG//folE//mhpB//ispE//rbsB//
ArgR-L-arginine	oppB//ycjX//citG//nuoE//fnrS//mhpA//tolC//tsr//paaB//sdhD//abgB//hisP//erpA//oxc//lacI//hypF//metH//actP//rprA//moaC//betT//skp//lacA//pyrC//ompT//ptsH//recF//glpQ//bglG//cpxR//ada//gltT//tehA//phoH//fadI//tehB//ilvM//arfB//gntX//
AtoC-phosphorylated	atoE//edd//paaE//rnhB//
BaeR-Phosphorylated	garK//gnd//ygaC//gspK//yfdX//ygaC//marB//tdcB//
BirA-bio-5'-AMP	ykgM//norR//ilvC//purA//ftnB//
CRP-cAMP	sbmA//phnO//cyaA//phnD//sgbU//deoB//fliA//lpd//proP//mntH//prfA//yiaN//ydhW//mltC//entB//phnJ//ulaB//xseA//srlB//fur//fhuA//argO//artJ//dgcZ//rnlB//argP//fucO//hlyE//yaeP//glgA//hcp//rpsR//tsaE//rrlG//glcC//argB//ytfE//caiB//crr//yrbL//mhpE//glpF//rrlD//ilvY//fimI//envY//abgB//phnE_2//malZ//yeiB//iraD//nrdH//cra//tam//nuoE//narQ//lysO//tyrA//ompW//dsdC//glpF//yfdV//napF//srlR//torC//grcA//glcG//marA//nagB//napB//gntR//ccmA//cas1//murQ//xapB//glnB//folE//dsdA//ygeA//zwf//casE//priB//ilvA//moaE//modA//fadI//nrdG//metA//fixA//yhcH//dcuR//frdA//tap//hyfC//nirC//arfB//tauB//cysK//mpl//phnO//fur//feaB//feoC//araD//lsrA//dcuS//ldtC//ryhB//atoA//sdhC//amtB//exbD//katG//rstB//sucB//rrlB//rseB//tyrB//fimH//hyfJ//hha//argG//fdnI//moaC//ppdD//dcuD//ugpE//casA//phnF//rbsK//nrdD//ilvH//uhpC//nikA//ilvL//fumC//glpR//hha//hyaB//yccA//fepB//soxS//acrE//gspH//mutY//ung//aroH//oppC//cspE//rprA//copA//cydC//prmC//nrdG//rnlB//cadC//yqjH//metK//argF//argG//garL//rybB//ykgR//astB//evgA//lpxB//modA//yfbR//livG//fecB//hofN//mglC//glmY//garL//hofN//alkB//malI//dadA//fucA//rpsQ//treR//hha//astA//purL//dpiA//trg//hdeD//fixC//frc//marA//narQ//mutY//sdhD//entF//serA//rpsO//folE//purK//nlpD//hyfI//alaT//mtr//artQ//purD//entF//aaeA//bcsA//metR//fucO//patZ//hycB//malX//znuC//metY//rrlH//ynfH//srlA//paaA//rplT//glnG//citG//nuoJ//ydbD//dcuC//ugpB//rplT//yccA//ppdD//cytR//purH//cusS//fucR//dnaN//rcnB//tauD//chbA//fucP//nikC//galE//cvpA//hofP//malG//rplM//dmsA//hofN//sgbE//argT//lsrD//nirD//raiA//rnhB//map//rutC//purR//melA//proP//ybdZ//tonB//narX//cpxR//malQ//hycC//csgE//cysN//lamB//cytR//paaG//rstA//yqjH//dmsA//hyfE//alkB//ssb//hyfA//ydhY//nuoN//garP//gatA//pepT//yqjA//hyaE//dppF//zinT//efeU_2//atoD//codB//yhiD//ilvA//caiD//gltW//melA//hcp//ulaB//efeU_2//metB//gspF//marB//rrlC//ybiT//fhlA//ybiT//pitB//qseB//gcvH//aspC//rrsB//cbl//feoC//metK//nikD//cysD//garR//gcvT//speC//mglB//agp//cheB//csgE//napB//aroM//hyaA//livJ//dnaA//frc//ileU//hflX//rpmC//rrsG//yfaE//casC//metF//paaJ//hyaE//ydhT//fucR//fadE//rrfH//nuoB//glnK//uhpT//ybiT//uidA//oppC//sbmA//gatD//glgP//epd//ykgR//entA//tauD//nrfC//pdhR//livH//bamA//ulaE//csgG//dps//garL//sgbH//argF//glcE//ilvG_1//phnE_1//ykgR//fepG//pitB//gspC//ftnA//uxaB//pstS//glgA//araJ//aceK//fepA//bamE//fucR//livK//icd//lolB//pheT//hcr//rpsR//ynfE//dcuS//uhpB//nac//lldD//waaH//ydbD//gspC//metH//ahpC//ryhB//acnA//ilvI//envY//paaA//alaS//prpD//ydbD//cyoC//tdcB//cadA//cspD//fadE//sucD//cheB//ispE//cspE//folE//dppF//gntK//ssuA//mhpC//rrfH//dkgB//mgtL//araG//ivbL//xylB//gnd//fdnG//crp//fis//phnH//entF//actP//gltD//oppB//glpR//hyaE//sxy//caiA//chbR//hisQ//pncB//aaeB//melA//nrfC//lyxK//narQ//gutQ//phnH//cspE//yiaO//phnC//carB//fadA//serA//acrE//tehB//gpmA//rhaB//rrsH//srlE//ubiC//rplM//galT//aroM//srlB//dcuC//araD//acnA//casB//uhpA//rpsS//gntK//nikB//zraS//tdcF//manY//argT//ahpF//gabP//iscS//malK//cydC//iscR//qseB//nohA//codB//fucP//hflK//aaeX//hybF//fepD//chbG//phoA//cydA//hyfG//ybdN//tsr//rplV//phoH//treB//cysC//hisP//oxyR//pgaD//pepT//ugpE//lldD//chbG//xdhB//csgE//nanS//casC//thrS//lsrD//yfdV//hybE//gpmA//abgB//mhpB//casA//ygaC//ilvE//fixC//yaiA//tauA//hypF//ssuB//psiF//hydN//malZ//
