#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	ynfE//ydbD//nuoC//citX//
AlaS-L-alanine	rrlC//
AllS-allantoin	glnA//nupC//ybjG//
AraC-L-arabinose	ompX//rutA//xylF//ilvL//sufS//bioA//amtB//edd//yfiP//fimF//fiu//cysG//rrfG//acnB//
ArcA-Phosphorylated	ugpA//ssb//metC//rrfG//ydhX//soxS//gspE//aroM//gadC//yfiP//ilvI//oppC//malM//stpA//lsrG//csgG//aroF//phoR//iscA//hyfJ//fepD//lysA//hyfB//nadC//livH//gspH//fadH//gatC//marA//grxD//gpmA//cusC//nanM//ilvB//yedX//malM//fhuD//ppdD//phnN//yidQ//tdh//nrfC//phnD//ccmB//grxD//cyoA//garR//gltW//crp//pdeF//erpA//glpG//ccmD//ileT//tnaC//ccmA//fecB//purC//trpR//lhgO//atoA//carB//rrsE//creD//ubiX//ccmG//uhpA//abgA//metF//ompT//dppC//ryhB//pstS//thrV//ubiX//cysB//ygeA//purK//ydhV//trg//lacI//flhD//dppD//bamA//malQ//metF//purH//zwf//torD//malS//aceE//hybA//glcC//ompA//yoaG//ccmG//glpE//acrF//tonB//bioC//yfiP//hypF//ulaB//nikB//manX//lpxD//nikE//glcB//ybfN//lpxA//efeU_1//actP//pheT//dcuR//tdcF//lacA//rrfG//atoD//pta//ycjX//abgA//chbR//spf//nrfD//glgS//phoR//ydeJ//pheT//fepE//uxaB//flhC//treR//tyrP//glcB//guaA//abgB//cyoA//erpA//rplC//nagE//bacA//yjiY//lacI//ldtB//melR//frdB//fepA//talA//aceB//yjeF//hydN//ccmF//rpsO//mglA//mgtL//sxy//yfdE//nrfE//ykgO//fepE//hyaA//tsx//fnr//nirD//mzrA//nrfD//fadB//marA//rbsB//manZ//gatD//gntP//rnlA//hupB//allD//lpxD//pflB//
ArgP-L-arginine	rutA//prs//ilvY//hybA//hisJ//amtB//abgB//rhaT//sdaA//ileT//acnB//hisP//fbaA//psiF//fliZ//deoD//
ArgR-L-arginine	aaeB//baeR//hycH//cirA//ompA//nanE//csgB//yfiP//yaiW//ssb//araG//hybO//trpD//hycI//nrdG//degP//purF//nirC//treB//upp//murQ//ygbA//gltF//nikC//gabT//hycB//cysC//fhuB//gspL//cysB//alkA//prfA//livM//znuA//glcG//mipA//ftnA//metC//cysU//
AtoC-phosphorylated	cyoB//napG//ycjX//puuB//
BaeR-Phosphorylated	pck//csiE//hycC//fhlA//nrdG//malG//garR//ysgA//
BirA-bio-5'-AMP	rprA//rpoH//csiD//feaB//ryhB//
CRP-cAMP	ptsH//ilvA//trpB//cysG//gadB//caiC//secB//aceB//yaiW//cheZ//yaiW//phnL//ybiT//fixB//nhaR//chbA//rnhB//ilvN//dsdC//glcC//ogt//fecA//purA//hybB//fecB//galE//metY//hypB//hycA//cysD//nikC//aceA//rhaR//yfaE//sodA//zinT//aroG//fiu//aceF//ompX//cheW//ileV//nrfF//lacI//rplM//fixA//oxc//chbF//cydC//hypC//prpD//yhcH//yegR//glcF//argC//fdhF//entF//araJ//hybG//efeU_2//lsrB//hofB//paaJ//astE//crr//artM//entH//nanE//frdC//metB//napF//upp//amiB//abgB//yidQ//purD//yfeW//nuoK//acs//amtB//ssuC//sgbU//gntR//bcsC//nirD//mgtL//melR//ydhY//melB//fucA//rrfC//mgrR//nhaA//ldtB//envY//hybO//ilvG_2//iraD//chbA//agaW//glpG//livG//uvrA//glgB//hypD//mzrA//fimH//rutB//fepD//ccmA//hybO//rrfE//ynfH//dcuA//ynfH//nanA//yiaO//paaG//fucI//ileU//udp//rrsG//yqjA//gatD//fdhF//nlpD//uidA//oppD//bglF//fabZ//yfbR//uidC//purC//evgA//cvpA//sucA//truB//moaD//ulaF//cas1//ileT//fumB//aaeA//hupA//pck//xseA//ynfF//trpL//caiC//hybA//xapA//trpC//ccmG//bacA//pgaB//phnE_1//yeiP//nikC//nikE//osmY//xylA//yegH//yiaO//mlc//modC//melA//yfeW//rpoH//malG//hypD//cra//slt//rrfH//hisP//treB//uidA//purE//tsx//rplD//metN//idnO//pgaD//serC//cyoB//aldA//fimD//fdnH//nrfE//mntS//gspC//lacA//hyfH//xylR//gspL//glpD//ahpC//csiD//bcsA//metC//cyoA//abgA//fepE//dmsD//hemA//moeA//gspD//fucR//csgB//yrbL//sbcC//ssuD//rrfB//rnlB//cyoE//entF//infB//moeB//ssrS//gspD//fimD//nrdE//prmC//ssrS//nupG//ydhW//upp//gspC//aspC//moaE//paaB//garR//livH//csiE//purF//atoD//moeB//rpsC//eda//uhpT//aidB//phnE_2//gapA//dmsD//ahpF//yfbR//astB//frdC//betA//fldA//deoD//araH//lldP//entA//cpxA//ssuE//paaB//xapA//sodA//pstS//rpsF//aaeA//osmY//iraM//yeaE//hypE//yqjI//srlB//bamA//dppB//yjeF//hofB//rcnA//uidA//tyrB//pitA//ilvG_1//trpL//cas2//uhpA//ascB//marR//hyfF//narX//argO//mcaS//cusF//abgA//gspL//sdhD//phnD//xylG//yiaL//marA//aceK//tehB//bglB//cheY//ygiA//csgA//hisP//galE//pstB//galM//fiu//gutQ//hybG//sufA//phnK//torC//pstC//agaW//ssrS//acnB//garR//cynS//purK//dppF//creA//ydhW//fabZ//amiB//gnd//betI//argD//sufA//phnD//gcvH//hybE//rrlG//fur//yiaM//rbsC//rpsI//malT//avtA//nanA//entF//moaA//ryhB//znuB//nirD//ptsI//prs//ung//baeS//mtr//hisM//paaE//creC//moaA//tdcB//glpK//dsdA//ulaA//uraA//gadC//hypD//alaU//dsbA//ydeM//gadC//hisJ//fnrS//treR//ydeM//osmC//cysI//cyaR//aidB//gatC//ytfE//marR//abgT//udp//tap//livJ//lsrA//fhuB//sgbH//casD//dapD//phnM//rpsR//fdnI//pstA//glpX//grcA//ilvX//araC//rrlG//modC//rhaD//ytfE//patZ//cysU//tadA//cysN//emrY//polA//paaG//cytR//norR//ssuA//zinT//cyoA//hcp//miaA//allC//yegH//hyfH//hyfR//gabP//rnlA//phnJ//napB//aceB//ftnA//modB//oppA//ydeP//dppB//lysP//trpA//argC//hyfI//fecI//fldA//aceA//lsrA//citE//pgaB//ccmH//lysC//rbsA//tam//epd//tdcF//dsdA//chbA//ilvI//frc//yeiP//atoB//tyrB//rpoH//osmY//lsrF//dnaN//ahpC//rseA//grcA//aaeR//ccmB//cra//hycB//livF//ygbA//hycH//fadB//glnB//spy//gntT//pgk//avtA//oxc//lysC//miaA//dppC//caiA//frdA//ydhW//hflX//trpL//astE//rpsQ//rrlA//pdeF//argE//rplV//galM//hfq//garK//rpoE//slyB//sxy//dcuS//csiD//yjeF//hupA//garK//efeU_1//fucI//glpQ//degP//micF//nhaR//purK//mlc//iscR//yciW//pheS//ybfN//frc//modB//glcA//rbsC//nrdB//ung//trxA//paaG//gltV//pgaB//tnaC//dcuR//sucC//iscR//rhaT//dpiB//yiaM//bcsA//tsaE//baeR//serC//garP//nikC//
