#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	nanS//lolB//argT//ndh//
AlaS-L-alanine	ygiB//
AllS-allantoin	pagP//astE//yeaD//
AraC-L-arabinose	yedX//mtlD//ebgC//melR//hypD//cyoB//dcuD//nanE//cheW//cyoD//xylG//pgpC//patZ//nikB//
ArcA-Phosphorylated	hyfF//nupC//mdtC//rimP//ynfF//degP//hyaD//lpxD//gntT//tdh//gspH//bioA//ileU//ssb//ackA//ilvB//mltC//lpxA//dppD//cysP//fur//nfuA//qseB//dppF//ybdN//ydeN//sodA//dpiA//astA//sbmC//gntK//ydhT//rrlH//metY//glpF//nuoJ//glgS//sucA//feoC//melA//sbcC//purN//lsrC//nanT//moaB//caiB//cpxR//ascB//hyaA//tdcA//glgA//dcuR//nagA//nhaR//purM//pstB//prpB//cysD//cheB//caiF//rpsS//araA//bglF//astC//gltU//ydfH//mntP//gapA//fhuF//yaeP//avtA//glpX//fhuC//malF//tcyJ//sucD//ascB//rdoA//ssuB//nuoM//frdD//nfuA//fucP//torA//rybA//alkA//nfuA//puuD//focA//argD//yaiW//bglG//phnG//dcuC//patZ//preT//allD//pheS//rrfA//metL//argR//fucK//rpmI//ssb//mgrB//hisQ//rplT//dnaA//lsrF//sodA//prpD//hupB//yegZ//uidC//serC//glcD//folA//fadD//tauA//nrdA//acnA//lpd//guaB//acs//marA//fliA//creB//ynfF//fepE//dcuS//ompF//fadL//dapB//atoE//chbR//pagP//lysO//truB//yegR//csgA//ccmD//ampE//tauA//pgk//hemL//rhaT//ilvI//stpA//edd//dapB//bamE//chbG//gntT//pitA//ileV//codA//oxyR//yfdX//hycA//citD//dcuD//arcA//ssuE//argE//fucI//fucA//grxD//rutE//prmC//rpoE//guaA//dapD//rplS//hupB//mgtA//gcd//pgaA//
ArgP-L-arginine	hyaB//fecE//astD//pyrC//casD//nirB//puuP//ccmF//purC//mdtD//chbG//srlA//rstA//csgF//glpK//mutL//
ArgR-L-arginine	chiP//phnE_2//rutE//thrV//csgC//appY//tdcE//fumC//gcvP//rhaS//rplC//pstC//caiE//folE//phnN//serC//fucA//norW//codB//ykgO//dkgB//hybA//znuA//lsrD//rrfG//argE//xdhA//fau//nanM//livJ//tsgA//ykgO//nuoL//ispE//fepC//araG//astB//ftnB//rrfH//
AtoC-phosphorylated	aroF//hdeB//yfdV//mcaS//
BaeR-Phosphorylated	yaeP//flhD//fadB//hypF//flhD//cpxR//xdhC//mtlR//
BirA-bio-5'-AMP	yegH//cas1//rpsJ//trpD//nanS//
CRP-cAMP	argI//uhpB//ubiC//ulaE//gltV//gyrA//ugpA//lolB//efeU_1//ndh//feoB//yccA//rhaD//yeaE//nrdA//sdhB//aaeB//tomB//mntH//entC//sgbE//cysG//sgbH//nuoE//aaeA//tolC//epd//hybD//aceA//rimM//yggX//fepG//dcuA//gspJ//phnE_2//hemA//yjeF//csgD//acrF//entH//hybC//malM//pstS//soxR//ldtC//rstB//nhaA//ssrS//ompX//pstC//ydeJ//xylR//yegH//hupB//allE//atoB//cheR//pgaB//yhjC//yqjI//purA//srlA//tauA//fimE//lacI//artP//phoQ//rutF//citD//rbfA//feoA//fliA//narL//mglA//nusA//malP//paaI//uxaB//mcaS//gspG//lpd//cynR//trpC//yqjH//sufC//ansB//feoB//creD//ebgC//ilvL//narQ//yneM//cysG//garP//yjjZ//rcnA//nikE//glcA//yfeW//rrsA//pyrD//hyfA//yhcH//ccmG//ssuB//ompA//creA//nrdF//sucD//fur//yeaR//yfbR//deoC//rplW//rpsR//aroH//araG//glpD//purE//chbA//trpB//creA//oppA//crl//astE//dpiA//fadD//casE//lysU//iclR//tdcF//emrY//mdtB//rbsD//lsrR//thrV//entA//dkgB//glcD//gltW//deoD//glcA//gcvP//proP//tehA//aroH//mdtA//gabT//lsrK//cheA//prs//ysgA//sbcD//znuB//crl//yojI//aceE//narH//crl//crp//bglB//fhuF//phnH//lpxB//fucA//gltA//pstA//gspJ//cysJ//rrsD//xylB//acnA//fadA//grxC//cpdB//trxA//metB//glcB//yjjZ//trxA//folE//aceK//polA//ompT//dcuD//napH//pstC//ychO//napF//rpmI//paaA//ygeA//paaH//narI//pgpC//trpC//aaeR//cysM//qseB//nirC//marA//ygiC//yeiB//fadI//cynS//hybE//agaA//gabT//deoB//fecB//csgD//atoE//treR//ampD//fadD//tdcG//gspL//hisP//rnlA//rrlG//csgG//gabP//ynfF//gyrA//ptsH//dapB//talA//mtr//ulaE//gatC//trpL//fdnG//umpH//sdhC//ccmB//frdD//ccmA//folA//argR//dcuB//sucC//fepG//lysC//trpB//glcA//ppiD//yeiP//nuoL//lsrR//bacA//rpsS//araC//dppB//aspC//prfA//tnaC//nohA//hycG//phoE//casA//rplB//rimP//ybiT//galT//cusF//rrsE//glcB//napA//fau//hflC//torR//yciW//fimC//fadA//fixB//sufA//hyfA//tauA//rhaB//deoA//rrsH//araD//nac//ugpE//cheA//chbB//nanC//puuE//cvpA//cyaA//narQ//nanE//hfq//ulaF//sufA//lsrA//yqjA//fdnG//rplI//sufC//glcG//preT//crl//hycH//gltV//lamB//sgbU//aaeA//cysG//rnlB//soxR//nikD//glrR//gspC//zinT//ebgA//ascF//ydhW//gspC//pnp//ybdZ//paaZ//metF//folE//dcuR//idnO//yqjH//hybA//dsdC//ulaD//nrfA//fiu//qseC//paaZ//melR//metC//casE//astC//narX//hycB//nupG//hyfD//dmsD//rprA//araH//ompF//pepT//dps//cysH//ilvX//fimI//glgC//araC//ada//nikR//cynT//ubiC//garK//edd//dppA//dapD//fixX//dkgB//purF//rhaA//metF//phnO//mcaS//araE//cysW//rbsC//ydbD//fhuC//purB//rplP//frc//feaB//glcB//mhpB//recF//astC//prmC//aceB//hyaD//dnaE//yhjA//gspI//uxaB//guaA//zraR//glnB//hcr//thrS//rhaD//uraA//carA//znuB//yoaC//nhaA//yiaJ//mglB//hycF//hybC//hycB//rutE//aaeB//cyoD//pstA//fadE//mntP//aroM//pnp//caiB//cdd//ccmB//fau//idnO//ygbA//hycD//rnpB//ccmG//fldA//gnd//phoQ//mglC//fumA//gltB//glgB//paaE//malI//phnN//rpsI//idnO//crp//caiE//ybfN//ydfN//glpA//aroM//yjiY//ydeP//yeaD//nuoH//tehB//ilvL//ykgM//argR//argI//rbsB//cheY//efeU_2//zraS//evgS//sdhB//hdeA//infB//cysJ//rutE//phnC//tdcC//rrfH//gntP//hybF//tadA//chbB//ynfF//entH//cysI//purL//tsr//lpd//fumC//lacY//ahpC//amiB//ssuC//trpR//cheA//bcsB//yjcH//ydeJ//sucC//argF//astC//sdhB//fimI//rstA//rpmC//mutL//phnF//bdcA//skp//ulaD//tdcA//glnG//hyfA//abgA//pstA//hyfA//napG//gadC//ydeO//torD//gspL//citC//pncB//ccmE//gadC//rpsP//srlR//dcuB//cadB//rhaS//tsaE//flhC//mglC//xapB//lacY//fepE//uxaA//rprA//bdcA//znuA//fimH//iscR//
