#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	soxR//acrF//hycA//glcE//
AlaS-L-alanine	yhfA//
AllS-allantoin	mglB//argR//tnaC//
AraC-L-arabinose	hisQ//yeaE//ftnB//purL//glnG//chbR//gdhA//fepG//lpxA//oppF//gltV//idnD//pgk//fepG//
ArcA-Phosphorylated	rplV//modB//ssuC//citF//pck//citC//lpxD//nrdA//ilvE//gpmA//lrp//bacA//yaiW//cpdB//ptsH//ilvN//bglB//pck//ccmB//nac//phnI//frdC//trpD//ilvI//glpT//nrfG//murP//yeaD//cysP//srlD//hypD//xdhC//araD//ubiX//purE//csgA//rplD//rpoH//ftnB//narJ//hyaC//ascB//rcnA//tyrA//xdhA//ryhB//bcsC//bioA//cas2//purB//pgaB//metK//phnL//prpR//erpA//uxaB//aroG//ynfE//moaC//livJ//sbmC//oxyR//aldA//treC//mgtL//aroP//tsr//edd//ybfN//dkgB//xdhB//oxc//treB//yiaM//melR//hypB//rpoE//tdcD//casD//hypE//rplS//cirA//nrdA//hypD//argP//ydeM//tdcF//ahpF//gpsA//focB//fixB//hofO//fldA//nanS//hyaA//murP//ilvA//metF//artI//hybB//casC//ycdZ//cynT//ydeA//rplS//comR//mutL//yeiW//fhuA//gntX//srlB//melA//pflB//ychO//infB//ccmA//rof//thrV//gltB//ansB//artJ//erpA//lysC//glpD//moeA//nrfG//uidA//efeU_2//yjeV//appB//ulaB//csgF//moaE//rhaT//yjjZ//fdhF//ynfH//fepG//rbsK//rrsC//nanA//nuoC//tadA//ilvN//tauD//cadA//fhuA//oppB//prmC//rpsF//mcaS//argT//gltW//ugpB//glpF//nanM//lpd//araA//cheY//gltD//fadD//gatC//ykgM//pstC//uidA//leuE//rmf//rbsR//ycjX//prpE//rhaA//rbsR//recF//manX//ybdN//nrdA//rrfG//
ArgP-L-arginine	glyA//gspD//ompW//rrfA//soxR//frdD//trxA//melR//hyaE//agaW//rnlB//prpE//ileU//qseC//fimE//gntP//
ArgR-L-arginine	dadA//malG//casB//hdeB//alaS//hypB//atoA//ptsI//sucD//dapB//cyoE//sbmA//metJ//arfB//cstA//ysgA//bcsC//phoH//carB//alaS//fhlA//nrfG//rrfB//raiA//ileU//uxaC//tomB//nuoH//glpB//sbcD//agaV//moaB//borD//yqjH//frdB//ydhV//rseA//yeiB//acnB//
AtoC-phosphorylated	glnD//nuoC//tdcA//ilvG_1//
BaeR-Phosphorylated	yedX//lysO//speB//gltA//narI//hyfJ//mipA//glrR//
BirA-bio-5'-AMP	agaA//skp//argE//cyoE//nrdG//
CRP-cAMP	ygeH//lysA//paaJ//metH//yqjI//cysW//ilvI//dppB//pflB//fecE//metF//alkA//eda//nanS//phnE_1//phoH//rnpB//cpxA//nuoA//xylH//rhaR//aaeA//nirB//ilvX//trpR//ychO//idnD//polA//arcA//osmY//fadA//artM//zntA//cysN//dpiB//napA//entF//marR//thrV//grcA//dctA//fhuF//gatZ//efeU_1//tar//asr//csgE//ulaF//amn//argD//atoA//ynfK//glpE//araE//citD//csgG//ssuE//trpE//yciW//rrfF//nrfB//fau//ccmH//dcuB//gltA//nuoG//bioB//bamE//hofB//pstC//rnhB//hycG//nrfA//gcvP//cheZ//atoA//dsdA//ydhW//gcvP//appC//fliA//yqjA//sbcD//fepG//chbF//livK//hyaB//hisP//preT//rpoS//gspH//hycA//rrsA//yqaE//cysK//ychH//ompR//yhjA//ssuC//feoB//atoD//rplI//hyfE//mcaS//rrsB//gntT//entC//ung//lsrB//hycB//motA//nikA//abgA//cadA//sgbE//ulaF//tcyJ//hlyE//oppD//xdhB//cynX//phoH//pgaC//nupG//ompC//hyaA//narG//hyfE//alaS//malT//rpoS//ileT//galP//casB//ssuE//fucI//narL//rrfG//rpoH//glcD//ssb//entS//carA//aceE//exuT//nlpE//dppA//sbcD//yneM//gltV//fhuE//rhaA//yecR//norR//glcA//cysK//treB//rrfE//talA//yoaG//hyfB//cusR//tdcC//mntH//atoA//ysgA//fucK//hypD//modC//dgcZ//cheZ//pgaC//citG//gcd//bglG//narX//map//caiD//uvrA//pdeF//yiaL//rplI//feoC//nrfC//pagP//ydhU//yiaL//yqjI//borD//ykgR//appY//hyaE//garR//glgP//asr//cysH//yecR//uxuA//fadH//glnG//acrA//codA//uxaC//gdhA//ygiB//citG//hyfJ//ileU//kbl//acnB//aldA//glnA//nuoM//ftnA//cysM//rstA//dnaE//gspE//fnrS//gspG//deoD//phoP//tsaE//aroP//mgrB//qseC//cdd//mdtD//tauA//purK//lsrR//mtlD//yegH//cyaA//infB//nupG//caiT//dapD//dpiA//gutQ//nadC//gntX//entC//cas2//uxuA//guaA//gspM//xylG//ydhY//hyaC//xylG//dpiA//rutE//dcuR//aaeA//sucC//uraA//nanM//bcsC//phnL//idnR//tyrR//cysN//ccmA//creD//chbG//hisP//gadB//moaA//glcE//aroA//caiF//rplP//nuoF//tnaC//lysA//ahpC//pnp//grpE//xdhB//hycA//cpxR//rimM//fucI//upp//motA//alkA//bamE//rrlC//glpQ//phnJ//argE//dkgB//modB//thrS//rhaR//rpsJ//moeA//manX//sucC//ccmC//cysP//bhsA//ahpC//aceF//fur//araG//fucR//uhpC//glpD//dsbA//carA//allD//gltV//creC//atoE//glpR//sgbU//fepB//safA//artQ//hofP//lacI//kbl//yibN//puuA//hyfR//nuoN//tar//bcsC//mtr//malZ//hycH//pgaC//hycG//lacI//upp//mgtL//araG//nrdH//uidC//trpD//atoB//arcZ//leuE//ilvX//tyrB//prpE//pyrD//cspD//alaA//ivbL//rrlE//manA//purD//acnB//fdnG//cheA//mtlD//mdh//allC//aceE//dppC//nirC//galP//ytfE//mltC//modA//hybA//alaV//napD//mtlA//gutQ//gspL//tehB//acrF//rrlB//narQ//exbD//tdcG//murQ//phnI//fldA//purN//ilvI//casD//sbcD//uxuB//lyxK//avtA//hyaC//map//nikE//sbcC//aroA//rimM//rplD//aaeB//rprA//hlyE//mgrB//ydbD//cdd//arcA//glcA//tauD//rpoS//citG//crl//malX//bcsB//narX//narH//miaA//emrY//paaZ//gadC//sodB//fecB//yjiY//norV//cdd//rhaB//dapD//galT//lldD//micF//feoB//talA//ampD//ndh//paaE//entD//ompW//hybG//dkgB//mhpT//fimC//hyaF//fecA//borD//betB//argH//dapD//hycD//yiaK//guaB//bglG//oxc//livM//ubiA//ilvN//yneM//galP//pflB//purH//cyoA//argB//zinT//ilvN//yfiP//gspH//bamA//cusC//psd//mpl//rbsK//rrsA//napB//rbsR//hflK//mepH//tsgA//ygiA//nagA//speC//gadC//yfiP//moaE//argD//nohA//xylR//atoD//nagB//lpxA//rhaR//cspE//ada//paaF//yiaK//nuoJ//gatZ//exuT//fadE//lyxK//rrfC//uxuR//livH//uidC//miaA//thrS//hemL//hisQ//entC//atoD//fucO//ytfE//cydB//folA//hdeB//puuC//yjjZ//fucR//iscA//dmsD//yoaG//ugpB//metC//nrfC//rrsH//ilvY//narJ//gadB//betI//ycdZ//
