#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	mdtD//galP//alaS//ilvY//
AlaS-L-alanine	sucB//
AllS-allantoin	dsdC//livJ//ilvA//
AraC-L-arabinose	srlD//yiaL//ebgA//norR//puuE//nuoE//hyfR//hybA//hycI//ilvY//chbR//mdtD//raiA//ompF//
ArcA-Phosphorylated	ydhU//purB//murP//mhpD//rrfA//hflC//bglB//alaA//yegR//lacZ//caiF//pyrD//sucB//dkgB//cpxA//yhfA//sgbU//mglB//glpQ//nagB//flhD//ycjX//tdh//dctA//nagA//crl//entH//malF//argA//torD//creB//lpd//fucR//iscR//acnB//yfbR//mhpA//ynfK//gltA//marB//hlyE//fucA//micF//gspM//marB//comR//cysM//hyfC//allC//glpK//ilvG_2//puuD//nrdB//gntX//cadC//ygaC//glcD//purD//ulaA//yiaM//sdaA//nagE//fumA//xdhA//ygeA//phoA//ndh//flhC//pagP//mpl//galP//uxaA//rbsC//hycE//fhuB//caiF//glgB//bcsA//glnB//phoB//acrD//dnaA//glpD//chbC//treB//lsrF//agaV//nuoF//pgaA//phnN//phnI//treB//glgS//ynfH//puuA//hyfJ//dsdX//ilvL//nikC//sbcD//rrfF//rrfC//lyxK//gyrA//gabP//alkB//nupG//metH//fliA//serA//fecE//csgD//polA//ybdN//psiE//ugpA//cusR//ilvH//creB//gntK//bdcA//citG//gpmA//mscM//gltB//hyfH//rutG//mdtB//cyoC//map//ssrS//ebgC//ugpE//rimP//cvpA//gcd//trpD//ydhW//gltD//mglC//rybA//caiA//lacZ//ydhW//fadJ//caiA//glnA//yqjH//ydhT//fepC//lsrR//cynT//rplI//ptsH//cadC//hflC//lsrF//gspK//priB//rmf//caiE//mhpE//rutC//pstA//uvrA//rbfA//ycdZ//moeA//appX//cpxR//rbsR//pnp//glpT//baeS//ebgC//gadC//hybB//
ArgP-L-arginine	pncB//nlpD//rseA//ychO//creB//dcuC//cspE//znuB//chbB//hypF//glcF//cusR//rimP//glnG//melR//nikE//
ArgR-L-arginine	glyA//hybE//rbsK//lacZ//tdh//torD//ybjG//garK//fau//ilvG_2//yqjI//ascF//cspE//gatZ//nrdA//grpE//argF//puuC//tsgA//tehA//pheS//hslJ//aer//pagP//glgX//nrdI//tauD//rplC//ygiA//ydiU//hdeA//glcF//yjjZ//glnA//lsrF//hyaA//ydhW//mltC//agaA//
AtoC-phosphorylated	gspF//gspK//phnJ//iraM//
BaeR-Phosphorylated	mipA//mtr//fimF//hyfE//rplW//ugpB//appX//ilvG_1//
BirA-bio-5'-AMP	feoC//nanT//hyfC//rbsD//metC//
CRP-cAMP	rcnB//rcnB//rrsA//chbG//ydeA//tar//hcp//dctA//phnK//melR//rprA//sbcC//ilvB//hmp//ubiA//ccmH//ydfN//cysN//tar//trpB//rbsC//chbB//dmsB//sufA//dsdC//fnr//csgC//fucA//hdeD//borD//puuR//lsrD//mtlR//glnB//gpsA//fecB//codA//lacY//dps//thrV//hyfD//fliA//ydeP//fumB//nagE//fecC//yiaK//rpsI//cysC//cra//moaE//allE//ubiG//serC//trmD//trpE//phoE//nikA//udp//creA//allC//nuoM//glcF//gltU//ilvY//aroH//nrdH//creA//ulaB//creD//moeB//gspJ//pgpC//ampD//malI//fadJ//ssb//ydeM//zntA//psiF//bioB//mscM//frdA//eda//metF//hyaC//nrdB//waaH//narG//betB//yeaR//frdB//ccmC//rpoH//malK//narI//purE//bglF//feoA//icd//lacI//garL//ybdN//acrF//napC//ybjG//rrsH//nrdB//alaU//argC//lysO//abgB//hha//gntX//psd//livJ//edd//cpxA//rplD//phoE//narJ//qseC//fur//artI//livM//glnA//fadD//tauA//napG//ilvL//napC//dppA//hofM//melR//ampD//ilvI//adiC//osmY//nanS//nirD//prpR//argB//paaA//mepH//uvrA//ydeM//phoU//phnH//hfq//purR//grxD//uhpB//malG//phnF//truB//bioB//pepT//amiB//trpC//paaF//uvrA//eda//fimI//uraA//galP//ldtB//bglB//cysC//xylG//gapA//envZ//gcvT//feaR//paaH//trmD//grpE//cyaA//sucC//metJ//abgB//ftnA//caiF//nupC//bglG//gabD//hyaA//artQ//ydhV//ptsH//ileU//ampD//csgD//rplD//galM//mgtA//hycH//hyaA//csgD//melR//metR//hypA//csgG//livK//rrsD//sdhD//mgrR//hypF//hofC//nanA//emrY//mcaS//ydeN//mscM//tsaE//yhhY//gspG//yqaE//ompW//rrsE//nuoI//ydeN//narG//nanA//spf//ssuC//nanA//pyrC//yeaD//betT//flhC//norV//cynX//sgbE//caiD//ccmA//pdhR//gspJ//oppB//rplC//mdtD//csgG//ompW//fimC//csiD//argC//tsr//aroH//cysJ//pstA//cspE//hha//ulaF//fis//kbl//glnL//glcA//nuoC//rpmI//cusR//tdh//narJ//fumA//pck//speA//yeaE//infC//chbB//hmp//hydN//garL//ydeP//bcsB//gdhA//hyfD//rpsO//sroD//sohB//rplB//erpA//stpA//psiF//murQ//slyB//hyfJ//glcG//araA//ydhV//tnaB//ppiA//feoA//aaeA//citD//rpsR//sdhA//aroG//hflC//zntA//fecR//purN//yhjA//csgA//puuC//hyfJ//nuoI//gcvP//paaC//yhiD//lpxA//glnG//frdA//hofM//skp//ssrS//rrfB//fucU//aceB//uvrA//zraP//bioD//carA//betB//rpoS//yaeQ//dapB//rutC//fimG//phnC//hycF//fecC//aroP//hcr//malT//yhjA//baeR//rrlD//livG//astE//araC//nuoL//dmsD//guaA//nirB//argH//osmC//nagA//asr//eda//bhsA//paaZ//casD//feoC//hyaF//puuR//cysB//bglG//nupC//qseC//oppD//ydhW//rutC//cyoB//rrfA//purM//motA//nanS//bcsC//gltF//aroP//hisJ//soxR//malP//sdhA//allE//iscR//cas2//fadH//amn//mtlA//tonB//exbD//rpsI//ygiB//yrbL//srlD//purB//yfbR//aroL//ykgM//artJ//glpD//mntP//tktB//gatB//fadH//torC//cysN//rpoH//tnaA//nuoF//glpC//chbA//cyaR//citD//uidA//yjiY//mtlR//malM//katE//torD//dsbA//trpA//rhaS//marA//cspE//lacA//acnB//rcnB//glnD//phoA//hofM//raiA//puuR//gatC//nagE//xdhC//ydfN//evgS//trpL//cvpA//nuoK//glcF//hemL//nfuA//nikC//pgpC//argP//mdtB//pyrD//caiD//sdhD//nadC//nhaR//hisP//ptsG//avtA//bdcA//alaU//nuoH//tap//tadA//rutB//talA//fdnI//nanM//purA//galS//rrfC//lysP//nikC//manY//rpoE//gadC//ydhV//garK//ybjG//ssuC//pyrD//adiC//rrsC//rplI//ahpC//rstA//cusS//rbfA//atoA//yfbR//fumB//casB//glpA//gntP//aroM//tauB//ompW//alkB//ygiB//purB//pheM//cbl//hydN//nuoK//mzrA//glgB//yjeV//trg//cydA//ascF//dkgB//rpoH//glcB//pagP//yiaK//yfbR//gatC//sbcC//ydhX//rplS//uhpT//purK//hyaF//fadL//leuE//chiP//moaD//glpX//tsx//artJ//ynfK//ygeA//lsrF//cysW//idnO//gntT//gadC//pstB//gspD//
ChbR-Monoacetylchitobiose-6P	yaeP//lysO//artQ//qseC//galP//glpE//
CpxR-Phosphorylated	ygeA//tcyJ//torC//ompT//yfdV//atoB//fepG//iraD//gspC//sdhD//grxD//cas2//dpiA//azuC//aroF//entE//nupG//cbl//malI//argR//glcB//flhC//yedX//ydhY//fecA//mdh//carB//hybE//nuoI//umpH//lldP//rplT//mhpC//ugpE//nikR//nrdE//murQ//nikD//yjeV//uhpB//serC//lldP//cas1//paaB//purL//ebgC//caiT//metN//ykgM//hycF//yecR//lsrF//astC//metB//ygeA//nrfF//gyrA//dcuD//hisJ//rpmI//hlyE//phoU//tauC//preT//napD//hydN//yccA//sucB//purD//
CreB-Phosphorylated	glgB//aroL//aldA//cspE//fhuB//rpsQ//napD//hofB//pdeF//
CueR-Ag	araB//pyrD//trpA//moeB//idnR//cysI//creB//
CueR-Cu+	fepD//iscA//frdA//rpsS//manA//hypD//mltC//
CuerR-Au	cysN//ompX//hycC//agaV//mglC//ccmA//rrlA//
CusR-Pasp	cysJ//ygiC//lldD//nfuA//glpA//gapA//yegH//ilvM//garL//yeiB//fimI//yaeQ//
CynR-Cyanate	epd//narQ//ccmA//fimG//
CysB-N-acetyl-L-serine	ychH//phnE_2//hha//dadX//gatA//rpoH//torR//rplI//fixB//gntK//yfiP//gltU//uhpT//tnaB//hypE//ydfH//cysW//xylA//metK//astE//infB//infB//gatC//abgT//pagP//puuE//xylG//csgG//fucK//caiB//
CysB-O-acetyl-L-serine	betI//ulaD//casC//puuB//hybE//ydeO//glpG//lysO//glpB//uvrA//fixX//rof//flhC//fucO//cyoA//xapB//iscA//rbsB//ygbA//edd//rbsK//uhpC//tpx//purA//uraA//ygeA//ynfK//acs//citC//yqjA//cynR//
DcuR-Phosphorylated	rhaT//yfdX//frdC//uidC//napF//hycH//dkgB//mepH//trpC//
DnaA-ATP	pgaC//paaF//gltB//grxD//argP//cirA//sucB//ygiB//purN//oxyR//carB//aspA//
DpiA-Pasp	cynX//hha//paaB//araB//psd//gspI//mutL//ygbA//ilvY//pitA//glpQ//
DsdC-D-serine	nikB//ompT//sdhB//
EvgA-Phosphorylated	fadD//paaG//thrV//allE//flhC//ptsG//mltC//fis//ilvH//rplT//ubiC//glpF//ulaA//fimC//tdcD//
