# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	caiD//edd//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	entA//mazG//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	fumC//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	nrfA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	araA//glcE//
AdiY_H-NS_IHF	rutB//
AgaR_CRP	uxaA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	rbsK//torC//
AraC_CRP	acs//gadA//codA//fadD//katG//
AraC_CRP_XylR	gatY//rhaB//
AraC_NagC	
ArcA_BetI_Cra	mnmG//mraY//napH//
ArcA_CRP_CaiF_FNR_H-NS	pdeR//paaB//dgcZ//moaA//mhpC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	sodA//fucU//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	rhaA//frdB//gltD//lacA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	fadH//
ArcA_CRP_Cra_FNR_NsrR_PdhR	pflB//malS//uxaA//
ArcA_CRP_Cra_Fis	ahpF//
ArcA_CRP_Cra_IHF_IclR	xylB//sdhC//tdcG//
ArcA_CRP_DcuR	hmp//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	lysA//
ArcA_CRP_DnaA_FNR	frdD//
ArcA_CRP_DpiA_FNR_NarL	gcvH//udp//rhaB//
ArcA_CRP_DpiA_FlhDC	accC//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	fabA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	aroL//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	fadD//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	uxuB//fadA//prpE//treC//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	aceB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	purM//
ArcA_CRP_FNR_IHF_NarL	fucA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	ldtB//
ArcA_CRP_FadR_HipB	glcE//
ArcA_CRP_FadR_OmpR_PhoP	hcp//
ArcA_CRP_Fis_Mlc_SoxS	glcD//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	puuE//rutC//narI//
ArcA_CRP_GlpR	chbF//
