# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	galK//prpE//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	purH//fau//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	glcB//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	metH//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	gabT//chbG//
AdiY_H-NS_IHF	feaB//
AgaR_CRP	ssuE//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	ilvG_1//sdhA//
AraC_CRP	citC//idnO//entD//mazG//adiA//
AraC_CRP_XylR	guaA//uxaA//
AraC_NagC	
ArcA_BetI_Cra	chbG//garR//gapA//
ArcA_CRP_CaiF_FNR_H-NS	idnO//waaY//nagB//ilvG_1//glpC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	pnp//gutQ//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	hycC//rsmH//codA//sdhC//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	fadE//
ArcA_CRP_Cra_FNR_NsrR_PdhR	astD//citE//rnpB//
ArcA_CRP_Cra_Fis	glgP//
ArcA_CRP_Cra_IHF_IclR	uxuB//fucU//cysI//
ArcA_CRP_DcuR	mhpD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	glpA//
ArcA_CRP_DnaA_FNR	metB//
ArcA_CRP_DpiA_FNR_NarL	dmsB//moeA//sodA//
ArcA_CRP_DpiA_FlhDC	napA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	entE//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	rbsD//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	gntK//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	moaE//entD//aspA//fes//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	yiaK//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	lldD//
ArcA_CRP_FNR_IHF_NarL	sodA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	garL//
ArcA_CRP_FadR_HipB	nemA//
ArcA_CRP_FadR_OmpR_PhoP	waaH//
ArcA_CRP_Fis_Mlc_SoxS	ilvG_2//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	aceE//murF//pyrD//
ArcA_CRP_GlpR	fumC//
