# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	gcd//entD//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	glpD//napB//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	hycE//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	cysI//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	rutC//gcvH//
AdiY_H-NS_IHF	ssuD//
AgaR_CRP	tdcD//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	mdh//purM//
AraC_CRP	ppiA//kbaZ//dmsA//cysG//rimK//
AraC_CRP_XylR	mhpE//sdhA//
AraC_NagC	
ArcA_BetI_Cra	ahpC//sucD//gadA//
ArcA_CRP_CaiF_FNR_H-NS	lsrG//rhaB//ahpC//hycB//prpE//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	ftsI//puuA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	citC//hemA//garR//sgbH//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	ssuD//
ArcA_CRP_Cra_FNR_NsrR_PdhR	frdC//paaF//sucD//
ArcA_CRP_Cra_Fis	uvrA//
ArcA_CRP_Cra_IHF_IclR	gadA//hypF//citE//
ArcA_CRP_DcuR	fadJ//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	sufS//
ArcA_CRP_DnaA_FNR	paaH//
ArcA_CRP_DpiA_FNR_NarL	srlD//paaK//sgbH//
ArcA_CRP_DpiA_FlhDC	gntK//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	glpB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	moaD//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	rutB//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	lldD//rutB//aceE//ogt//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	feaB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	purD//
ArcA_CRP_FNR_IHF_NarL	gadA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	fadI//
ArcA_CRP_FadR_HipB	lpxC//
ArcA_CRP_FadR_OmpR_PhoP	cysH//
ArcA_CRP_Fis_Mlc_SoxS	moeA//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	hypF//pgk//gapA//
