# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	ddlB//glgA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	ackA//edd//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	garR//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	ynfG//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	sufS//eda//
AdiY_H-NS_IHF	pgaD//
AgaR_CRP	aceF//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	mraY//gapA//
AraC_CRP	fabA//deoA//tnaA//sucD//metK//
AraC_CRP_XylR	idnO//aroA//
AraC_NagC	
ArcA_BetI_Cra	entE//gatY//fbaA//
ArcA_CRP_CaiF_FNR_H-NS	pgk//prpE//paaB//rsmH//ssuE//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	gcvH//umpH//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	ilvG_1//galE//glpD//cadA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	nirD//
ArcA_CRP_Cra_FNR_NsrR_PdhR	entD//tauD//nemA//
ArcA_CRP_Cra_Fis	aceF//
ArcA_CRP_Cra_IHF_IclR	mhpF//dadX//paaA//
ArcA_CRP_DcuR	gltD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	acs//
ArcA_CRP_DnaA_FNR	atoB//
ArcA_CRP_DpiA_FNR_NarL	napH//glpD//mtlD//
ArcA_CRP_DpiA_FlhDC	ugpQ//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	chbG//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	ubiA//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	narH//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	ndh//fbaA//hycF//puuC//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	fadA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	metK//
ArcA_CRP_FNR_IHF_NarL	caiD//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	adiA//
ArcA_CRP_FadR_HipB	waaY//
ArcA_CRP_FadR_OmpR_PhoP	lpxC//
ArcA_CRP_Fis_Mlc_SoxS	astC//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	dgcZ//cadA//deoC//
ArcA_CRP_GlpR	hemA//
