# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	aldA//fucA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	argG//nemA//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	dusB//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	pnp//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	entE//ogt//
AdiY_H-NS_IHF	melA//
AgaR_CRP	murC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	ilvM//frdA//
AraC_CRP	fucI//yqjH//moeA//ilvH//acs//
AraC_CRP_XylR	glgA//mpl//
AraC_NagC	
ArcA_BetI_Cra	paaG//waaH//glpA//
ArcA_CRP_CaiF_FNR_H-NS	pgaB//ssuD//fau//tdcB//hypB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	moaE//glpA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	uidA//moeB//paaJ//gdhA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	sgbH//
ArcA_CRP_Cra_FNR_NsrR_PdhR	sufS//entC//nrfA//
ArcA_CRP_Cra_Fis	mhpF//
ArcA_CRP_Cra_IHF_IclR	citX//hycC//hycC//
ArcA_CRP_DcuR	sdhD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	cysH//
ArcA_CRP_DnaA_FNR	nanK//
ArcA_CRP_DpiA_FNR_NarL	gltA//gcd//glpD//
ArcA_CRP_DpiA_FlhDC	nanE//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	mhpC//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	moaD//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	ubiC//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	fau//sucA//atoB//dsdA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	purH//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	glpC//
ArcA_CRP_FNR_IHF_NarL	hyaB//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	gcd//
ArcA_CRP_FadR_HipB	lldD//
ArcA_CRP_FadR_OmpR_PhoP	hypB//
ArcA_CRP_Fis_Mlc_SoxS	lacZ//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	sdhD//nanA//prmC//
ArcA_CRP_GlpR	caiB//
