# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	sufS//lldD//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	deoA//gcvT//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	nirD//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	narH//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	galK//sodB//
AdiY_H-NS_IHF	ascB//
AgaR_CRP	atoB//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	rnpB//tam//
AraC_CRP	entE//gadA//moaA//hypB//rutB//
AraC_CRP_XylR	katG//lacA//
AraC_NagC	
ArcA_BetI_Cra	moeB//tnaA//pyrC//
ArcA_CRP_CaiF_FNR_H-NS	citE//ahpF//rutC//cysH//hmp//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	prmC//paaB//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	betB//fucO//nirD//cdd//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	nanA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	pgaB//atoD//mhpD//
ArcA_CRP_Cra_Fis	fadB//
ArcA_CRP_Cra_IHF_IclR	aldB//lacA//entF//
ArcA_CRP_DcuR	ilvH//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	aceE//
ArcA_CRP_DnaA_FNR	ilvI//
ArcA_CRP_DpiA_FNR_NarL	nanE//aceE//pnp//
ArcA_CRP_DpiA_FlhDC	mdh//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	carA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	moaD//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	hypF//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	malS//cyoE//glpQ//feaB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	glpK//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	lacA//
ArcA_CRP_FNR_IHF_NarL	aceE//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	lacA//
ArcA_CRP_FadR_HipB	fucK//
ArcA_CRP_FadR_OmpR_PhoP	purM//
ArcA_CRP_Fis_Mlc_SoxS	sdhC//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	aroA//gabT//atoB//
ArcA_CRP_GlpR	paaG//
