# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	fadJ//fadJ//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	narH//paaF//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	sucD//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	puuD//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	glgC//nagA//
AdiY_H-NS_IHF	idnD//
AgaR_CRP	entD//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	fadE//paaI//
AraC_CRP	glgA//nrfB//narG//aldA//lsrF//
AraC_CRP_XylR	accB//mdh//
AraC_NagC	
ArcA_BetI_Cra	dusB//uidA//citX//
ArcA_CRP_CaiF_FNR_H-NS	ahpC//ilvA//nfsB//argG//metB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	mraY//adiA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	glgC//fumB//paaF//paaK//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	sgbH//
ArcA_CRP_Cra_FNR_NsrR_PdhR	rutC//tdcE//malS//
ArcA_CRP_Cra_Fis	mhpC//
ArcA_CRP_Cra_IHF_IclR	ulaE//fadB//nrfB//
ArcA_CRP_DcuR	mhpB//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	ynfF//
ArcA_CRP_DnaA_FNR	sodA//
ArcA_CRP_DpiA_FNR_NarL	cysI//tdcD//aroG//
ArcA_CRP_DpiA_FlhDC	nrdE//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	sucD//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	nanA//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	rutD//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	nemA//ilvD//paaH//bglB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	paaH//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	uidA//
ArcA_CRP_FNR_IHF_NarL	dadA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	pflB//
ArcA_CRP_FadR_HipB	edd//
ArcA_CRP_FadR_OmpR_PhoP	mraY//
ArcA_CRP_Fis_Mlc_SoxS	uxuA//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	carA//nrfA//frdB//
ArcA_CRP_GlpR	prpD//
