# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	aceB//guaB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	hypB//uvrA//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	entH//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	frdD//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	aspA//ssuE//
AdiY_H-NS_IHF	ulaE//
AgaR_CRP	fucI//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	puuC//ascB//
AraC_CRP	malS//pyrC//ascB//galE//bglB//
AraC_CRP_XylR	prpB//aroA//
AraC_NagC	
ArcA_BetI_Cra	moaA//mazG//tdcE//
ArcA_CRP_CaiF_FNR_H-NS	caiB//katG//aroG//fabB//gabD//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	guaA//lsrG//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	murQ//nemA//hypF//gltD//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	dusB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	mhpB//ftsI//mhpC//
ArcA_CRP_Cra_Fis	ssuD//
ArcA_CRP_Cra_IHF_IclR	aroL//napH//torA//
ArcA_CRP_DcuR	mhpA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	aspA//
ArcA_CRP_DnaA_FNR	pdeL//
ArcA_CRP_DpiA_FNR_NarL	sdhC//tauD//rsmH//
ArcA_CRP_DpiA_FlhDC	pdeR//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	gatZ//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	tdcG//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	ansB//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	nfsB//nrfB//citE//hemL//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	yqjH//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	glpC//
ArcA_CRP_FNR_IHF_NarL	glnA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	hyaB//
ArcA_CRP_FadR_HipB	malS//
ArcA_CRP_FadR_OmpR_PhoP	malY//
ArcA_CRP_Fis_Mlc_SoxS	relA//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	lacZ//idnD//puuB//
