# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	ndh//fucA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	acnA//ulaE//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	gapA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	metE//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	pnp//glpX//
AdiY_H-NS_IHF	entE//
AgaR_CRP	ahpF//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	caiA//ynfH//
AraC_CRP	torC//metH//serA//gltB//fau//
AraC_CRP_XylR	hcp//pyrC//
AraC_NagC	
ArcA_BetI_Cra	atoA//gatD//murQ//
ArcA_CRP_CaiF_FNR_H-NS	ascB//glcE//glpA//uxuB//citF//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	paaC//rutD//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	glyA//nanE//malP//dusB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	gutQ//
ArcA_CRP_Cra_FNR_NsrR_PdhR	fdhF//astA//fadJ//
ArcA_CRP_Cra_Fis	gnd//
ArcA_CRP_Cra_IHF_IclR	gltA//mhpD//ansB//
ArcA_CRP_DcuR	hycE//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	glcF//
ArcA_CRP_DnaA_FNR	melA//
ArcA_CRP_DpiA_FNR_NarL	glcB//glpA//glgC//
ArcA_CRP_DpiA_FlhDC	rutB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	sucC//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	sodB//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	poxB//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	lsrK//paaC//lldD//ilvA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	betA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	aroL//
ArcA_CRP_FNR_IHF_NarL	ubiC//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	rutA//
ArcA_CRP_FadR_HipB	sdhC//
ArcA_CRP_FadR_OmpR_PhoP	ubiC//
ArcA_CRP_Fis_Mlc_SoxS	ilvH//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	purN//tauD//cysM//
ArcA_CRP_GlpR	edd//
