# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	caiB//hcp//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	frdC//gloA//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	ynfE//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	rutD//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	lpxD//uidA//
AdiY_H-NS_IHF	aroL//
AgaR_CRP	torA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	mazG//fadA//
AraC_CRP	aceE//glgP//entA//lpxA//acs//
AraC_CRP_XylR	entF//pgaC//
AraC_NagC	
ArcA_BetI_Cra	purA//cyoE//cysI//
ArcA_CRP_CaiF_FNR_H-NS	chbF//ynfG//glcD//gloA//nirB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	lsrF//ilvE//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	tdcB//frdC//sdhD//fucA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	uxaC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	hmp//fumA//ilvH//
ArcA_CRP_Cra_Fis	fumC//
ArcA_CRP_Cra_IHF_IclR	lldD//citX//adhE//
ArcA_CRP_DcuR	mdh//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	rutC//
ArcA_CRP_DnaA_FNR	rutD//
ArcA_CRP_DpiA_FNR_NarL	malQ//gatY//melA//
ArcA_CRP_DpiA_FlhDC	tauD//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	aceF//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	mhpD//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	entC//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	gatY//udp//sodA//dusB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	lacA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	idnK//
ArcA_CRP_FNR_IHF_NarL	ulaG//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	metB//
ArcA_CRP_FadR_HipB	accC//
ArcA_CRP_FadR_OmpR_PhoP	cysM//
ArcA_CRP_Fis_Mlc_SoxS	gloA//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	narG//astB//melA//
ArcA_CRP_GlpR	waaY//
