# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	ahpF//paaC//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	puuD//glyA//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	entA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	aroG//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	accB//entD//
AdiY_H-NS_IHF	fadE//
AgaR_CRP	caiC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	fadB//aceB//
AraC_CRP	feaB//fucU//galT//nfsB//tnaA//
AraC_CRP_XylR	ahpC//ppiA//
AraC_NagC	
ArcA_BetI_Cra	ulaE//hypB//lpxD//
ArcA_CRP_CaiF_FNR_H-NS	gatY//caiA//nrfC//murF//cysH//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	entF//patA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	torA//gntK//fbaA//sgbH//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	betA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	narI//hycE//lsrK//
ArcA_CRP_Cra_Fis	pgaB//
ArcA_CRP_Cra_IHF_IclR	gapA//tauD//waaZ//
ArcA_CRP_DcuR	metK//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	ilvM//
ArcA_CRP_DnaA_FNR	tdcG//
ArcA_CRP_DpiA_FNR_NarL	citF//entC//folA//
ArcA_CRP_DpiA_FlhDC	caiA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	astD//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	hycD//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	fadB//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	glnA//hyaB//pflB//frdA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	aldA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	hyaC//
ArcA_CRP_FNR_IHF_NarL	purN//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	dusB//
ArcA_CRP_FadR_HipB	fabB//
ArcA_CRP_FadR_OmpR_PhoP	napG//
ArcA_CRP_Fis_Mlc_SoxS	putA//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	glnA//katG//prpB//
ArcA_CRP_GlpR	pdeR//
