# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	mraY//uxuB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	ubiA//carA//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	lpd//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	nrdD//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	hpt//tnaA//
AdiY_H-NS_IHF	purD//
AgaR_CRP	glpB//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	rnpB//uxaA//
AraC_CRP	codA//lldD//astE//paaK//zwf//
AraC_CRP_XylR	galM//ackA//
AraC_NagC	
ArcA_BetI_Cra	paaA//hycG//ogt//
ArcA_CRP_CaiF_FNR_H-NS	glgP//uxaB//astE//gatD//gatY//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	fucU//glcE//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	pspE//mhpB//malQ//fadH//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	mazG//
ArcA_CRP_Cra_FNR_NsrR_PdhR	gapA//dadA//murG//
ArcA_CRP_Cra_Fis	yiaK//
ArcA_CRP_Cra_IHF_IclR	fes//ackA//glnA//
ArcA_CRP_DcuR	mhpB//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	ynfG//
ArcA_CRP_DnaA_FNR	waaY//
ArcA_CRP_DpiA_FNR_NarL	fadI//glpA//cyoE//
ArcA_CRP_DpiA_FlhDC	folA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	uxuB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	ftnA//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	uvrA//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	puuD//paaZ//malP//fumA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	purM//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	citE//
ArcA_CRP_FNR_IHF_NarL	puuA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	glpX//
ArcA_CRP_FadR_HipB	caiD//
ArcA_CRP_FadR_OmpR_PhoP	malQ//
ArcA_CRP_Fis_Mlc_SoxS	napA//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	glpQ//xylB//sufS//
ArcA_CRP_GlpR	murQ//
