# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	gloA//ahpF//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	citD//mdh//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	nanE//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	adhE//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	ldtB//accB//
AdiY_H-NS_IHF	udp//
AgaR_CRP	edd//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	lpxC//dadX//
AraC_CRP	udp//carB//hemA//lldD//glpK//
AraC_CRP_XylR	lacA//garL//
AraC_NagC	
ArcA_BetI_Cra	sufS//sdhA//accC//
ArcA_CRP_CaiF_FNR_H-NS	deoB//ogt//araD//sucC//ilvE//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	nrdB//malY//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	astA//aldB//glcE//entF//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	purN//
ArcA_CRP_Cra_FNR_NsrR_PdhR	fucA//lldD//napA//
ArcA_CRP_Cra_Fis	astC//
ArcA_CRP_Cra_IHF_IclR	ulaF//gadB//metK//
ArcA_CRP_DcuR	gcvP//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	gnd//
ArcA_CRP_DnaA_FNR	sdhD//
ArcA_CRP_DpiA_FNR_NarL	sdhB//aldB//ulaE//
ArcA_CRP_DpiA_FlhDC	glgA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	caiB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	guaB//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	recF//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	srlD//tdcB//gltA//yiaK//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	torC//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	sucB//
ArcA_CRP_FNR_IHF_NarL	xylB//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	nrfC//
ArcA_CRP_FadR_HipB	ulaD//
ArcA_CRP_FadR_OmpR_PhoP	nanK//
ArcA_CRP_Fis_Mlc_SoxS	nfsA//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	mraY//sgbU//moaD//
ArcA_CRP_GlpR	moeB//
