# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	citE//gltB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	lhgO//eda//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	nrdD//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	gabT//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	udp//gatZ//
AdiY_H-NS_IHF	guaB//
AgaR_CRP	malP//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	torA//idnO//
AraC_CRP	melA//deoD//patA//ilvG_1//fadD//
AraC_CRP_XylR	appA//ahpC//
AraC_NagC	
ArcA_BetI_Cra	murQ//prpB//ulaE//
ArcA_CRP_CaiF_FNR_H-NS	citG//hycE//nanA//nirD//tauD//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	fucA//hypF//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	entB//torA//prpD//ynfF//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	fau//
ArcA_CRP_Cra_FNR_NsrR_PdhR	narG//guaB//nfsA//
ArcA_CRP_Cra_Fis	puuC//
ArcA_CRP_Cra_IHF_IclR	dmsA//frdA//garK//
ArcA_CRP_DcuR	gcvP//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	cysI//
ArcA_CRP_DnaA_FNR	argD//
ArcA_CRP_DpiA_FNR_NarL	dsdA//rhaB//entH//
ArcA_CRP_DpiA_FlhDC	rhaB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	frdB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	hcp//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	ddlB//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	acnA//epd//rhaA//appA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	rhaA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	cysG//
ArcA_CRP_FNR_IHF_NarL	pncB//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	nemA//
ArcA_CRP_FadR_HipB	gntK//
ArcA_CRP_FadR_OmpR_PhoP	tauD//
ArcA_CRP_Fis_Mlc_SoxS	fadI//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	poxB//adhE//nrfB//
ArcA_CRP_GlpR	ilvH//
