# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	prpD//sucB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	rhaA//ilvI//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	paaA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	cdd//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	entB//zwf//
AdiY_H-NS_IHF	aldA//
AgaR_CRP	puuC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	lhgO//nagB//
AraC_CRP	cysM//citF//argD//paaK//sgbH//
AraC_CRP_XylR	feaB//pyrD//
AraC_NagC	
ArcA_BetI_Cra	galM//fadE//cadA//
ArcA_CRP_CaiF_FNR_H-NS	purM//puuE//chbF//ilvG_2//ahpC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	araB//nirD//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	nrdE//citC//nrfC//moeA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	sdhC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	ansB//idnK//cyoE//
ArcA_CRP_Cra_Fis	entH//
ArcA_CRP_Cra_IHF_IclR	pdeR//uidA//sucA//
ArcA_CRP_DcuR	aceE//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	mhpE//
ArcA_CRP_DnaA_FNR	nrfA//
ArcA_CRP_DpiA_FNR_NarL	gloA//murG//gabD//
ArcA_CRP_DpiA_FlhDC	rsmH//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	prpB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	mhpC//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	eda//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	gatD//entA//accB//mraY//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	mdh//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	nrdD//
ArcA_CRP_FNR_IHF_NarL	narG//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	ugpQ//
ArcA_CRP_FadR_HipB	ssuD//
ArcA_CRP_FadR_OmpR_PhoP	pgaD//
ArcA_CRP_Fis_Mlc_SoxS	mdh//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	murG//rimK//xylA//
ArcA_CRP_GlpR	ogt//
