# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	accC//ynfF//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	hycC//citD//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	mazG//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	ilvA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	aceE//pflB//
AdiY_H-NS_IHF	deoA//
AgaR_CRP	rutA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	sgbE//ulaE//
AraC_CRP	entD//nrdF//paaH//entH//pdeL//
AraC_CRP_XylR	pspE//torA//
AraC_NagC	
ArcA_BetI_Cra	gatD//ndh//cysI//
ArcA_CRP_CaiF_FNR_H-NS	lhgO//cadA//icd//cysJ//sucD//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	astC//sdhC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	frdB//waaZ//patA//purA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	bglB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	murD//paaE//nrdA//
ArcA_CRP_Cra_Fis	idnK//
ArcA_CRP_Cra_IHF_IclR	lsrK//betA//napB//
ArcA_CRP_DcuR	galT//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	glcD//
ArcA_CRP_DnaA_FNR	galE//
ArcA_CRP_DpiA_FNR_NarL	lsrK//paaH//fadB//
ArcA_CRP_DpiA_FlhDC	fabZ//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	aceE//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	puuE//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	melA//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	metL//epd//nfsA//hpt//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	metK//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	ulaD//
ArcA_CRP_FNR_IHF_NarL	ftsI//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	sdhD//
ArcA_CRP_FadR_HipB	atoB//
ArcA_CRP_FadR_OmpR_PhoP	aceF//
ArcA_CRP_Fis_Mlc_SoxS	glpD//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	atoB//galK//nrfD//
ArcA_CRP_GlpR	napB//
