# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	uxaB//fadI//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	fadI//ubiC//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	xylB//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	ilvD//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	adhE//lldD//
AdiY_H-NS_IHF	glpD//
AgaR_CRP	moeB//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	nirD//fucU//
AraC_CRP	murE//gltB//hyaA//ftsI//caiA//
AraC_CRP_XylR	citF//purH//
AraC_NagC	
ArcA_BetI_Cra	rhaD//pck//hypF//
ArcA_CRP_CaiF_FNR_H-NS	ssuD//murE//astA//hycE//torC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	nrdE//frdC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	kbaZ//sucD//icd//gltA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	appA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	prpD//deoD//cysM//
ArcA_CRP_Cra_Fis	prmC//
ArcA_CRP_Cra_IHF_IclR	idnO//araD//gadA//
ArcA_CRP_DcuR	putA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	mtlD//
ArcA_CRP_DnaA_FNR	nrdF//
ArcA_CRP_DpiA_FNR_NarL	ilvE//nanK//gutQ//
ArcA_CRP_DpiA_FlhDC	betA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	chbF//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	aceA//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	treC//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	pyrC//ssuE//umpH//carB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	rbsD//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	waaZ//
ArcA_CRP_FNR_IHF_NarL	lpxA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	frdB//
ArcA_CRP_FadR_HipB	ubiA//
ArcA_CRP_FadR_OmpR_PhoP	puuE//
ArcA_CRP_Fis_Mlc_SoxS	mhpC//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	cdd//nemA//caiB//
ArcA_CRP_GlpR	dsdA//
