# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	zwf//nrfD//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	galT//gcvH//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	ascB//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	moeA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	sdhA//citF//
AdiY_H-NS_IHF	caiC//
AgaR_CRP	lpxD//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	ilvE//cysG//
AraC_CRP	gatD//glpB//galK//appA//glpA//
AraC_CRP_XylR	sgbU//adhE//
AraC_NagC	
ArcA_BetI_Cra	ndh//ilvG_1//idnO//
ArcA_CRP_CaiF_FNR_H-NS	lsrF//araA//kbaZ//caiC//napC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	accC//cysJ//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	cyoE//pdeR//deoA//sdhB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	ansB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	glpD//fbaA//ascB//
ArcA_CRP_Cra_Fis	entA//
ArcA_CRP_Cra_IHF_IclR	lacA//patA//glpA//
ArcA_CRP_DcuR	malQ//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	rutD//
ArcA_CRP_DnaA_FNR	gcvT//
ArcA_CRP_DpiA_FNR_NarL	ilvH//srlD//fadI//
ArcA_CRP_DpiA_FlhDC	ubiC//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	icd//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	ssuD//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	ynfE//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	pdeL//paaJ//fadJ//aspC//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	deoA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	gabD//
ArcA_CRP_FNR_IHF_NarL	melA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	hycB//
ArcA_CRP_FadR_HipB	ilvG_1//
ArcA_CRP_FadR_OmpR_PhoP	lsrK//
ArcA_CRP_Fis_Mlc_SoxS	glpQ//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	gcvT//cyoE//feaB//
