# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	glnA//ilvE//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	ubiA//prpE//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	tauD//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	prmC//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	puuE//dmsA//
AdiY_H-NS_IHF	ynfG//
AgaR_CRP	accB//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	kbaZ//lsrG//
AraC_CRP	entH//sucC//aceA//metH//tdcB//
AraC_CRP_XylR	ftnA//aspC//
AraC_NagC	
ArcA_BetI_Cra	astE//zwf//glgC//
ArcA_CRP_CaiF_FNR_H-NS	appA//ilvI//metL//moaD//glgP//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	purD//purM//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	ftsI//napH//hypB//nagB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	uxaA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	glpK//adiA//garK//
ArcA_CRP_Cra_Fis	mazG//
ArcA_CRP_Cra_IHF_IclR	frdB//gcvH//pflB//
ArcA_CRP_DcuR	lysA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	lacZ//
ArcA_CRP_DnaA_FNR	rutC//
ArcA_CRP_DpiA_FNR_NarL	ilvA//fabZ//mhpF//
ArcA_CRP_DpiA_FlhDC	galM//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	lacA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	nirB//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	atoD//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	rbsK//nrdD//hycG//mazG//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	relA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	lldD//
ArcA_CRP_FNR_IHF_NarL	lsrK//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	lyxK//
ArcA_CRP_FadR_HipB	mhpB//
ArcA_CRP_FadR_OmpR_PhoP	sucC//
ArcA_CRP_Fis_Mlc_SoxS	truB//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	aceF//hcp//aldB//
ArcA_CRP_GlpR	napB//
