# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	ssuD//adhE//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	hpt//ascB//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	ilvD//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	atoD//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	lsrF//dmsB//
AdiY_H-NS_IHF	cysG//
AgaR_CRP	argG//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	rhaD//murC//
AraC_CRP	dadX//guaA//ssuE//gltB//tdcG//
AraC_CRP_XylR	fadE//carA//
AraC_NagC	
ArcA_BetI_Cra	srlD//gloA//pgaB//
ArcA_CRP_CaiF_FNR_H-NS	ilvE//udp//rbsK//nfsB//ndh//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	nrfB//deoC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	bglB//tauD//mpl//gatD//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	paaC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	fadE//fau//moaD//
ArcA_CRP_Cra_Fis	moeA//
ArcA_CRP_Cra_IHF_IclR	lacZ//fabZ//napH//
ArcA_CRP_DcuR	aspC//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	sdhB//
ArcA_CRP_DnaA_FNR	chbG//
ArcA_CRP_DpiA_FNR_NarL	waaY//glcD//citD//
ArcA_CRP_DpiA_FlhDC	ansB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	dmsC//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	citE//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	hyaC//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	nrfB//ftsI//dmsC//napG//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	caiD//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	xylA//
ArcA_CRP_FNR_IHF_NarL	idnK//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	ssuE//
ArcA_CRP_FadR_HipB	fucU//
ArcA_CRP_FadR_OmpR_PhoP	rhaB//
ArcA_CRP_Fis_Mlc_SoxS	glpB//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	rutC//lacA//aspC//
