# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	sgbE//lpxC//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	frdD//gltB//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	aceF//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	puuB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	relA//paaE//
AdiY_H-NS_IHF	moeB//
AgaR_CRP	sucD//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	glcD//hyaB//
AraC_CRP	acs//gcvP//nanM//paaK//pflB//
AraC_CRP_XylR	betB//rhaD//
AraC_NagC	
ArcA_BetI_Cra	icd//caiD//frdC//
ArcA_CRP_CaiF_FNR_H-NS	truB//cysG//lldD//rutC//fabB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	lpxD//atoA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	nanK//napG//mhpD//nrfC//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	moeB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	fadE//citG//ftsI//
ArcA_CRP_Cra_Fis	moaA//
ArcA_CRP_Cra_IHF_IclR	paaK//paaH//napC//
ArcA_CRP_DcuR	argG//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	ubiC//
ArcA_CRP_DnaA_FNR	metB//
ArcA_CRP_DpiA_FNR_NarL	metK//hypB//deoC//
ArcA_CRP_DpiA_FlhDC	dadA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	fumA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	lsrK//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	fdhF//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	yiaK//gcd//deoC//mhpB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	hypB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	prpE//
ArcA_CRP_FNR_IHF_NarL	gntK//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	poxB//
ArcA_CRP_FadR_HipB	nanA//
ArcA_CRP_FadR_OmpR_PhoP	sdhD//
ArcA_CRP_Fis_Mlc_SoxS	lsrF//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	aceE//gntK//garR//
ArcA_CRP_GlpR	fucA//
