# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	nrdE//fadB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	folA//sgbE//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	mtlD//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	aceA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	citD//hypF//
AdiY_H-NS_IHF	nemA//
AgaR_CRP	pnp//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	gadA//entE//
AraC_CRP	glpQ//ynfG//paaE//metK//lsrF//
AraC_CRP_XylR	lacZ//napB//
AraC_NagC	
ArcA_BetI_Cra	guaA//pyrD//deoB//
ArcA_CRP_CaiF_FNR_H-NS	malS//dusB//ahpC//ulaG//sodB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	idnD//mraY//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	hycC//prpD//lsrG//acnA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	moaE//
ArcA_CRP_Cra_FNR_NsrR_PdhR	cysI//malS//waaY//
ArcA_CRP_Cra_Fis	paaC//
ArcA_CRP_Cra_IHF_IclR	murD//ynfE//lpxD//
ArcA_CRP_DcuR	purA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	ilvG_1//
ArcA_CRP_DnaA_FNR	sucB//
ArcA_CRP_DpiA_FNR_NarL	purN//murC//nfsB//
ArcA_CRP_DpiA_FlhDC	pdeL//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	serA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	hemL//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	ssuE//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	idnD//dadX//prpE//tauD//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	ilvG_2//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	rimK//
ArcA_CRP_FNR_IHF_NarL	ynfF//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	poxB//
ArcA_CRP_FadR_HipB	nanE//
ArcA_CRP_FadR_OmpR_PhoP	hyaB//
ArcA_CRP_Fis_Mlc_SoxS	ansB//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	recF//entC//serC//
ArcA_CRP_GlpR	deoC//
