# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	aroL//mhpB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	paaC//hycC//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	ubiC//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	napB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	ubiA//ynfG//
AdiY_H-NS_IHF	uxaA//
AgaR_CRP	lldD//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	hycC//glgA//
AraC_CRP	aldB//sgbH//nanK//ogt//murG//
AraC_CRP_XylR	acnA//codA//
AraC_NagC	
ArcA_BetI_Cra	nfsA//dmsB//deoB//
ArcA_CRP_CaiF_FNR_H-NS	atoD//deoB//accC//malP//ssuD//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	citE//fadB//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	glnA//nrdE//fadB//idnO//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	entD//
ArcA_CRP_Cra_FNR_NsrR_PdhR	hcp//ilvG_1//uxuA//
ArcA_CRP_Cra_Fis	nfsA//
ArcA_CRP_Cra_IHF_IclR	hypF//gabD//paaE//
ArcA_CRP_DcuR	ulaE//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	aldA//
ArcA_CRP_DnaA_FNR	aroG//
ArcA_CRP_DpiA_FNR_NarL	melA//lhgO//waaZ//
ArcA_CRP_DpiA_FlhDC	paaJ//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	mpl//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	deoB//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	puuC//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	citX//mhpE//katG//lpd//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	acnA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	patA//
ArcA_CRP_FNR_IHF_NarL	mhpF//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	mdh//
ArcA_CRP_FadR_HipB	citC//
ArcA_CRP_FadR_OmpR_PhoP	malS//
ArcA_CRP_Fis_Mlc_SoxS	hycF//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	fabA//mdh//glpB//
ArcA_CRP_GlpR	guaA//
