# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	paaE//katE//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	aldA//entF//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	moeA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	glpD//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	gabT//nrdF//
AdiY_H-NS_IHF	mhpA//
AgaR_CRP	ilvD//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	mpl//pdeR//
AraC_CRP	idnK//rbsK//argD//rhaB//entE//
AraC_CRP_XylR	purN//frdB//
AraC_NagC	
ArcA_BetI_Cra	narH//nanA//hyaA//
ArcA_CRP_CaiF_FNR_H-NS	paaA//pyrC//uxaA//atoD//murQ//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	yqjH//accC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	metK//nrfA//mhpE//nanE//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	mazG//
ArcA_CRP_Cra_FNR_NsrR_PdhR	lldD//ynfG//napA//
ArcA_CRP_Cra_Fis	pnp//
ArcA_CRP_Cra_IHF_IclR	frdB//fbaA//nrdE//
ArcA_CRP_DcuR	fadD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	idnK//
ArcA_CRP_DnaA_FNR	uxuB//
ArcA_CRP_DpiA_FNR_NarL	ppiA//moaD//aceA//
ArcA_CRP_DpiA_FlhDC	tdcG//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	uxaC//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	mhpF//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	metE//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	torC//moaA//nfsA//citX//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	hyaC//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	glpX//
ArcA_CRP_FNR_IHF_NarL	lldD//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	fadH//
ArcA_CRP_FadR_HipB	lpd//
ArcA_CRP_FadR_OmpR_PhoP	mhpE//
ArcA_CRP_Fis_Mlc_SoxS	prpD//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	murE//paaC//pdeR//
