# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	carB//caiD//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	puuA//ilvG_1//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	tam//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	hcp//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	pyrC//ulaF//
AdiY_H-NS_IHF	glcB//
AgaR_CRP	atoD//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	pgk//waaZ//
AraC_CRP	carA//uvrA//sgbU//ftnA//sodB//
AraC_CRP_XylR	pyrC//aldA//
AraC_NagC	
ArcA_BetI_Cra	nemA//paaZ//sgbH//
ArcA_CRP_CaiF_FNR_H-NS	dusB//dadA//feaB//narG//citF//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	fucK//gloA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	lpxD//fabB//aldA//katE//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	dusB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	garK//gloA//putA//
ArcA_CRP_Cra_Fis	moeB//
ArcA_CRP_Cra_IHF_IclR	adhE//fabZ//citG//
ArcA_CRP_DcuR	frdD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	murG//
ArcA_CRP_DnaA_FNR	cdd//
ArcA_CRP_DpiA_FNR_NarL	malY//paaC//rbsK//
ArcA_CRP_DpiA_FlhDC	malS//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	fumB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	purA//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	nfsB//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	sgbU//lpxC//hycF//pspE//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	fabB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	purN//
ArcA_CRP_FNR_IHF_NarL	gapA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	galM//
ArcA_CRP_FadR_HipB	gnd//
ArcA_CRP_FadR_OmpR_PhoP	lsrK//
ArcA_CRP_Fis_Mlc_SoxS	entF//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	glpX//frdA//patA//
ArcA_CRP_GlpR	ubiC//
