# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	murF//nrfA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	cyoE//murG//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	cysI//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	purD//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	ynfG//fdhF//
AdiY_H-NS_IHF	narG//
AgaR_CRP	moaA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	frdA//rsmH//
AraC_CRP	pgaB//deoC//gcvP//kbaZ//aceB//
AraC_CRP_XylR	zwf//nrfC//
AraC_NagC	
ArcA_BetI_Cra	katG//aceA//entC//
ArcA_CRP_CaiF_FNR_H-NS	ssuD//citC//galT//mhpE//betA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	dgcZ//guaB//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	cyoE//hyaA//idnO//dadA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	ansB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	lsrG//pck//puuB//
ArcA_CRP_Cra_Fis	ynfE//
ArcA_CRP_Cra_IHF_IclR	mhpA//murF//prpB//
ArcA_CRP_DcuR	nrfD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	putA//
ArcA_CRP_DnaA_FNR	glpC//
ArcA_CRP_DpiA_FNR_NarL	gatZ//codA//uxaB//
ArcA_CRP_DpiA_FlhDC	paaK//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	pspE//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	nrdD//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	caiB//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	aceF//astE//pspE//frdA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	ilvD//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	ilvE//
ArcA_CRP_FNR_IHF_NarL	fabB//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	napH//
ArcA_CRP_FadR_HipB	paaA//
ArcA_CRP_FadR_OmpR_PhoP	rhaD//
ArcA_CRP_Fis_Mlc_SoxS	garL//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	fadH//galT//fadE//
ArcA_CRP_GlpR	prpB//
