# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	puuA//mhpC//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	metK//hycE//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	nfsB//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	astA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	deoD//napC//
AdiY_H-NS_IHF	mhpC//
AgaR_CRP	recF//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	mnmG//lsrG//
AraC_CRP	puuC//paaB//murE//hmp//puuE//
AraC_CRP_XylR	ilvD//lhgO//
AraC_NagC	
ArcA_BetI_Cra	mdh//argD//nrdE//
ArcA_CRP_CaiF_FNR_H-NS	appA//ilvI//dusB//ulaF//mpl//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	garK//pyrC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	betB//prpB//astD//fabA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	ndh//
ArcA_CRP_Cra_FNR_NsrR_PdhR	metB//paaC//glcE//
ArcA_CRP_Cra_Fis	metL//
ArcA_CRP_Cra_IHF_IclR	sodA//gcd//gatZ//
ArcA_CRP_DcuR	frdC//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	ilvE//
ArcA_CRP_DnaA_FNR	putA//
ArcA_CRP_DpiA_FNR_NarL	nfsA//xylA//argG//
ArcA_CRP_DpiA_FlhDC	glcD//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	metK//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	fumC//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	ahpF//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	astE//moaE//ulaE//rhaB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	gcd//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	uxaB//
ArcA_CRP_FNR_IHF_NarL	ppiA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	pgk//
ArcA_CRP_FadR_HipB	hmp//
ArcA_CRP_FadR_OmpR_PhoP	cysM//
ArcA_CRP_Fis_Mlc_SoxS	cysH//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	betB//prpB//serA//
ArcA_CRP_GlpR	citE//
