# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	ldtB//eda//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	aldB//nagA//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	rbsK//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	cysM//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	glpX//murE//
AdiY_H-NS_IHF	kbaZ//
AgaR_CRP	aroL//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	sufS//galK//
AraC_CRP	hycE//hycC//purA//mhpC//uxuB//
AraC_CRP_XylR	entB//aspC//
AraC_NagC	
ArcA_BetI_Cra	yiaK//tam//umpH//
ArcA_CRP_CaiF_FNR_H-NS	ubiA//ascB//nrfA//relA//ftsI//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	puuB//prpB//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	gadA//fadA//purN//cadA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	gloA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	epd//frdB//entD//
ArcA_CRP_Cra_Fis	udp//
ArcA_CRP_Cra_IHF_IclR	garK//purH//fadA//
ArcA_CRP_DcuR	frdA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	betA//
ArcA_CRP_DnaA_FNR	prpE//
ArcA_CRP_DpiA_FNR_NarL	purD//galE//pdeR//
ArcA_CRP_DpiA_FlhDC	gltA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	tdcB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	sucC//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	hypF//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	gabT//acnA//astA//lpxC//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	codA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	lpxD//
ArcA_CRP_FNR_IHF_NarL	tdcD//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	mhpD//
ArcA_CRP_FadR_HipB	astB//
ArcA_CRP_FadR_OmpR_PhoP	pncB//
ArcA_CRP_Fis_Mlc_SoxS	pyrC//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	glgP//hycF//malS//
ArcA_CRP_GlpR	mhpB//
