# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	udp//puuA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	mhpC//serC//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	idnK//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	udp//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	glpD//nanK//
AdiY_H-NS_IHF	sdhC//
AgaR_CRP	gntK//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	folA//glpB//
AraC_CRP	fucK//malQ//nrdA//deoA//uxaA//
AraC_CRP_XylR	fadH//pncB//
AraC_NagC	
ArcA_BetI_Cra	tauD//fadI//pgaC//
ArcA_CRP_CaiF_FNR_H-NS	nrfD//murQ//nagB//purD//fucI//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	ilvM//tdcB//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	atoA//gltB//gatZ//dadA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	yiaK//
ArcA_CRP_Cra_FNR_NsrR_PdhR	hypF//metH//garL//
ArcA_CRP_Cra_Fis	ahpC//
ArcA_CRP_Cra_IHF_IclR	dmsA//prpC//rutE//
ArcA_CRP_DcuR	aspC//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	mpl//
ArcA_CRP_DnaA_FNR	gcd//
ArcA_CRP_DpiA_FNR_NarL	gntK//pflB//melA//
ArcA_CRP_DpiA_FlhDC	ugpQ//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	rhaA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	entC//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	paaH//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	prpD//garL//fucO//kbaZ//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	uxaB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	rnpB//
ArcA_CRP_FNR_IHF_NarL	ascB//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	pgaB//
ArcA_CRP_FadR_HipB	aroL//
ArcA_CRP_FadR_OmpR_PhoP	chbF//
ArcA_CRP_Fis_Mlc_SoxS	pyrC//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	tam//hyaB//hycF//
