# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	waaH//ilvA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	ftnA//citC//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	uxuA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	ahpF//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	chbF//paaZ//
AdiY_H-NS_IHF	gabT//
AgaR_CRP	entE//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	uvrA//glnA//
AraC_CRP	cysH//glpD//mraY//moaA//gdhA//
AraC_CRP_XylR	ndh//fabZ//
AraC_NagC	
ArcA_BetI_Cra	accB//lyxK//cysG//
ArcA_CRP_CaiF_FNR_H-NS	glgP//xylA//uxaA//acnB//idnK//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	pgk//serC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	fabB//poxB//dgcZ//atoD//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	ulaF//
ArcA_CRP_Cra_FNR_NsrR_PdhR	mhpD//araD//galE//
ArcA_CRP_Cra_Fis	uxaC//
ArcA_CRP_Cra_IHF_IclR	katE//melA//glcB//
ArcA_CRP_DcuR	astE//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	betA//
ArcA_CRP_DnaA_FNR	nrdB//
ArcA_CRP_DpiA_FNR_NarL	deoA//hycG//mazG//
ArcA_CRP_DpiA_FlhDC	adhE//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	adhE//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	glcD//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	dusB//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	puuB//rbsD//puuD//deoD//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	gcvP//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	gabD//
ArcA_CRP_FNR_IHF_NarL	dsdA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	pgaC//
ArcA_CRP_FadR_HipB	waaH//
ArcA_CRP_FadR_OmpR_PhoP	glpA//
ArcA_CRP_Fis_Mlc_SoxS	nfsB//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	pgaC//paaC//glpC//
