# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	ftnA//paaA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	pncB//aroA//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	tdcD//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	ilvE//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	hemA//moaA//
AdiY_H-NS_IHF	ubiC//
AgaR_CRP	ansB//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	dusB//katG//
AraC_CRP	mhpD//fadD//nrdB//aspA//tdcD//
AraC_CRP_XylR	nirD//pyrD//
AraC_NagC	
ArcA_BetI_Cra	araA//ulaD//tdcB//
ArcA_CRP_CaiF_FNR_H-NS	glcB//ssuD//pflB//gcvH//galT//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	citC//waaZ//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	malP//caiA//glgP//murC//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	ansB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	gntK//mazG//yqjH//
ArcA_CRP_Cra_Fis	serA//
ArcA_CRP_Cra_IHF_IclR	sucC//pgaD//ubiC//
ArcA_CRP_DcuR	nirD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	metB//
ArcA_CRP_DnaA_FNR	fabA//
ArcA_CRP_DpiA_FNR_NarL	accC//sufS//dadA//
ArcA_CRP_DpiA_FlhDC	hyaB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	accB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	lhgO//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	fumC//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	dadX//ftsI//torC//galM//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	tdcB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	frdD//
ArcA_CRP_FNR_IHF_NarL	metH//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	aspA//
ArcA_CRP_FadR_HipB	recF//
ArcA_CRP_FadR_OmpR_PhoP	ogt//
ArcA_CRP_Fis_Mlc_SoxS	fucK//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	caiB//guaB//fadD//
ArcA_CRP_GlpR	puuA//
