# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	aspC//lpxC//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	fumA//lyxK//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	pdeL//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	tdcB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	nanK//napC//
AdiY_H-NS_IHF	nagB//
AgaR_CRP	glpA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	araB//glgA//
AraC_CRP	nfsA//lpd//ftsI//gcvH//lsrG//
AraC_CRP_XylR	nfsB//entF//
AraC_NagC	
ArcA_BetI_Cra	eda//rnpB//hycC//
ArcA_CRP_CaiF_FNR_H-NS	fadH//fadJ//pdeR//araD//lpxD//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	dsdA//ascB//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	torC//ulaD//ftnA//entF//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	murF//
ArcA_CRP_Cra_FNR_NsrR_PdhR	sucB//sdhD//xylA//
ArcA_CRP_Cra_Fis	frdA//
ArcA_CRP_Cra_IHF_IclR	ascB//sgbH//paaF//
ArcA_CRP_DcuR	fucK//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	glnA//
ArcA_CRP_DnaA_FNR	glcE//
ArcA_CRP_DpiA_FNR_NarL	gltB//deoD//glcD//
ArcA_CRP_DpiA_FlhDC	dusB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	hycC//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	nrdF//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	ascB//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	glpX//citE//sodA//nemA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	sucB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	entH//
ArcA_CRP_FNR_IHF_NarL	nanK//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	hypB//
ArcA_CRP_FadR_HipB	moaE//
ArcA_CRP_FadR_OmpR_PhoP	gadB//
ArcA_CRP_Fis_Mlc_SoxS	ilvG_2//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	fadD//glgP//dmsB//
