# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	nanA//guaA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	araD//aspC//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	hycF//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	rutB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	astC//glpD//
AdiY_H-NS_IHF	dmsB//
AgaR_CRP	acnA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	rhaB//metB//
AraC_CRP	aldB//narI//katE//citE//murD//
AraC_CRP_XylR	gltA//nanK//
AraC_NagC	
ArcA_BetI_Cra	sdhC//fbaA//metE//
ArcA_CRP_CaiF_FNR_H-NS	dsdA//nanE//aceA//prpD//uxaC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	entA//pgaB//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	hycE//fabA//purH//nemA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	caiD//
ArcA_CRP_Cra_FNR_NsrR_PdhR	chbG//nemA//pgk//
ArcA_CRP_Cra_Fis	astE//
ArcA_CRP_Cra_IHF_IclR	lhgO//aldA//entH//
ArcA_CRP_DcuR	cysI//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	carA//
ArcA_CRP_DnaA_FNR	astA//
ArcA_CRP_DpiA_FNR_NarL	pgaB//ogt//mpl//
ArcA_CRP_DpiA_FlhDC	hypF//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	rutA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	patA//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	ahpF//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	katE//mtlD//poxB//mraY//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	cysJ//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	sodB//
ArcA_CRP_FNR_IHF_NarL	codA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	citX//
ArcA_CRP_FadR_HipB	lysA//
ArcA_CRP_FadR_OmpR_PhoP	pgk//
ArcA_CRP_Fis_Mlc_SoxS	garL//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	mhpB//accC//mhpE//
ArcA_CRP_GlpR	prmC//
