# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	nfsB//paaE//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	hycB//fabZ//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	uxuA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	melA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	fadE//prpE//
AdiY_H-NS_IHF	glpK//
AgaR_CRP	hycF//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	gabD//waaZ//
AraC_CRP	mraY//rutB//gltB//entD//cysG//
AraC_CRP_XylR	ftnA//adhE//
AraC_NagC	
ArcA_BetI_Cra	fes//dsdA//frdD//
ArcA_CRP_CaiF_FNR_H-NS	accC//edd//dgcZ//ascB//purA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	mhpD//dusB//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	ulaF//acnA//katG//aroG//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	citF//
ArcA_CRP_Cra_FNR_NsrR_PdhR	mhpA//rimK//cdd//
ArcA_CRP_Cra_Fis	idnO//
ArcA_CRP_Cra_IHF_IclR	murQ//rhaD//murC//
ArcA_CRP_DcuR	gadB//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	entF//
ArcA_CRP_DnaA_FNR	ubiC//
ArcA_CRP_DpiA_FNR_NarL	glnA//gltD//deoA//
ArcA_CRP_DpiA_FlhDC	fucA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	fucU//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	ndh//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	hycB//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	prpC//ilvM//prpE//cysI//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	fumC//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	murF//
ArcA_CRP_FNR_IHF_NarL	rutD//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	sdhB//
ArcA_CRP_FadR_HipB	fucA//
ArcA_CRP_FadR_OmpR_PhoP	astE//
ArcA_CRP_Fis_Mlc_SoxS	atoA//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	adiA//torC//citF//
ArcA_CRP_GlpR	kbaZ//
