# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	glnA//uxuA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	mraY//paaB//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	murG//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	cysM//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	metB//hycG//
AdiY_H-NS_IHF	sdhA//
AgaR_CRP	chbF//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	nrdD//ftsI//
AraC_CRP	moeA//nrfA//gcd//ulaG//patA//
AraC_CRP_XylR	narH//malS//
AraC_NagC	
ArcA_BetI_Cra	sdhB//purN//torC//
ArcA_CRP_CaiF_FNR_H-NS	garK//gatD//uxaC//murG//treC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	hypF//aroG//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	napC//cysI//putA//gabT//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	paaI//
ArcA_CRP_Cra_FNR_NsrR_PdhR	rhaB//entE//argD//
ArcA_CRP_Cra_Fis	melA//
ArcA_CRP_Cra_IHF_IclR	cdd//hcp//rutE//
ArcA_CRP_DcuR	frdB//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	moeA//
ArcA_CRP_DnaA_FNR	cysI//
ArcA_CRP_DpiA_FNR_NarL	aceA//fes//cysH//
ArcA_CRP_DpiA_FlhDC	fabA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	dadA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	deoC//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	tdcD//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	metE//bglB//paaC//atoD//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	nrfB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	paaB//
ArcA_CRP_FNR_IHF_NarL	ilvE//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	lpxC//
ArcA_CRP_FadR_HipB	metK//
ArcA_CRP_FadR_OmpR_PhoP	ftnA//
ArcA_CRP_Fis_Mlc_SoxS	araA//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	glpQ//aceE//dmsA//
ArcA_CRP_GlpR	mhpB//
