# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	glcF//ilvM//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	sucC//ilvG_2//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	moaA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	garL//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	nrfD//garK//
AdiY_H-NS_IHF	napA//
AgaR_CRP	frdA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	uxaA//hypF//
AraC_CRP	entA//murD//frdD//citC//waaH//
AraC_CRP_XylR	moeA//gadA//
AraC_NagC	
ArcA_BetI_Cra	murF//deoB//nrdA//
ArcA_CRP_CaiF_FNR_H-NS	fucI//melA//ndh//hyaB//recF//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	atoD//hypF//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	nrfA//ynfG//pspE//citG//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	glcD//
ArcA_CRP_Cra_FNR_NsrR_PdhR	murQ//aldB//aceE//
ArcA_CRP_Cra_Fis	aldA//
ArcA_CRP_Cra_IHF_IclR	ynfH//melA//rnpB//
ArcA_CRP_DcuR	lpd//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	narI//
ArcA_CRP_DnaA_FNR	purN//
ArcA_CRP_DpiA_FNR_NarL	edd//gcvT//folA//
ArcA_CRP_DpiA_FlhDC	sodA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	aceF//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	lpxC//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	glpD//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	deoB//glpQ//accB//uxuB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	murE//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	sdhC//
ArcA_CRP_FNR_IHF_NarL	frdA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	ulaD//
ArcA_CRP_FadR_HipB	glcD//
ArcA_CRP_FadR_OmpR_PhoP	entE//
ArcA_CRP_Fis_Mlc_SoxS	narH//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	aceA//deoC//sucB//
ArcA_CRP_GlpR	astB//
