# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	srlD//hypF//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	metE//lpxD//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	ssuD//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	pnp//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	ilvA//tdcG//
AdiY_H-NS_IHF	xylA//
AgaR_CRP	lpxD//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	metL//gcvH//
AraC_CRP	citC//chbF//glnA//nrdD//mhpE//
AraC_CRP_XylR	puuB//araA//
AraC_NagC	
ArcA_BetI_Cra	lpd//cdd//dmsC//
ArcA_CRP_CaiF_FNR_H-NS	ascB//pspE//tdcD//fucA//gatY//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	entD//galE//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	sucB//waaZ//waaH//gloA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	ilvG_2//
ArcA_CRP_Cra_FNR_NsrR_PdhR	lhgO//nirB//katG//
ArcA_CRP_Cra_Fis	purM//
ArcA_CRP_Cra_IHF_IclR	uxaA//galE//gadA//
ArcA_CRP_DcuR	purM//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	nfsB//
ArcA_CRP_DnaA_FNR	frdC//
ArcA_CRP_DpiA_FNR_NarL	lyxK//gabT//recF//
ArcA_CRP_DpiA_FlhDC	garK//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	hycF//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	gadB//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	lpd//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	puuC//sdhC//ndh//glgA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	deoA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	mtlD//
ArcA_CRP_FNR_IHF_NarL	ssuD//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	araA//
ArcA_CRP_FadR_HipB	fbaA//
ArcA_CRP_FadR_OmpR_PhoP	sgbU//
ArcA_CRP_Fis_Mlc_SoxS	napB//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	entA//treC//dsdA//
ArcA_CRP_GlpR	lsrK//
