# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	murF//fabZ//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	rutA//metK//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	frdA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	sucA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	araD//lysA//
AdiY_H-NS_IHF	ulaF//
AgaR_CRP	yiaK//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	malP//ilvI//
AraC_CRP	galK//nrdF//atoA//galT//puuB//
AraC_CRP_XylR	mhpF//idnK//
AraC_NagC	
ArcA_BetI_Cra	yiaK//tnaA//katG//
ArcA_CRP_CaiF_FNR_H-NS	entD//caiA//fau//uvrA//moaD//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	dmsC//fucK//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	lpxC//nanK//tdcD//rnpB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	uxuA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	fadE//nanA//uvrA//
ArcA_CRP_Cra_Fis	hyaC//
ArcA_CRP_Cra_IHF_IclR	narG//lldD//nirB//
ArcA_CRP_DcuR	hycD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	umpH//
ArcA_CRP_DnaA_FNR	hypB//
ArcA_CRP_DpiA_FNR_NarL	argD//araA//sodA//
ArcA_CRP_DpiA_FlhDC	waaH//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	mnmG//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	torC//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	paaE//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	paaJ//garL//ogt//glpQ//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	paaB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	lsrK//
ArcA_CRP_FNR_IHF_NarL	araA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	acnA//
ArcA_CRP_FadR_HipB	metB//
ArcA_CRP_FadR_OmpR_PhoP	waaY//
ArcA_CRP_Fis_Mlc_SoxS	aldB//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	gntK//hyaA//frdA//
ArcA_CRP_GlpR	nagA//
